Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2004,13,169,LAC,Los Angeles Clippers,Matt Barnes,1980-03-09,23.0,NBA,SF,38.0,9.0,724.0,63.0,138.0,0.46,2.0,13.0,0.15,61.0,125.0,0.49,0.46,43.0,61.0,0.7,53.0,98.0,151.0,48.0,27.0,3.0,44.0,76.0,171.0,0.0
2005,26,169,SAC,Sacramento Kings,Matt Barnes,1980-03-09,24.0,NBA,SF,43.0,9.0,715.0,62.0,151.0,0.41,5.0,22.0,0.23,57.0,129.0,0.44,0.43,35.0,58.0,0.6,49.0,84.0,133.0,57.0,30.0,7.0,45.0,80.0,164.0,0.0
2006,31,169,TOT,Total After Trade,Matt Barnes,1980-03-09,25.0,NBA,"PF,SF",56.0,5.0,631.0,70.0,140.0,0.5,3.0,15.0,0.2,67.0,125.0,0.54,0.51,32.0,47.0,0.68,48.0,73.0,121.0,28.0,20.0,7.0,30.0,100.0,175.0,0.0
2006,20,169,NYK,New York Knicks,Matt Barnes,1980-03-09,25.0,NBA,SF,6.0,5.0,93.0,11.0,30.0,0.37,1.0,4.0,0.25,10.0,26.0,0.38,0.38,3.0,4.0,0.75,7.0,17.0,24.0,6.0,4.0,0.0,6.0,8.0,26.0,0.0
2006,23,169,PHI,Philadelphia 76Ers,Matt Barnes,1980-03-09,25.0,NBA,PF,50.0,0.0,538.0,59.0,110.0,0.54,2.0,11.0,0.18,57.0,99.0,0.58,0.55,29.0,43.0,0.67,41.0,56.0,97.0,22.0,16.0,7.0,24.0,92.0,149.0,0.0
2007,10,169,GSW,Golden State Warriors,Matt Barnes,1980-03-09,26.0,NBA,PF,76.0,23.0,1813.0,275.0,628.0,0.44,106.0,290.0,0.37,169.0,338.0,0.5,0.52,90.0,123.0,0.73,91.0,259.0,350.0,156.0,73.0,41.0,105.0,188.0,746.0,0.0
2008,10,169,GSW,Golden State Warriors,Matt Barnes,1980-03-09,27.0,NBA,PF,73.0,18.0,1414.0,187.0,442.0,0.42,53.0,181.0,0.29,134.0,261.0,0.51,0.48,59.0,79.0,0.75,94.0,230.0,324.0,139.0,48.0,36.0,85.0,159.0,486.0,0.0
2009,24,169,PHO,Phoenix Suns,Matt Barnes,1980-03-09,28.0,NBA,PF,77.0,40.0,2082.0,285.0,674.0,0.42,117.0,341.0,0.34,168.0,333.0,0.5,0.51,101.0,136.0,0.74,79.0,342.0,421.0,212.0,52.0,26.0,130.0,209.0,788.0,0.0
2010,22,169,ORL,Orlando Magic,Matt Barnes,1980-03-09,29.0,NBA,SF,81.0,58.0,2097.0,271.0,557.0,0.49,66.0,207.0,0.32,205.0,350.0,0.59,0.55,108.0,146.0,0.74,106.0,339.0,445.0,134.0,59.0,30.0,112.0,185.0,716.0,0.0
2011,14,169,LAL,Los Angeles Lakers,Matt Barnes,1980-03-09,30.0,NBA,SF,53.0,0.0,1020.0,131.0,279.0,0.47,34.0,107.0,0.32,97.0,172.0,0.56,0.53,60.0,77.0,0.78,73.0,155.0,228.0,71.0,39.0,22.0,58.0,127.0,356.0,0.0
2012,14,169,LAL,Los Angeles Lakers,Matt Barnes,1980-03-09,31.0,NBA,SF,63.0,16.0,1440.0,175.0,387.0,0.45,46.0,138.0,0.33,129.0,249.0,0.52,0.51,95.0,128.0,0.74,97.0,247.0,344.0,126.0,35.0,48.0,73.0,152.0,491.0,0.0
2013,13,169,LAC,Los Angeles Clippers,Matt Barnes,1980-03-09,32.0,NBA,SF,80.0,4.0,2058.0,312.0,675.0,0.46,111.0,325.0,0.34,201.0,350.0,0.57,0.54,87.0,117.0,0.74,111.0,255.0,366.0,123.0,82.0,63.0,90.0,233.0,822.0,0.0
2014,13,169,LAC,Los Angeles Clippers,Matt Barnes,1980-03-09,33.0,NBA,SF,63.0,40.0,1735.0,231.0,527.0,0.44,97.0,283.0,0.34,134.0,244.0,0.55,0.53,66.0,90.0,0.73,60.0,232.0,292.0,125.0,56.0,28.0,85.0,185.0,625.0,0.0
2015,13,169,LAC,Los Angeles Clippers,Matt Barnes,1980-03-09,34.0,NBA,SF,76.0,74.0,2271.0,277.0,624.0,0.44,136.0,376.0,0.36,141.0,248.0,0.57,0.55,74.0,95.0,0.78,51.0,251.0,302.0,114.0,67.0,50.0,87.0,240.0,764.0,0.0
2016,15,169,MEM,Memphis Grizzlies,Matt Barnes,1980-03-09,35.0,NBA,SF,76.0,45.0,2190.0,264.0,693.0,0.38,119.0,370.0,0.32,145.0,323.0,0.45,0.47,111.0,138.0,0.8,84.0,336.0,420.0,163.0,78.0,57.0,121.0,234.0,758.0,1.0
