Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2013,21,OKC,Oklahoma City Thunder,8,Ronnie Brewer,SF,6-7,220,1985-03-20,US,6,Arkansas
2013,21,OKC,Oklahoma City Thunder,4,Nick Collison,C,6-10,255,1980-10-26,US,8,Kansas
2013,21,OKC,Oklahoma City Thunder,35,Kevin Durant,SF,6-10,240,1988-09-29,US,5,Texas
2013,21,OKC,Oklahoma City Thunder,6,Derek Fisher,SG,6-1,200,1974-08-09,US,16,Little Rock
2013,21,OKC,Oklahoma City Thunder,9,Serge Ibaka,PF,7-0,235,1989-09-18,CG,3,
2013,21,OKC,Oklahoma City Thunder,15,Reggie Jackson,PG,6-3,208,1990-04-16,IT,1,Boston College
2013,21,OKC,Oklahoma City Thunder,3,Perry Jones,SF,6-11,235,1991-09-24,US,R,Baylor
2013,21,OKC,Oklahoma City Thunder,11,Jeremy Lamb,SF,6-5,180,1992-05-30,US,R,UConn
2013,21,OKC,Oklahoma City Thunder,25,DeAndre Liggins,SG,6-6,209,1988-03-31,US,1,Kentucky
2013,21,OKC,Oklahoma City Thunder,23,Kevin Martin,SG,6-7,199,1983-02-01,US,8,Western Carolina University
2013,21,OKC,Oklahoma City Thunder,6,Eric Maynor,PG,6-3,175,1987-06-11,US,3,VCU
2013,21,OKC,Oklahoma City Thunder,33,Daniel Orton,C,6-10,255,1990-08-06,US,1,Kentucky
2013,21,OKC,Oklahoma City Thunder,5,Kendrick Perkins,C,6-10,270,1984-11-10,US,9,
2013,21,OKC,Oklahoma City Thunder,2,Thabo Sefolosha,SG,6-6,215,1984-05-02,CH,6,
2013,21,OKC,Oklahoma City Thunder,34,Hasheem Thabeet,C,7-3,263,1987-02-16,TZ,3,UConn
2013,21,OKC,Oklahoma City Thunder,0,Russell Westbrook,PG,6-3,200,1988-11-12,US,4,UCLA
