Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,26.0,3059,KCK,Kansas City Kings,Scott Wedman,"July 29, 1952",27.0,NBA,SF,3.0,,116.0,29.0,64.0,0.45,2.0,3.0,0.67,27.0,61.0,0.44,0.47,8.0,11.0,0.73,6.0,15.0,21.0,9.0,1.0,3.0,2.0,9.0,68.0
1981,26.0,3059,KCK,Kansas City Kings,Scott Wedman,"July 29, 1952",28.0,NBA,SF,15.0,,657.0,129.0,297.0,0.43,9.0,32.0,0.28,120.0,265.0,0.45,0.45,40.0,56.0,0.71,16.0,71.0,87.0,58.0,18.0,8.0,39.0,51.0,307.0
1983,2.0,3059,BOS,Boston Celtics,Scott Wedman,"July 29, 1952",30.0,NBA,SF,6.0,,66.0,14.0,24.0,0.58,0.0,2.0,0.0,14.0,22.0,0.64,0.58,1.0,2.0,0.5,3.0,11.0,14.0,0.0,1.0,0.0,4.0,11.0,29.0
1984,2.0,3059,BOS,Boston Celtics,Scott Wedman,"July 29, 1952",31.0,NBA,SF,17.0,,226.0,40.0,96.0,0.42,4.0,7.0,0.57,36.0,89.0,0.4,0.44,5.0,10.0,0.5,24.0,23.0,47.0,17.0,6.0,0.0,13.0,19.0,89.0
1985,2.0,3059,BOS,Boston Celtics,Scott Wedman,"July 29, 1952",32.0,NBA,SF,21.0,1.0,350.0,73.0,134.0,0.55,10.0,22.0,0.46,63.0,112.0,0.56,0.58,26.0,38.0,0.68,22.0,37.0,59.0,33.0,13.0,0.0,12.0,50.0,182.0
1986,2.0,3059,BOS,Boston Celtics,Scott Wedman,"July 29, 1952",33.0,NBA,SF,12.0,0.0,142.0,20.0,51.0,0.39,2.0,4.0,0.5,18.0,47.0,0.38,0.41,3.0,4.0,0.75,11.0,11.0,22.0,8.0,9.0,3.0,6.0,14.0,45.0
