SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2005,13,LAC,7,Kenny Anderson,PG,6-0,168,1970-10-09,US,13,Georgia Tech
2005,13,LAC,4,Maurice Baker,PG,6-1,175,1979-07-28,US,R,Oklahoma State
2005,13,LAC,42,Elton Brand,PF,6-8,275,1979-03-11,US,5,Duke
2005,13,LAC,9,Rick Brunson,PG,6-4,190,1972-06-14,US,7,Temple
2005,13,LAC,0,Lionel Chalmers,PG,6-0,180,1980-11-10,US,R,Xavier
2005,13,LAC,20,Marko Jaric,PG,6-7,198,1978-10-12,RS,2,
2005,13,LAC,35,Chris Kaman,C,7-0,265,1982-04-28,US,1,Central Michigan University
2005,13,LAC,30,Kerry Kittles,SG,6-5,179,1974-06-12,US,7,Villanova
2005,13,LAC,14,Shaun Livingston,PG,6-7,192,1985-09-11,US,R,
2005,13,LAC,50,Corey Maggette,SG,6-6,218,1979-11-12,US,5,Duke
2005,13,LAC,15,Darrick Martin,PG,5-11,170,1971-03-06,US,9,UCLA
2005,13,LAC,33,Mikki Moore,PF,6-11,225,1975-11-04,US,6,Nebraska
2005,13,LAC,34,Mamadou N'Diaye,C,7-0,255,1975-06-16,SN,4,Auburn
2005,13,LAC,22,Kirk Penney,SG,6-5,220,1980-11-23,NZ,1,Wisconsin
2005,13,LAC,11,Zeljko Rebraca,C,7-0,257,1972-04-09,RS,3,
2005,13,LAC,13,Quinton Ross,SG,6-6,195,1981-04-30,US,R,SMU
2005,13,LAC,21,Bobby Simmons,SF,6-7,210,1980-06-02,US,3,DePaul
2005,13,LAC,54,Chris Wilcox,C,6-10,221,1982-09-03,US,2,Maryland
