NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
15,Carmelo Anthony,SF,6-8,238,1984-05-29,US,1,Syracuse
11,Earl Boykins,PG,5-5,135,1976-06-02,US,6,Eastern Michigan
7,Greg Buckner,SG,6-4,210,1976-09-16,US,5,Clemson
23,Marcus Camby,C,6-11,220,1974-03-22,US,8,UMass
56,Francisco Elson,C,7-0,235,1976-02-28,NL,1,California
12,Luis Flores,PG,6-2,200,1981-04-11,DO,R,"Rutgers University, Manhattan College"
31,Nenê Hilário,C,6-11,250,1982-09-13,BR,2,
3,DerMarr Johnson,SG,6-9,201,1980-05-05,US,3,Cincinnati
1,Voshon Lenard,SG,6-4,205,1973-05-14,US,9,Minnesota
6,Kenyon Martin,PF,6-9,234,1977-12-30,US,4,Cincinnati
24,Andre Miller,PG,6-3,200,1976-03-19,US,5,Utah
21,Eduardo Nájera,PF,6-8,240,1976-07-11,MX,4,Oklahoma
10,Wesley Person,SF,6-6,195,1971-03-28,US,10,Auburn
41,Mark Pope,PF,6-10,235,1972-09-11,US,5,"Washington, Kentucky"
9,Bryon Russell,SF,6-7,225,1970-12-31,US,11,Cal State Long Beach
22,Nikoloz Tskitishvili,PF,7-0,225,1983-04-14,GE,2,
5,Rodney White,SF,6-9,238,1980-06-28,US,3,UNC Charlotte
