NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
31,Shane Battier,SG,6-8,220,1978-09-09,US,3,Duke
1,Antonio Burks,PG,6-1,200,1980-02-25,US,R,Memphis
35,Brian Cardinal,PF,6-8,245,1977-05-02,US,4,Purdue
14,Andre Emmett,SG,6-5,230,1982-08-27,US,R,Texas Tech
16,Pau Gasol,PF,7-0,250,1980-07-06,ES,3,
40,Ryan Humphrey,SF,6-8,235,1979-07-24,US,2,"Oklahoma, Notre Dame"
30,Dahntay Jones,SG,6-6,225,1980-12-27,US,1,"Rutgers University, Duke"
33,Mike Miller,SF,6-8,218,1980-02-19,US,4,Florida
41,James Posey,SF,6-8,215,1977-01-13,US,5,Xavier
4,Stromile Swift,PF,6-9,225,1979-11-21,US,4,LSU
12,Jake Tsakalidis,C,7-2,285,1979-06-10,GE,4,
25,Earl Watson,PG,6-1,195,1979-06-12,US,3,UCLA
6,Bonzi Wells,SG,6-5,210,1976-09-28,US,6,Ball State University
2,Jason Williams,PG,6-1,190,1975-11-18,US,6,"Marshall, Florida"
42,Lorenzen Wright,C,6-11,225,1975-11-04,US,8,Memphis
