SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1992,9,DET,Joe Dumars,28,5,5,221,8.1,17.2,0.47,1.3,2.5,0.5,6.8,14.7,0.47,3.8,4.8,0.79,1.3,0.8,2.0,4.1,1.3,0.3,1.8,2.8,21.3,,111,112
1992,9,DET,Isiah Thomas,30,5,5,200,6.2,18.2,0.34,1.1,3.1,0.36,5.0,15.1,0.33,6.2,7.8,0.79,0.8,6.4,7.3,10.4,1.4,0.0,4.5,5.0,19.6,,93,106
1992,9,DET,Dennis Rodman,30,5,5,156,5.7,9.7,0.59,0.0,0.7,0.0,5.7,9.0,0.64,1.4,2.9,0.5,5.7,12.6,18.3,3.2,1.4,0.7,2.5,6.1,12.9,,111,99
1992,9,DET,John Salley,27,5,1,149,7.5,16.5,0.46,0.0,0.4,0.0,7.5,16.2,0.46,8.6,10.5,0.82,3.8,7.5,11.3,5.3,1.1,5.3,3.4,6.8,23.7,,111,103
1992,9,DET,Bill Laimbeer,34,5,4,145,6.6,17.8,0.37,0.8,3.9,0.2,5.8,13.9,0.42,1.9,1.9,1.0,1.9,10.8,12.7,3.1,1.5,0.4,1.9,7.0,15.8,,89,101
1992,9,DET,Orlando Woolridge,32,5,5,128,10.1,22.8,0.44,0.0,0.0,,10.1,22.8,0.44,3.9,7.0,0.56,2.2,2.2,4.4,1.3,0.4,0.4,2.6,6.1,24.1,,91,112
1992,9,DET,Mark Aguirre,32,5,0,113,7.9,23.8,0.33,0.5,2.5,0.2,7.4,21.3,0.35,5.9,7.9,0.75,2.0,2.5,4.5,5.9,1.0,0.5,6.4,4.5,22.3,,78,111
1992,9,DET,Darrell Walker,30,5,0,68,2.5,7.4,0.33,0.0,0.0,,2.5,7.4,0.33,3.3,3.3,1.0,4.1,5.8,9.9,3.3,0.8,0.0,4.1,5.8,8.2,,85,108
1992,9,DET,Bob McCann,27,1,0,13,12.9,25.8,0.5,0.0,0.0,,12.9,25.8,0.5,0.0,0.0,,4.3,4.3,8.6,0.0,0.0,4.3,8.6,8.6,25.8,,73,109
1992,9,DET,Brad Sellers,29,2,0,13,8.6,17.2,0.5,0.0,0.0,,8.6,17.2,0.5,8.6,8.6,1.0,0.0,0.0,0.0,8.6,0.0,8.6,0.0,0.0,25.8,,141,111
1992,9,DET,Lance Blanks,25,1,0,10,5.6,11.2,0.5,0.0,0.0,,5.6,11.2,0.5,0.0,0.0,,0.0,5.6,5.6,16.8,16.8,0.0,5.6,11.2,11.2,,94,75
1992,9,DET,William Bedford,28,1,0,9,18.7,37.3,0.5,0.0,0.0,,18.7,37.3,0.5,0.0,0.0,,0.0,12.4,12.4,0.0,6.2,0.0,0.0,6.2,37.3,,99,90
