PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Reggie Miller,26,3,3,130,9.9,16.9,0.581,2.8,4.3,0.636,7.1,12.6,0.563,9.5,11.8,0.8,1.6,1.2,2.8,5.5,1.6,0.0,1.6,4.7,31.9,,143.0,123
Detlef Schrempf,29,3,0,120,7.7,20.1,0.38299999999999995,0.9,1.7,0.5,6.8,18.4,0.37200000000000005,10.7,12.0,0.893,5.1,11.5,16.6,3.0,0.9,0.4,3.0,4.3,26.9,,111.0,116
Chuck Person,27,3,3,118,8.2,20.4,0.40399999999999997,2.2,6.5,0.33299999999999996,6.1,13.9,0.43799999999999994,3.5,5.2,0.667,0.4,3.5,3.9,3.0,0.9,0.0,2.6,4.8,22.1,,94.0,123
Micheal Williams,25,3,3,106,8.7,20.8,0.419,1.4,4.3,0.33299999999999996,7.2,16.4,0.441,5.3,7.2,0.733,0.5,3.4,3.9,11.6,4.3,0.0,3.4,5.8,24.2,,106.0,116
Dale Davis,22,3,0,69,3.0,7.4,0.4,0.0,0.0,,3.0,7.4,0.4,0.0,0.0,,3.7,10.4,14.1,1.5,0.0,3.7,0.7,5.9,5.9,,102.0,116
LaSalle Thompson,30,3,3,63,5.7,8.9,0.636,0.0,0.0,,5.7,8.9,0.636,1.6,1.6,1.0,1.6,8.9,10.6,3.3,0.8,3.3,2.4,8.9,13.0,,116.0,116
George McCloud,24,2,2,53,5.8,11.6,0.5,2.9,5.8,0.5,2.9,5.8,0.5,7.7,10.6,0.727,0.0,1.9,1.9,5.8,1.9,1.0,2.9,4.8,22.2,,124.0,121
Vern Fleming,29,3,0,51,10.0,18.1,0.556,0.0,0.0,,10.0,18.1,0.556,1.0,3.0,0.33299999999999996,0.0,2.0,2.0,6.0,3.0,0.0,4.0,5.0,21.1,,95.0,120
Rik Smits,25,3,1,28,7.3,20.1,0.364,0.0,0.0,,7.3,20.1,0.364,3.7,3.7,1.0,5.5,5.5,11.0,0.0,3.7,1.8,5.5,12.8,18.3,,79.0,114
Greg Dreiling,29,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,,,126
Sean Green,21,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,128
Kenny Williams,22,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,51.2,0.0,0.0,0.0,0.0,,,24
