PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Brad Daugherty,26,17,17,687,9.5,17.9,0.528,0.0,0.1,0.0,9.5,17.8,0.53,9.0,11.1,0.8140000000000001,2.8,10.4,13.3,4.4,0.8,1.3,2.8,3.6,27.9,,123,108
Larry Nance,32,17,17,681,9.5,19.3,0.494,0.0,0.1,0.0,9.5,19.2,0.496,4.5,5.4,0.8290000000000001,3.5,8.6,12.1,3.3,1.1,3.5,2.0,4.3,23.5,,115,107
Mark Price,27,17,17,603,10.2,20.7,0.496,2.2,6.0,0.36200000000000004,8.1,14.7,0.55,5.7,6.3,0.904,0.9,2.8,3.6,11.1,2.1,0.3,4.9,3.0,28.4,,115,112
Hot Rod Williams,29,17,0,567,7.8,14.2,0.545,0.0,0.0,,7.8,14.2,0.545,8.0,10.1,0.7979999999999999,4.6,7.4,12.0,3.9,2.2,1.6,2.9,5.4,23.6,,125,107
Craig Ehlo,30,17,14,552,6.0,14.4,0.414,2.0,4.8,0.41200000000000003,4.0,9.6,0.41600000000000004,1.5,2.0,0.762,2.1,5.2,7.3,7.3,2.0,0.5,1.7,3.8,15.5,,113,110
Mike Sanders,31,17,17,418,7.0,14.4,0.48700000000000004,0.1,0.4,0.33299999999999996,6.9,14.0,0.491,2.1,2.6,0.81,2.5,4.4,6.9,4.6,1.9,1.5,2.9,7.8,16.3,,104,110
John Battle,29,15,0,202,8.8,21.3,0.415,0.0,0.5,0.0,8.8,20.7,0.425,5.4,6.0,0.9129999999999999,1.0,2.1,3.1,3.9,1.3,0.3,4.7,2.9,23.1,,92,114
Terrell Brandon,21,12,0,157,7.3,18.3,0.4,0.0,1.0,0.0,7.3,17.3,0.423,1.0,1.3,0.75,1.3,6.0,7.3,10.0,1.0,0.3,3.7,5.7,15.7,,92,112
Steve Kerr,26,12,3,149,6.3,14.4,0.439,1.1,3.9,0.273,5.3,10.5,0.5,1.8,1.8,1.0,0.4,1.8,2.1,3.5,1.8,0.0,1.4,4.2,15.5,,106,114
Danny Ferry,25,9,0,55,6.7,14.3,0.467,1.0,2.9,0.33299999999999996,5.7,11.4,0.5,3.8,3.8,1.0,6.7,8.6,15.2,1.0,1.0,1.0,1.9,6.7,18.1,,121,109
Henry James,26,8,0,22,2.4,23.8,0.1,0.0,7.1,0.0,2.4,16.7,0.14300000000000002,4.8,9.5,0.5,2.4,2.4,4.8,4.8,2.4,0.0,2.4,4.8,9.5,,52,112
Bobby Phills,22,5,0,12,17.5,39.3,0.444,0.0,4.4,0.0,17.5,34.9,0.5,13.1,17.5,0.75,8.7,17.5,26.2,21.8,4.4,0.0,8.7,4.4,48.0,,111,97
