PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Karl Malone,28,16,16,688,11.5,22.0,0.521,0.0,0.2,0.0,11.5,21.9,0.525,13.1,16.3,0.805,3.3,10.7,14.0,3.3,1.7,1.5,3.6,4.4,36.1,,124,109
John Stockton,29,16,16,623,6.6,15.6,0.423,1.5,5.0,0.31,5.1,10.6,0.47600000000000003,5.6,6.7,0.833,0.9,3.2,4.0,18.6,2.9,0.4,5.0,3.3,20.3,,115,113
Jeff Malone,30,16,16,610,11.7,24.1,0.48700000000000004,0.1,0.3,0.33299999999999996,11.6,23.8,0.489,5.4,6.3,0.861,1.1,2.4,3.4,2.7,0.7,0.2,2.3,2.9,29.0,,111,119
Mark Eaton,35,16,16,473,2.9,5.2,0.565,0.0,0.0,,2.9,5.2,0.565,2.4,3.0,0.778,3.4,6.8,10.2,0.5,0.8,4.1,1.2,5.3,8.2,,125,112
Tyrone Corbin,29,16,0,447,8.2,16.4,0.504,0.0,0.2,0.0,8.2,16.1,0.511,5.0,6.4,0.778,4.7,5.9,10.5,2.0,1.4,0.4,2.0,5.4,21.5,,118,114
Blue Edwards,26,16,7,354,7.8,16.7,0.46799999999999997,0.3,1.5,0.2,7.5,15.2,0.495,3.5,4.8,0.7190000000000001,3.3,4.4,7.7,2.6,3.5,0.5,3.8,6.8,19.5,,100,111
Mike Brown,28,16,0,274,5.8,14.6,0.4,0.0,0.0,,5.8,14.6,0.4,6.2,8.0,0.78,4.3,8.4,12.7,2.1,0.4,0.4,3.1,8.4,17.9,,103,115
David Benoit,23,13,9,257,7.5,17.4,0.429,1.2,2.7,0.462,6.2,14.7,0.423,2.3,2.3,1.0,3.7,6.6,10.4,1.2,1.2,1.0,2.1,6.2,18.5,,106,114
Delaney Rudd,29,10,0,84,6.4,13.3,0.47600000000000003,1.3,4.4,0.28600000000000003,5.1,8.9,0.5710000000000001,1.9,2.5,0.75,0.0,2.5,2.5,12.1,1.9,0.0,2.5,7.0,15.9,,118,116
Bob Thornton,29,7,0,32,3.3,8.3,0.4,0.0,0.0,,3.3,8.3,0.4,5.0,6.7,0.75,6.7,8.3,15.0,1.7,0.0,0.0,1.7,5.0,11.7,,120,116
Corey Crowder,22,4,0,12,22.2,40.0,0.556,0.0,8.9,0.0,22.2,31.1,0.7140000000000001,0.0,4.4,0.0,4.4,4.4,8.9,4.4,4.4,0.0,8.9,4.4,44.5,,88,109
Eric Murdock,23,3,0,11,14.6,24.3,0.6,0.0,4.9,0.0,14.6,19.4,0.75,9.7,9.7,1.0,0.0,14.6,14.6,4.9,4.9,4.9,14.6,4.9,38.8,,89,97
