Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,31,227,TOT,Total After Trade,25.0,NBA,C,73.0,,1891.0,7.3,15.1,0.48,0.0,0.1,0.2,7.3,15.0,0.49,2.4,3.5,0.7,3.1,8.0,11.1,4.4,1.8,2.3,3.8,6.0,17.1,,99.0,102.0
1980,17,227,MIL,Milwaukee Bucks,25.0,NBA,C,56.0,,1389.0,7.2,14.5,0.49,0.0,0.0,0.0,7.2,14.5,0.5,2.2,3.3,0.68,3.2,8.0,11.2,4.3,1.8,2.5,3.6,6.0,16.6,,101.0,100.0
1980,9,227,DET,Detroit Pistons,25.0,NBA,C,17.0,,502.0,7.7,16.7,0.46,0.1,0.4,0.25,7.6,16.3,0.46,2.9,3.9,0.75,2.7,8.0,10.7,4.6,1.7,1.6,4.6,6.1,18.4,,94.0,107.0
1981,9,227,DET,Detroit Pistons,26.0,NBA,C,59.0,,1956.0,8.8,18.7,0.47,0.0,0.1,0.0,8.8,18.6,0.48,4.8,6.2,0.77,3.0,6.7,9.7,4.2,1.7,1.6,4.6,4.5,22.4,,99.0,104.0
1982,9,227,DET,Detroit Pistons,27.0,NBA,C,75.0,72.0,2467.0,7.6,15.0,0.5,0.1,0.2,0.27,7.5,14.8,0.51,2.4,2.9,0.8,4.1,8.1,12.2,3.0,1.2,1.8,3.0,4.0,17.5,,107.0,105.0
1983,9,227,DET,Detroit Pistons,28.0,NBA,C,21.0,15.0,599.0,6.4,13.8,0.47,0.0,0.1,0.0,6.4,13.7,0.47,2.9,3.8,0.76,4.0,7.7,11.7,3.7,1.1,1.3,2.6,4.6,15.7,,106.0,105.0
1984,9,227,DET,Detroit Pistons,29.0,NBA,C,82.0,58.0,1734.0,6.6,12.0,0.55,0.0,0.0,0.0,6.6,12.0,0.55,2.2,2.7,0.82,3.1,7.8,10.9,3.5,1.9,1.4,2.1,6.1,15.4,,118.0,106.0
1985,9,227,DET,Detroit Pistons,30.0,NBA,C,72.0,35.0,1401.0,6.6,13.0,0.51,0.0,0.1,0.0,6.6,12.9,0.51,2.5,3.1,0.81,3.4,7.2,10.6,3.0,1.7,1.4,2.2,6.8,15.6,,112.0,106.0
1986,9,227,DET,Detroit Pistons,31.0,NBA,C,72.0,51.0,1344.0,6.9,14.2,0.48,0.0,0.1,0.5,6.9,14.2,0.48,2.3,2.8,0.8,4.0,8.8,12.9,2.7,2.0,1.7,2.0,6.7,16.1,,110.0,104.0
1987,29,227,UTA,Utah Jazz,32.0,NBA,C,73.0,2.0,895.0,7.3,16.4,0.44,0.1,0.4,0.29,7.2,16.1,0.45,2.4,3.0,0.81,4.2,7.8,12.0,2.0,2.0,1.5,2.3,7.2,17.1,,100.0,102.0
1988,6,227,CLE,Cleveland Cavaliers,33.0,NBA,C,2.0,0.0,12.0,8.2,8.2,1.0,0.0,0.0,,8.2,8.2,1.0,4.1,8.2,0.5,0.0,4.1,4.1,0.0,4.1,4.1,8.2,8.2,20.5,,82.0,100.0
