Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003,21.0,WAS,NBA,SF,20.0,1.0,292.0,3.7,7.8,0.476,0.4,0.7,0.5,3.3,7.0,0.474,2.0,3.6,0.552,3.2,3.9,7.2,2.0,1.0,0.6,2.6,3.5,9.7
2004,22.0,WAS,NBA,PF,82.0,38.0,1913.0,3.3,8.8,0.377,0.1,0.6,0.167,3.2,8.3,0.392,2.0,3.2,0.614,3.4,4.6,8.0,1.8,0.9,0.5,2.0,4.0,8.7
2005,23.0,WAS,NBA,SF,77.0,71.0,2007.0,3.6,7.8,0.468,0.3,0.9,0.314,3.4,6.9,0.488,1.8,3.1,0.584,2.7,4.0,6.7,2.7,1.2,0.6,2.0,3.7,9.4
2006,24.0,WAS,NBA,PF,77.0,77.0,1951.0,3.5,7.7,0.451,0.3,0.9,0.32,3.2,6.7,0.468,1.8,3.1,0.589,3.0,4.0,7.0,2.7,1.1,0.9,1.8,4.1,9.0
2007,25.0,NYK,NBA,SF,55.0,43.0,1307.0,2.6,5.7,0.461,0.1,0.6,0.1,2.6,5.1,0.5,0.9,1.9,0.456,3.1,3.5,6.6,1.8,1.2,0.8,1.7,4.1,6.1
2008,26.0,NYK,NBA,SF,73.0,19.0,1325.0,2.9,7.3,0.4,0.1,0.7,0.16,2.8,6.7,0.424,1.3,2.5,0.527,3.2,3.4,6.6,1.8,1.0,0.6,1.7,3.6,7.3
2009,27.0,NYK,NBA,SF,56.0,36.0,1310.0,3.3,7.5,0.44,0.0,0.3,0.083,3.3,7.2,0.456,1.5,2.5,0.611,3.5,2.8,6.3,2.2,1.3,0.9,1.8,4.2,8.1
2010,28.0,TOT,NBA,"PF,SF",70.0,37.0,1794.0,2.8,6.3,0.439,0.4,1.4,0.296,2.3,4.9,0.481,1.5,2.4,0.625,2.6,3.2,5.8,2.0,1.2,1.4,1.5,4.1,7.5
2010,28.0,NYK,NBA,PF,52.0,37.0,1462.0,2.5,5.7,0.443,0.5,1.5,0.323,2.0,4.1,0.488,1.5,2.3,0.645,2.4,3.1,5.5,2.0,1.3,1.4,1.5,3.9,7.0
2010,28.0,HOU,NBA,SF,18.0,0.0,332.0,3.9,9.1,0.429,0.1,1.0,0.111,3.8,8.1,0.467,1.6,2.9,0.556,3.4,3.7,7.0,2.0,1.0,1.4,1.5,5.0,9.5
2011,29.0,TOT,NBA,PF,42.0,9.0,601.0,1.8,5.2,0.349,0.1,0.5,0.222,1.7,4.6,0.364,0.7,1.7,0.414,3.7,3.2,6.9,2.2,1.9,1.0,1.3,4.5,4.4
2011,29.0,HOU,NBA,PF,18.0,0.0,138.0,2.9,9.4,0.306,0.3,1.6,0.167,2.6,7.8,0.333,1.0,2.6,0.4,5.2,3.9,9.1,2.9,1.8,0.8,1.0,5.5,7.0
2011,29.0,NYK,NBA,PF,24.0,9.0,463.0,1.5,3.9,0.38,0.1,0.2,0.333,1.4,3.7,0.383,0.6,1.5,0.421,3.3,3.0,6.3,1.9,1.9,1.1,1.3,4.2,3.7
2012,30.0,NYK,NBA,PF,39.0,4.0,729.0,2.9,7.1,0.41,0.1,0.8,0.188,2.8,6.3,0.438,2.4,3.6,0.681,3.4,4.1,7.5,1.3,1.4,1.2,1.4,4.4,8.4
2013,31.0,POR,NBA,PF,38.0,0.0,350.0,1.6,5.6,0.296,0.0,0.2,0.0,1.6,5.3,0.308,1.2,2.4,0.522,2.7,3.5,6.2,1.4,0.6,0.6,1.7,6.0,4.5
