NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
45,Randy Breuer,C,7-3,230,1960-10-11,US,10,Minnesota
3,Randy Brown,PG,6-2,190,1968-05-22,US,2,"Houston, New Mexico State"
53,Evers Burns,PF,6-8,260,1971-08-24,US,R,Maryland
31,Duane Causwell,C,7-0,240,1968-05-31,US,3,Temple
32,Pete Chilcutt,PF,6-10,230,1968-09-14,US,2,UNC
7,Bobby Hurley,PG,6-0,165,1971-06-28,US,R,Duke
33,Jim Les,PG,5-11,165,1963-08-18,US,5,"Cleveland State University, Bradley"
54,Mike Peplowski,C,6-10,270,1970-10-15,US,R,Michigan State
0,Olden Polynice,C,6-11,220,1964-11-21,HT,6,Virginia
2,Mitch Richmond,SG,6-5,215,1965-06-30,US,5,Kansas State
22,Lionel Simmons,SF,6-7,210,1968-11-14,US,3,La Salle
34,LaBradford Smith,SG,6-3,200,1969-04-03,US,2,Louisville
20,Andre Spencer,SF,6-6,210,1964-07-20,US,1,Northern Arizona University
23,Wayman Tisdale,PF,6-9,240,1964-06-09,US,8,Oklahoma
4,Spud Webb,PG,5-6,133,1963-07-13,US,8,"Midland College, NC State"
42,Walt Williams,SF,6-8,219,1970-04-16,US,1,Maryland
21,Trevor Wilson,PF,6-7,210,1968-03-16,US,1,UCLA
