NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
16,Gary Alexander,PF,6-7,240,1969-11-01,US,R,South Florida
10,John Battle,SG,6-2,175,1962-11-09,US,8,Rutgers University
11,Terrell Brandon,PG,5-11,180,1970-05-20,US,2,Oregon
43,Brad Daugherty,C,7-0,245,1965-10-19,US,7,UNC
35,Danny Ferry,PF,6-10,230,1966-10-17,US,3,Duke
54,Jay Guidinger,C,6-10,255,1969-08-18,US,1,University of Minnesota Duluth
23,Rod Higgins,SF,6-7,200,1960-01-31,US,11,Fresno State
32,Tyrone Hill,PF,6-9,240,1968-03-19,US,3,Xavier
8,Tim Kempton,PF,6-10,245,1964-01-25,US,4,Notre Dame
12,Gerald Madkins,SG,6-4,200,1969-04-18,US,R,UCLA
24,Chris Mills,SF,6-6,215,1970-01-25,US,R,"Kentucky, Arizona"
22,Larry Nance,PF,6-10,205,1959-02-12,US,12,Clemson
14,Bobby Phills,SG,6-5,210,1969-12-20,US,2,Southern University and A&M College
25,Mark Price,PG,6-0,170,1964-02-15,US,7,Georgia Tech
4,Sedric Toney,PG,6-2,178,1962-04-13,US,4,Dayton
21,Gerald Wilkins,SG,6-6,185,1963-09-11,US,8,Chattanooga
18,Hot Rod Williams,PF,6-11,215,1962-08-09,US,7,Tulane
