OPP_SEASON,OPP_TEAM ID,TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
2008,9,DET,82,240.6,33.3,76.1,0.44,5.0,15.0,0.33,28.3,61.0,0.46,18.6,25.0,0.74,10.5,28.6,39.1,19.1,5.8,3.9,13.5,19.7,90.1
2008,2,BOS,82,240.9,32.4,77.3,0.42,5.9,18.7,0.32,26.5,58.6,0.45,19.6,26.3,0.74,11.0,27.9,38.9,18.8,7.2,4.7,16.0,22.2,90.3
2008,27,SAS,82,240.6,34.8,78.4,0.44,5.1,15.0,0.34,29.7,63.5,0.47,15.8,20.9,0.76,9.5,30.8,40.3,18.2,6.9,4.4,12.9,19.8,90.6
2008,11,HOU,82,240.6,34.8,80.4,0.43,5.3,14.5,0.36,29.5,66.0,0.45,17.2,23.3,0.74,10.9,29.8,40.7,18.9,7.6,4.6,13.3,19.7,92.0
2008,19,NOH,82,241.5,37.0,80.5,0.46,6.6,18.9,0.35,30.4,61.6,0.49,14.8,19.3,0.77,9.9,30.9,40.8,21.7,5.7,4.0,13.9,19.2,95.6
2008,7,DAL,82,240.6,35.4,79.9,0.44,5.0,14.2,0.35,30.4,65.6,0.46,20.1,26.4,0.76,10.8,29.5,40.3,18.9,6.5,4.4,12.2,21.2,95.9
2008,23,PHI,82,240.9,36.6,79.3,0.46,6.8,18.9,0.36,29.8,60.4,0.49,16.2,21.0,0.77,11.3,28.0,39.2,23.2,6.7,5.1,15.7,20.8,96.2
2008,25,POR,82,242.7,36.4,80.7,0.45,6.5,18.3,0.36,29.9,62.4,0.48,17.1,22.3,0.77,11.7,30.1,41.7,20.9,6.0,3.7,12.5,20.2,96.3
2008,6,CLE,82,242.1,35.8,78.8,0.46,6.2,17.3,0.36,29.7,61.5,0.48,18.9,25.2,0.75,9.9,30.5,40.4,21.0,6.8,4.7,13.3,20.3,96.7
2008,28,TOR,82,241.8,36.7,80.1,0.46,7.5,20.5,0.37,29.1,59.6,0.49,16.4,21.1,0.78,10.1,31.5,41.6,21.9,5.7,4.1,14.0,18.4,97.3
