Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1989,5,CHI,Charlotte Bobcats,Michael Jordan,25,17,17,42.2,11.7,22.9,0.51,0.6,2.1,0.29,11.1,20.9,0.53,0.52,10.8,13.5,0.8,1.5,5.5,7.0,7.6,2.5,0.8,4.0,3.8,34.8
1989,5,CHI,Charlotte Bobcats,Horace Grant,23,17,17,36.8,4.2,8.2,0.52,0.0,0.0,,4.2,8.2,0.52,0.52,2.4,2.9,0.8,3.1,6.7,9.8,2.1,0.6,0.9,1.8,4.0,10.8
1989,5,CHI,Charlotte Bobcats,Scottie Pippen,23,17,17,36.4,4.9,10.7,0.46,1.3,3.3,0.39,3.6,7.4,0.49,0.52,1.9,2.9,0.64,2.0,5.6,7.6,3.9,1.4,0.9,2.4,3.7,13.1
1989,5,CHI,Charlotte Bobcats,Bill Cartwright,31,17,17,34.3,4.2,8.7,0.49,0.0,0.0,,4.2,8.7,0.49,0.49,3.3,4.7,0.7,1.9,5.2,7.1,1.2,0.5,0.7,2.4,4.1,11.8
1989,5,CHI,Charlotte Bobcats,Craig Hodges,28,17,17,32.6,4.3,10.4,0.41,2.1,5.2,0.4,2.2,5.2,0.43,0.51,0.6,0.8,0.71,0.5,1.0,1.5,3.6,1.3,0.2,1.4,3.2,11.2
1989,5,CHI,Charlotte Bobcats,John Paxson,28,16,0,18.9,2.3,4.9,0.47,0.3,1.2,0.26,2.0,3.7,0.54,0.51,0.9,1.0,0.88,0.1,0.5,0.6,2.1,0.8,0.0,0.9,2.2,5.8
1989,5,CHI,Charlotte Bobcats,Dave Corzine,32,16,0,13.7,1.7,4.0,0.42,0.0,0.0,,1.7,4.0,0.42,0.42,0.7,1.1,0.65,0.9,1.7,2.6,0.6,0.3,0.4,0.7,1.7,4.1
1989,5,CHI,Charlotte Bobcats,Brad Sellers,26,13,0,13.6,1.7,4.5,0.38,0.0,0.0,,1.7,4.5,0.38,0.38,0.8,0.9,0.83,1.2,1.2,2.4,1.2,0.2,0.3,0.5,1.6,4.2
1989,5,CHI,Charlotte Bobcats,Charles Davis,30,17,0,11.2,1.1,2.8,0.4,0.1,0.4,0.17,1.1,2.4,0.44,0.42,0.4,0.5,0.78,0.9,1.6,2.5,0.3,0.2,0.1,0.8,1.7,2.7
1989,5,CHI,Charlotte Bobcats,Will Perdue,23,3,0,7.3,2.0,3.0,0.67,0.0,0.3,0.0,2.0,2.7,0.75,0.67,0.7,1.0,0.67,1.0,1.0,2.0,0.7,0.0,0.0,0.0,1.3,4.7
1989,5,CHI,Charlotte Bobcats,Sam Vincent,25,16,0,7.1,0.6,2.1,0.3,0.0,0.1,0.0,0.6,1.9,0.32,0.3,0.6,0.8,0.75,0.3,0.3,0.5,1.2,0.2,0.1,0.4,0.6,1.8
1989,5,CHI,Charlotte Bobcats,Jack Haley,25,5,0,1.4,0.4,0.6,0.67,0.0,0.0,,0.4,0.6,0.67,0.67,0.2,0.4,0.5,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.4,1.0
