PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Artis Gilmore,31,6,,41.2,5.8,10.0,0.583,0.0,0.0,,5.8,10.0,0.583,0.583,6.3,9.2,0.691,4.0,7.2,11.2,2.0,1.0,2.8,2.8,2.5,18.0
Reggie Theus,23,6,,38.7,6.7,15.0,0.444,0.3,1.5,0.222,6.3,13.5,0.469,0.456,6.2,7.2,0.86,1.2,2.3,3.5,6.3,1.5,0.0,2.5,3.7,19.8
Dwight Jones,28,6,,36.2,4.8,10.2,0.475,0.0,0.0,,4.8,10.2,0.475,0.475,2.8,2.8,1.0,3.0,6.8,9.8,1.8,0.8,0.5,2.7,3.5,12.5
Dave Greenwood,23,6,,35.3,8.5,14.5,0.586,0.0,0.3,0.0,8.5,14.2,0.6,0.586,0.8,2.0,0.41700000000000004,2.7,4.7,7.3,1.8,1.5,0.8,1.5,4.3,17.8
Ricky Sobers,28,6,,27.0,5.8,13.5,0.43200000000000005,0.2,1.0,0.16699999999999998,5.7,12.5,0.45299999999999996,0.43799999999999994,1.3,1.5,0.889,0.5,1.3,1.8,3.7,0.7,0.0,2.5,4.3,13.2
Bob Wilkerson,26,6,,25.3,4.2,9.8,0.424,0.0,0.2,0.0,4.2,9.7,0.431,0.424,0.8,0.8,1.0,1.0,1.7,2.7,2.3,0.8,0.2,1.8,2.2,9.2
Larry Kenon,28,6,,19.0,3.0,7.7,0.391,0.0,0.2,0.0,3.0,7.5,0.4,0.391,0.7,1.3,0.5,2.8,1.7,4.5,1.3,0.7,0.2,0.2,0.7,6.7
Coby Dietrick,32,6,,13.5,1.3,4.3,0.308,0.0,0.5,0.0,1.3,3.8,0.348,0.308,0.5,0.7,0.75,0.5,2.0,2.5,0.7,0.3,0.5,0.3,3.2,3.2
Ronnie Lester,22,5,,8.4,1.4,3.6,0.389,0.0,0.2,0.0,1.4,3.4,0.41200000000000003,0.389,1.0,1.4,0.7140000000000001,1.0,0.2,1.2,0.8,0.4,0.0,1.0,0.8,3.8
James Wilkes,22,2,,2.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0
Sam Worthen,23,1,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
