PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Sidney Moncrief,23,7,,39.6,4.3,9.9,0.435,0.0,0.0,,4.3,9.9,0.435,0.435,5.4,7.3,0.745,2.7,4.0,6.7,2.9,1.7,0.4,2.9,3.4,14.0
Marques Johnson,24,7,,38.0,10.7,19.3,0.556,0.0,0.1,0.0,10.7,19.1,0.56,0.556,3.3,4.6,0.7190000000000001,5.9,3.6,9.4,4.9,1.4,1.0,1.9,2.0,24.7
Bob Lanier,32,7,,33.7,7.1,12.1,0.588,0.0,0.0,,7.1,12.1,0.588,0.588,3.3,4.6,0.7190000000000001,1.7,5.7,7.4,4.0,1.7,1.1,2.1,2.6,17.6
Junior Bridgeman,27,7,,26.1,6.0,13.0,0.462,0.1,0.1,1.0,5.9,12.9,0.456,0.467,1.9,2.3,0.813,0.9,1.3,2.1,3.3,0.9,0.0,1.6,3.9,14.0
Quinn Buckner,26,7,,26.1,3.7,8.6,0.433,0.0,0.0,,3.7,8.6,0.433,0.433,1.6,2.3,0.688,0.7,2.1,2.9,5.0,1.6,0.0,2.0,3.7,9.0
Brian Winters,28,7,,25.9,4.0,8.7,0.45899999999999996,0.3,0.9,0.33299999999999996,3.7,7.9,0.473,0.475,1.7,2.3,0.75,0.6,2.7,3.3,3.1,1.4,0.1,1.7,3.1,10.0
Mickey Johnson,28,7,,24.3,3.7,9.3,0.4,0.0,0.1,0.0,3.7,9.1,0.406,0.4,4.3,5.0,0.857,3.4,3.3,6.7,1.9,1.3,0.9,3.0,3.6,11.7
Harvey Catchings,29,7,,15.6,0.4,2.3,0.188,0.0,0.0,,0.4,2.3,0.188,0.188,0.3,0.3,1.0,1.4,2.3,3.7,1.1,0.0,1.6,1.0,3.4,1.1
Mike Evans,25,4,,9.5,2.3,4.3,0.529,0.0,0.5,0.0,2.3,3.8,0.6,0.529,1.8,2.0,0.875,0.0,0.3,0.3,1.5,0.0,0.3,0.8,2.3,6.3
Pat Cummings,24,5,,5.0,0.6,2.2,0.273,0.0,0.0,,0.6,2.2,0.273,0.273,0.6,0.8,0.75,0.6,0.6,1.2,0.0,0.2,0.0,0.2,0.4,1.8
Len Elmore,28,4,,3.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0
