Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1980,14,603,LAL,Los Angeles Lakers,23.0,NBA,SG,82,1973,12.5,0.56,0.04,0.25,6.1,6.5,6.3,13.5,2.0,1.0,18.1,15.9,2.2,1.8,4.0,0.1,-0.4,0.3,-0.1,0.9
1981,14,603,LAL,Los Angeles Lakers,24.0,NBA,SG,81,2625,12.2,0.53,0.03,0.23,5.3,8.4,6.9,15.2,2.4,1.6,18.6,13.5,2.0,3.0,5.0,0.09,-0.6,1.5,0.9,1.9
1982,14,603,LAL,Los Angeles Lakers,25.0,NBA,SG,76,2197,14.3,0.56,0.02,0.23,4.3,8.8,6.7,12.9,2.5,1.5,15.6,17.5,2.4,2.6,5.0,0.11,-0.3,1.2,0.9,1.6
1983,14,603,LAL,Los Angeles Lakers,26.0,NBA,SG,82,2148,13.5,0.58,0.04,0.26,4.4,9.5,7.1,16.7,2.5,1.2,18.8,12.5,3.1,2.1,5.2,0.12,0.4,1.5,1.9,2.1
1984,14,603,LAL,Los Angeles Lakers,27.0,NBA,SG,82,2387,14.1,0.59,0.22,0.34,2.7,9.2,6.2,23.5,2.2,1.5,19.0,13.1,3.9,2.6,6.5,0.13,0.8,1.7,2.5,2.7
1985,14,603,LAL,Los Angeles Lakers,28.0,NBA,SG,82,2189,12.9,0.54,0.21,0.22,3.2,9.5,6.6,22.4,2.0,1.2,19.3,14.9,2.3,2.3,4.6,0.1,0.4,1.1,1.5,1.9
1986,14,603,LAL,Los Angeles Lakers,29.0,NBA,SG,82,2269,13.5,0.56,0.27,0.28,2.3,9.6,6.1,24.3,1.8,1.0,18.2,14.8,3.4,2.4,5.8,0.12,0.7,1.1,1.8,2.2
1987,14,603,LAL,Los Angeles Lakers,30.0,NBA,SG,82,2253,14.0,0.54,0.31,0.2,3.1,9.0,6.3,20.6,1.6,1.1,11.3,16.3,3.8,2.3,6.1,0.13,1.4,0.7,2.1,2.3
1988,14,603,LAL,Los Angeles Lakers,31.0,NBA,SG,61,1793,11.6,0.5,0.37,0.23,3.3,10.7,7.2,20.2,1.8,0.8,16.0,14.7,1.3,1.8,3.1,0.08,-0.1,0.9,0.8,1.3
1989,14,603,LAL,Los Angeles Lakers,32.0,NBA,SG,80,1943,11.9,0.55,0.42,0.19,2.0,8.5,5.5,20.3,1.8,0.9,14.9,13.4,2.6,1.8,4.4,0.11,0.2,0.8,1.0,1.5
1990,14,603,LAL,Los Angeles Lakers,33.0,NBA,SG,80,1851,9.6,0.48,0.32,0.19,3.8,10.0,7.0,15.3,1.8,1.1,14.6,14.4,0.7,2.0,2.7,0.07,-1.7,1.0,-0.7,0.6
