Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1998,CHI,Michael Jordan,1,1084.0,1160,0.934,MVP
1998,UTA,Karl Malone,2,842.0,1160,0.726,MVP
1998,SEA,Gary Payton,3,431.0,1160,0.372,MVP
1998,LAL,Shaquille O'Neal,4,311.0,1160,0.268,MVP
1998,SAS,Tim Duncan,5,148.0,1160,0.128,MVP
1998,MIA,Tim Hardaway,6,71.0,1160,0.061,MVP
1998,SAS,David Robinson,7,36.0,1160,0.031,MVP
1998,SEA,Vin Baker,8,24.0,1160,0.021,MVP
1998,DET,Grant Hill,9,23.0,1160,0.02,MVP
1998,CHI,Scottie Pippen,10,14.0,1160,0.012,MVP
1998,CHH,Glen Rice,11,7.0,1160,0.006,MVP
1998,BOS,Antoine Walker,12,6.0,1160,0.005,MVP
1998,PHO,Jason Kidd,13T,5.0,1160,0.004,MVP
1998,UTA,John Stockton,13T,5.0,1160,0.004,MVP
1998,SAC,Mitch Richmond,15,3.0,1160,0.003,MVP
1998,IND,Reggie Miller,16T,2.0,1160,0.002,MVP
1998,IND,Rik Smits,16T,2.0,1160,0.002,MVP
1998,DAL,Michael Finley,18T,1.0,1160,0.001,MVP
1998,WAS,Rod Strickland,18T,1.0,1160,0.001,MVP
