Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1986,1,3061,ATL,Atlanta Hawks,Spud Webb,1963-07-13,22.0,NBA,PG,79.0,1229.0,18.5,0.58,0.03,0.67,2.4,8.6,5.5,38.7,3.2,0.2,23.0,23.0,1.9,1.6,3.5,0.14,1.7,1.2,2.9,1.5
1987,1,3061,ATL,Atlanta Hawks,Spud Webb,1963-07-13,23.0,NBA,PG,33.0,532.0,16.5,0.54,0.04,0.65,1.2,10.9,6.1,42.6,3.1,0.2,25.2,21.5,0.4,0.8,1.2,0.11,1.0,1.4,2.4,0.6
1988,1,3061,ATL,Atlanta Hawks,Spud Webb,1963-07-13,24.0,NBA,PG,82.0,1347.0,14.8,0.53,0.05,0.33,1.3,10.8,6.0,34.3,2.3,0.5,22.2,18.5,0.9,1.4,2.3,0.08,-0.1,0.2,0.1,0.7
1989,1,3061,ATL,Atlanta Hawks,Spud Webb,1963-07-13,25.0,NBA,PG,81.0,1219.0,13.0,0.5,0.08,0.21,1.8,9.3,5.5,31.0,2.8,0.3,20.8,13.3,0.9,1.3,2.2,0.09,-0.7,1.1,0.4,0.7
1990,1,3061,ATL,Atlanta Hawks,Spud Webb,1963-07-13,26.0,NBA,PG,82.0,2184.0,15.3,0.54,0.03,0.3,2.0,8.8,5.3,29.9,2.4,0.3,16.8,16.1,3.5,1.1,4.5,0.1,0.7,-0.2,0.5,1.4
1991,1,3061,ATL,Atlanta Hawks,Spud Webb,1963-07-13,27.0,NBA,PG,75.0,2197.0,16.6,0.55,0.21,0.33,2.0,6.8,4.3,27.7,2.6,0.2,13.7,20.0,4.0,1.4,5.4,0.12,1.3,-0.2,1.1,1.7
1992,26,3061,SAC,Sacramento Kings,Spud Webb,1963-07-13,28.0,NBA,PG,77.0,2724.0,15.1,0.54,0.2,0.3,1.2,7.7,4.4,29.5,2.2,0.5,16.7,21.0,2.5,1.6,4.1,0.07,0.2,-1.0,-0.8,0.8
1993,26,3061,SAC,Sacramento Kings,Spud Webb,1963-07-13,29.0,NBA,PG,69.0,2335.0,14.4,0.54,0.17,0.42,2.0,7.4,4.6,29.3,2.1,0.2,17.2,19.7,2.5,1.4,3.9,0.08,0.2,-0.9,-0.7,0.8
1994,26,3061,SAC,Sacramento Kings,Spud Webb,1963-07-13,30.0,NBA,PG,79.0,2567.0,15.2,0.55,0.2,0.31,1.8,7.7,4.7,31.2,1.8,0.6,15.4,17.9,4.0,1.1,5.1,0.1,1.0,-0.5,0.5,1.6
1995,26,3061,SAC,Sacramento Kings,Spud Webb,1963-07-13,31.0,NBA,PG,76.0,2458.0,13.7,0.55,0.21,0.35,1.4,6.8,4.1,29.8,1.6,0.2,18.9,17.7,3.1,2.0,5.1,0.1,0.2,-0.5,-0.3,1.1
1996,31,3061,TOT,Total After Trade,Spud Webb,1963-07-13,32.0,NBA,PG,77.0,1462.0,14.8,0.55,0.3,0.34,2.0,6.2,4.1,32.1,1.9,0.4,18.2,18.4,2.3,0.7,3.0,0.1,0.9,-1.2,-0.3,0.6
1996,1,3061,ATL,Atlanta Hawks,Spud Webb,1963-07-13,32.0,NBA,PG,51.0,817.0,15.3,0.58,0.26,0.39,2.6,6.2,4.3,27.2,1.8,0.2,16.4,17.1,1.8,0.4,2.2,0.13,0.6,-0.9,-0.3,0.3
1996,18,3061,MIN,Minnesota Timberwolves,Spud Webb,1963-07-13,32.0,NBA,PG,26.0,645.0,14.3,0.52,0.35,0.28,1.3,6.1,3.7,38.2,2.0,0.6,20.2,20.1,0.5,0.3,0.8,0.06,1.2,-1.6,-0.4,0.3
1998,22,3061,ORL,Orlando Magic,Spud Webb,1963-07-13,34.0,NBA,PG,4.0,34.0,3.2,0.47,0.08,0.17,6.8,3.5,5.2,26.7,1.6,0.0,35.2,26.8,-0.1,0.0,-0.1,-0.16,-9.1,-2.4,-11.4,-0.1
