PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Allan Houston,27,50,1815,13.1,0.515,0.19899999999999998,0.27699999999999997,1.3,8.3,4.9,15.0,1.1,0.4,14.1,24.3,,1.1,1.8,2.9,0.078,,0.0,-0.7,-0.7,0.6
Larry Johnson,29,49,1639,14.6,0.5539999999999999,0.201,0.358,6.8,13.4,10.2,13.5,1.1,0.5,14.4,18.1,,2.8,2.1,4.9,0.14400000000000002,,0.9,0.3,1.2,1.3
Charlie Ward,28,50,1556,13.2,0.513,0.446,0.23399999999999999,1.8,10.9,6.5,30.1,3.7,0.4,26.2,15.4,,0.2,2.9,3.1,0.094,,-0.8,2.6,1.7,1.5
Patrick Ewing,36,38,1300,19.4,0.491,0.004,0.40700000000000003,7.0,26.5,17.1,7.0,1.3,6.0,12.9,28.4,,0.2,3.1,3.3,0.12300000000000001,,0.1,1.8,1.9,1.3
Chris Childs,31,48,1297,11.1,0.544,0.35200000000000004,0.292,1.7,10.1,6.0,25.8,1.9,0.1,22.0,14.3,,1.2,1.7,2.9,0.106,,-1.8,1.3,-0.5,0.5
Latrell Sprewell,28,37,1233,16.7,0.503,0.149,0.369,4.1,10.6,7.5,15.0,2.1,0.1,11.6,26.5,,1.3,1.7,3.0,0.11699999999999999,,1.1,0.2,1.3,1.1
Kurt Thomas,26,50,1182,13.1,0.489,0.003,0.293,8.5,19.6,14.3,8.9,2.1,1.1,14.9,19.8,,0.2,2.3,2.5,0.1,,-2.1,1.2,-0.8,0.4
Marcus Camby,24,46,945,17.6,0.537,0.0,0.395,13.2,18.2,15.8,2.4,1.7,6.1,11.3,17.5,,1.4,2.0,3.5,0.17600000000000002,,-0.4,1.8,1.4,0.8
Chris Dudley,33,46,685,9.6,0.45399999999999996,0.0,0.36700000000000005,14.1,18.9,16.6,1.7,1.0,4.3,15.9,10.5,,0.2,1.3,1.5,0.10800000000000001,,-3.4,1.2,-2.3,0.0
Dennis Scott,30,15,206,3.9,0.37200000000000005,0.518,0.071,1.8,9.4,5.7,6.7,0.8,0.4,8.0,14.6,,-0.2,0.2,0.0,-0.006,,-3.8,-0.5,-4.3,-0.1
Rick Brunson,26,17,95,6.2,0.294,0.23800000000000002,0.857,3.9,8.4,6.2,33.2,5.2,0.0,29.3,20.7,,-0.4,0.2,-0.2,-0.105,,-5.8,2.5,-3.3,0.0
David Wingate,35,20,92,4.2,0.43799999999999994,0.0,0.0,4.0,6.2,5.1,9.2,2.4,0.0,27.3,11.5,,-0.1,0.1,0.0,-0.001,,-5.7,0.9,-4.9,-0.1
Herb Williams,40,6,34,12.2,0.563,0.0,0.25,10.8,10.0,10.4,0.0,0.0,4.6,18.4,15.4,,0.0,0.0,0.1,0.094,,-0.6,-1.0,-1.5,0.0
Ben Davis,26,8,21,34.4,0.433,0.0,0.353,52.5,10.8,30.9,43.0,0.0,0.0,4.8,47.2,,0.1,0.0,0.1,0.23800000000000002,,11.9,-5.5,6.4,0.0
