PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Scottie Pippen,30,18,18,742,8.3,21.4,0.39,2.2,7.8,0.28600000000000003,6.1,13.6,0.451,3.8,6.0,0.638,4.6,6.8,11.4,8.0,3.5,1.2,3.1,3.8,22.7,,111,96
Michael Jordan,32,18,18,733,14.1,30.7,0.45899999999999996,1.9,4.7,0.40299999999999997,12.2,26.0,0.47,11.5,14.1,0.818,2.3,4.4,6.7,5.6,2.5,0.5,3.2,3.7,41.6,,123,101
Dennis Rodman,34,18,15,620,4.5,9.2,0.485,0.0,0.0,,4.5,9.2,0.485,3.1,5.3,0.593,8.7,13.3,22.0,3.3,1.2,0.7,3.7,6.8,12.0,,108,97
Ron Harper,32,18,16,494,6.4,15.0,0.425,1.7,5.3,0.319,4.7,9.7,0.483,3.2,4.7,0.69,2.9,4.6,7.5,5.0,2.8,0.8,2.0,4.3,17.7,,116,99
Toni Kukoč,27,15,5,439,7.4,19.0,0.391,1.6,8.6,0.191,5.8,10.5,0.5539999999999999,3.9,4.7,0.838,2.4,5.5,7.9,7.3,1.8,0.5,3.3,4.2,20.4,,108,101
Luc Longley,27,18,18,439,7.7,16.4,0.469,0.0,0.0,,7.7,16.4,0.469,3.5,4.7,0.757,4.3,6.0,10.3,3.5,0.9,3.1,4.8,10.5,18.9,,98,100
Steve Kerr,30,18,0,357,6.0,13.5,0.44799999999999995,2.6,8.2,0.321,3.4,5.3,0.647,4.2,4.8,0.871,0.5,2.3,2.8,4.8,2.2,0.0,2.0,3.3,18.9,,126,103
Bill Wennington,32,18,0,169,8.5,16.4,0.52,0.0,0.3,0.0,8.5,16.0,0.531,0.7,1.3,0.5,3.6,6.2,9.8,2.9,1.3,0.3,1.6,9.8,17.7,,113,102
Jud Buechler,27,17,0,127,7.8,16.5,0.474,3.5,9.1,0.381,4.4,7.4,0.588,0.9,1.7,0.5,0.9,3.5,4.4,2.6,3.0,0.0,3.5,5.7,20.0,,105,100
Randy Brown,27,16,0,112,7.9,13.8,0.5710000000000001,1.5,3.0,0.5,6.4,10.9,0.591,4.4,5.9,0.75,1.5,3.5,4.9,3.5,2.5,0.5,3.5,8.9,21.7,,119,101
John Salley,31,16,0,85,3.9,7.2,0.545,0.0,0.0,,3.9,7.2,0.545,1.3,4.6,0.28600000000000003,2.6,4.6,7.2,3.9,0.7,1.3,2.6,16.3,9.1,,97,103
James Edwards,40,6,0,28,7.9,17.8,0.444,0.0,0.0,,7.9,17.8,0.444,5.9,7.9,0.75,0.0,7.9,7.9,0.0,0.0,0.0,2.0,19.7,21.7,,105,103
