SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1996,6,CLE,Terrell Brandon,25,3,3,125,10.0,22.3,0.45,1.4,4.3,0.33,8.5,18.0,0.47,6.2,7.1,0.87,0.5,3.8,4.3,11.4,1.9,0.5,5.2,4.7,27.5,,107.0,113
1996,6,CLE,Danny Ferry,29,3,3,117,7.1,20.8,0.34,0.5,8.1,0.06,6.6,12.7,0.52,0.0,0.0,,0.5,7.1,7.6,4.6,1.5,1.0,2.0,6.6,14.7,,79.0,111
1996,6,CLE,Chris Mills,26,3,3,105,6.2,18.7,0.33,0.0,2.8,0.0,6.2,15.8,0.39,0.6,0.6,1.0,2.8,6.2,9.0,2.8,1.1,1.1,1.7,5.7,13.0,,81.0,112
1996,6,CLE,Michael Cage,34,3,3,101,4.7,8.2,0.57,0.0,0.0,,4.7,8.2,0.57,1.8,2.9,0.6,7.6,8.8,16.5,1.2,1.2,2.9,0.0,2.9,11.2,,144.0,109
1996,6,CLE,Bobby Phills,26,3,3,96,8.0,21.6,0.37,1.2,6.2,0.2,6.8,15.5,0.44,0.6,2.5,0.25,3.1,5.6,8.7,3.7,1.2,0.6,3.1,2.5,17.9,,83.0,114
1996,6,CLE,Dan Majerle,30,3,0,91,10.4,23.5,0.44,6.5,15.0,0.44,3.9,8.5,0.46,5.2,5.9,0.89,1.3,6.5,7.8,5.9,2.6,1.3,2.0,3.9,32.6,,128.0,109
1996,6,CLE,Tyrone Hill,27,3,0,53,10.1,13.4,0.75,0.0,0.0,,10.1,13.4,0.75,7.8,10.1,0.78,7.8,9.0,16.8,0.0,0.0,0.0,3.4,12.3,28.0,,137.0,114
1996,6,CLE,Bob Sura,22,3,0,18,6.6,9.9,0.67,0.0,0.0,,6.6,9.9,0.67,0.0,0.0,,0.0,3.3,3.3,9.9,3.3,0.0,13.2,13.2,13.2,,65.0,110
1996,6,CLE,John Crotty,26,2,0,9,0.0,0.0,,0.0,0.0,,0.0,0.0,,13.2,13.2,1.0,6.6,0.0,6.6,6.6,6.6,6.6,6.6,0.0,13.2,,129.0,98
1996,6,CLE,John Amaechi,25,1,0,2,0.0,29.7,0.0,0.0,0.0,,0.0,29.7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,120
1996,6,CLE,Antonio Lang,23,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,120
1996,6,CLE,Donny Marshall,23,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,120
