Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2015,21.0,SAS,NBA,SF,33.0,8.0,358.0,31.0,89.0,0.348,3.0,11.0,0.273,28.0,78.0,0.359,0.365,9.0,14.0,0.643,5.0,67.0,72.0,28.0,15.0,7.0,10.0,28.0,74.0,,0.0
2016,22.0,SAS,NBA,SF,78.0,11.0,1245.0,138.0,295.0,0.468,12.0,37.0,0.324,126.0,258.0,0.488,0.488,62.0,83.0,0.747,25.0,219.0,244.0,123.0,60.0,29.0,59.0,97.0,350.0,,0.0
2017,23.0,SAS,NBA,SF,72.0,14.0,1020.0,93.0,209.0,0.445,15.0,40.0,0.375,78.0,169.0,0.462,0.481,45.0,57.0,0.789,33.0,175.0,208.0,91.0,51.0,26.0,39.0,63.0,246.0,,0.0
2018,24.0,SAS,NBA,SF,74.0,67.0,1978.0,231.0,438.0,0.527,19.0,57.0,0.333,212.0,381.0,0.556,0.549,104.0,146.0,0.712,84.0,312.0,396.0,202.0,115.0,60.0,94.0,114.0,585.0,,0.0
2019,25.0,MEM,NBA,SF,43.0,40.0,1281.0,150.0,276.0,0.543,9.0,34.0,0.265,141.0,242.0,0.583,0.56,37.0,64.0,0.578,48.0,203.0,251.0,128.0,54.0,37.0,58.0,112.0,346.0,,1.0
2020,26.0,MEM,NBA,SF,67.0,28.0,1330.0,157.0,331.0,0.474,24.0,85.0,0.282,133.0,246.0,0.541,0.511,52.0,78.0,0.667,58.0,227.0,285.0,162.0,54.0,37.0,66.0,111.0,390.0,,0.0
2021,27.0,MEM,NBA,PF,11.0,11.0,328.0,51.0,126.0,0.405,16.0,48.0,0.333,35.0,78.0,0.449,0.468,24.0,30.0,0.8,10.0,70.0,80.0,46.0,4.0,7.0,21.0,20.0,142.0,,0.0
