Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2020,MIL,Giannis Antetokounmpo,1,962.0,1010,0.952,MVP
2020,LAL,LeBron James,2,753.0,1010,0.746,MVP
2020,HOU,James Harden,3,367.0,1010,0.363,MVP
2020,DAL,Luka Doncic,4,200.0,1010,0.198,MVP
2020,LAC,Kawhi Leonard,5,168.0,1010,0.166,MVP
2020,LAL,Anthony Davis,6,82.0,1010,0.081,MVP
2020,OKC,Chris Paul,7,26.0,1010,0.026,MVP
2020,POR,Damian Lillard,8,23.0,1010,0.023,MVP
2020,DEN,Nikola Jokic,9,18.0,1010,0.018,MVP
2020,TOR,Pascal Siakam,10,17.0,1010,0.017,MVP
2020,MIA,Jimmy Butler,11,9.0,1010,0.009,MVP
2020,BOS,Jayson Tatum,12,1.0,1010,0.001,MVP
