Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,2,55,BOS,Boston Celtics,23.0,NBA,SG,77.0,34.0,1262.0,5.2,11.0,0.48,0.3,0.9,0.39,4.9,10.2,0.48,3.2,4.3,0.74,2.4,3.9,6.3,1.8,2.2,0.7,2.2,4.5,14.0
2006,2,55,BOS,Boston Celtics,24.0,NBA,PG,51.0,9.0,978.0,4.7,10.1,0.47,0.4,1.3,0.32,4.3,8.8,0.49,3.7,4.9,0.75,1.2,2.9,4.1,2.5,1.9,0.7,2.5,4.6,13.6
2007,2,55,BOS,Boston Celtics,25.0,NBA,SG,33.0,18.0,805.0,5.9,11.6,0.51,0.4,1.5,0.24,5.6,10.1,0.55,4.7,6.0,0.78,1.6,4.0,5.5,2.5,2.2,0.5,3.4,3.9,16.9
2008,2,55,BOS,Boston Celtics,26.0,NBA,SG,75.0,11.0,1373.0,4.4,10.2,0.43,0.5,1.5,0.32,4.0,8.7,0.46,3.6,4.7,0.76,0.9,3.5,4.4,3.0,1.6,0.6,2.9,4.4,13.0
2009,2,55,BOS,Boston Celtics,27.0,NBA,SG,46.0,2.0,887.0,5.6,11.5,0.48,0.2,1.1,0.22,5.3,10.4,0.51,3.2,4.4,0.72,0.9,3.3,4.2,2.7,2.2,0.9,3.1,4.0,14.6
2010,2,55,BOS,Boston Celtics,28.0,NBA,SG,54.0,8.0,889.0,5.2,10.2,0.51,0.0,0.2,0.0,5.2,10.0,0.52,2.9,4.8,0.6,2.1,3.8,5.9,2.9,2.4,0.8,2.7,4.4,13.4
2011,15,55,MEM,Memphis Grizzlies,29.0,NBA,SG,72.0,31.0,1494.0,6.0,11.9,0.51,0.1,0.6,0.17,6.0,11.3,0.53,3.3,4.4,0.75,1.7,3.0,4.7,2.5,3.1,1.1,2.1,3.9,15.5
2012,15,55,MEM,Memphis Grizzlies,30.0,NBA,SG,58.0,57.0,1525.0,5.0,10.6,0.47,0.2,0.6,0.31,4.8,10.0,0.48,3.3,4.1,0.8,2.3,3.2,5.5,1.9,2.5,0.8,2.2,3.4,13.4
2013,15,55,MEM,Memphis Grizzlies,31.0,NBA,SG,79.0,79.0,2109.0,4.8,10.9,0.44,0.1,0.4,0.12,4.8,10.5,0.46,2.3,3.2,0.72,2.1,4.1,6.2,1.7,2.0,0.8,1.6,3.6,12.0
2014,15,55,MEM,Memphis Grizzlies,32.0,NBA,SG,55.0,28.0,1278.0,5.7,11.6,0.49,0.3,1.3,0.23,5.4,10.3,0.53,2.1,3.4,0.63,2.2,3.6,5.9,2.6,2.5,0.5,2.5,3.4,13.9
2015,15,55,MEM,Memphis Grizzlies,33.0,NBA,SG,63.0,41.0,1648.0,4.9,9.9,0.5,0.2,0.6,0.34,4.7,9.3,0.5,1.7,2.8,0.63,2.3,3.9,6.1,1.9,2.8,0.7,1.9,3.6,11.8
2016,15,55,MEM,Memphis Grizzlies,34.0,NBA,SG,64.0,57.0,1620.0,4.8,10.4,0.46,0.3,0.9,0.36,4.4,9.5,0.47,2.0,3.1,0.65,2.3,4.3,6.6,1.6,2.4,0.4,1.7,3.9,11.9
2017,15,55,MEM,Memphis Grizzlies,35.0,NBA,SG,71.0,66.0,1914.0,5.2,11.2,0.46,0.3,1.0,0.28,4.9,10.2,0.48,1.5,2.4,0.62,3.1,4.2,7.4,1.8,2.2,0.5,1.9,3.3,12.1
2018,19,55,NOP,New Orleans Pelicans,36.0,NBA,SF,22.0,0.0,273.0,5.8,12.0,0.48,0.5,1.6,0.33,5.3,10.4,0.51,1.5,2.8,0.52,2.6,3.6,6.2,1.2,1.5,0.4,2.5,6.5,13.6
