PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Roy Tarpley,25,3,3,129,6.1,12.8,0.478,0.0,0.3,0.0,6.1,12.6,0.489,1.7,3.3,0.5,2.5,10.3,12.8,0.3,2.0,2.8,2.5,3.3,14.0
Rolando Blackman,30,3,3,127,6.8,15.3,0.444,0.6,1.4,0.4,6.2,13.9,0.449,2.8,2.8,1.0,0.6,2.0,2.6,3.7,1.7,0.6,3.7,2.0,17.0
Derek Harper,28,3,3,119,6.4,14.5,0.43799999999999994,1.5,4.8,0.313,4.8,9.7,0.5,3.3,4.8,0.688,0.6,1.8,2.4,7.0,1.2,0.0,3.6,3.9,17.5
Sam Perkins,28,3,3,118,4.9,11.0,0.444,0.0,0.3,0.0,4.9,10.7,0.457,4.0,5.2,0.765,3.1,3.7,6.7,2.4,0.9,0.6,2.1,5.2,13.7
Herb Williams,31,3,0,81,6.2,10.2,0.609,0.0,0.0,,6.2,10.2,0.609,5.8,7.1,0.813,1.8,4.0,5.8,2.2,0.4,0.9,1.3,7.1,18.2
James Donaldson,32,3,3,74,4.4,6.3,0.6920000000000001,0.0,0.0,,4.4,6.3,0.6920000000000001,1.9,2.4,0.8,2.9,4.9,7.8,1.0,1.0,0.0,1.9,3.9,10.7
Steve Alford,25,3,0,42,6.9,15.4,0.444,1.7,5.1,0.33299999999999996,5.1,10.3,0.5,4.3,4.3,1.0,0.9,1.7,2.6,6.9,0.9,0.0,2.6,3.4,19.7
Bill Wennington,26,3,0,25,1.4,7.2,0.2,0.0,0.0,,1.4,7.2,0.2,0.0,0.0,,0.0,4.3,4.3,1.4,0.0,1.4,2.9,7.2,2.9
Anthony Jones,27,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randy White,22,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
