SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1986,13,LAC,Marques Johnson,29,75,75,2605,11.0,21.5,0.51,0.0,0.3,0.07,11.0,21.3,0.52,5.3,7.0,0.76,2.8,4.7,7.5,5.1,1.9,0.9,3.3,3.8,27.4,,112,112
1986,13,LAC,Cedric Maxwell,30,76,72,2458,6.0,12.6,0.48,0.0,0.1,0.0,6.0,12.5,0.48,8.5,10.7,0.8,4.6,7.3,11.9,4.1,1.2,0.6,3.9,4.8,20.4,,114,112
1986,13,LAC,Norm Nixon,30,67,62,2138,8.8,20.1,0.44,0.9,2.6,0.35,7.9,17.5,0.45,2.9,3.5,0.81,1.0,3.0,3.9,12.6,1.8,0.1,4.2,3.1,21.4,,104,114
1986,13,LAC,Benoit Benjamin,21,79,37,2088,7.3,14.8,0.49,0.0,0.1,0.33,7.2,14.7,0.49,5.1,6.9,0.75,3.6,9.8,13.4,1.8,1.4,4.6,3.2,6.4,19.7,,106,107
1986,13,LAC,Kurt Nimphius,27,67,62,1946,7.5,14.9,0.5,0.0,0.0,0.0,7.5,14.9,0.51,4.3,5.6,0.76,3.1,6.3,9.4,1.2,0.7,2.2,2.6,5.5,19.3,,108,112
1986,13,LAC,Rory White,26,75,30,1761,9.4,18.2,0.52,0.0,0.2,0.11,9.4,17.9,0.52,4.4,5.9,0.74,2.2,2.6,4.8,2.0,2.0,0.2,2.5,4.3,23.2,,110,114
1986,13,LAC,Michael Cage,24,78,12,1566,6.1,12.7,0.48,0.0,0.1,0.0,6.1,12.6,0.48,3.4,5.2,0.65,5.0,7.4,12.4,2.4,1.9,1.0,3.2,5.3,15.5,,103,110
1986,13,LAC,Franklin Edwards,26,73,19,1491,8.2,18.1,0.45,0.0,0.3,0.11,8.2,17.8,0.46,4.1,4.7,0.87,0.8,1.9,2.7,8.1,2.8,0.1,4.3,2.7,20.6,,100,113
1986,13,LAC,Junior Bridgeman,32,58,14,1161,8.0,18.2,0.44,0.2,0.7,0.33,7.8,17.4,0.45,4.3,4.8,0.89,1.2,3.8,5.0,4.3,1.2,0.3,2.7,3.3,20.5,,104,115
1986,13,LAC,Lancaster Gordon,23,60,1,704,8.6,22.9,0.38,0.5,1.9,0.25,8.2,21.0,0.39,3.0,3.7,0.8,1.6,2.9,4.5,4.0,2.2,0.7,4.1,6.0,20.7,,86,113
1986,13,LAC,Darnell Valentine,26,34,2,483,6.7,17.6,0.38,0.3,1.1,0.27,6.4,16.5,0.39,5.7,7.3,0.79,1.2,4.0,5.1,10.4,2.2,0.1,5.5,4.4,19.4,,94,113
1986,13,LAC,James Donaldson,28,14,14,441,4.6,8.9,0.51,0.0,0.0,,4.6,8.9,0.51,6.0,7.4,0.81,3.0,10.9,13.9,1.3,0.5,3.1,4.0,3.5,15.2,,105,109
1986,13,LAC,Derek Smith,24,11,9,339,13.8,25.0,0.55,0.1,0.3,0.5,13.6,24.7,0.55,8.0,11.6,0.69,2.8,2.9,5.7,4.3,1.2,1.8,4.5,4.8,35.7,,112,114
1986,13,LAC,Jamaal Wilkes,32,13,1,195,6.2,15.6,0.4,0.2,0.7,0.33,6.0,14.9,0.4,5.3,6.5,0.82,3.1,3.8,7.0,3.6,1.7,0.5,3.8,4.6,18.0,,97,114
1986,13,LAC,Jeff Cross,24,21,0,128,2.2,8.8,0.25,0.0,0.0,,2.2,8.8,0.25,5.1,9.1,0.56,3.3,7.7,11.0,0.4,0.7,1.1,2.2,13.9,9.5,,82,112
1986,13,LAC,Jay Murphy,23,14,0,100,7.5,21.0,0.36,0.0,0.9,0.0,7.5,20.1,0.37,4.2,6.5,0.64,3.3,3.7,7.0,1.4,1.9,1.4,2.3,5.6,19.2,,88,113
1986,13,LAC,Jim Thomas,25,6,0,69,4.1,10.2,0.4,0.0,0.0,,4.1,10.2,0.4,0.7,1.4,0.5,2.0,3.4,5.4,8.1,3.4,0.7,6.1,8.1,8.8,,75,110
1986,13,LAC,Wallace Bryant,26,8,0,64,2.9,13.1,0.22,0.0,0.0,,2.9,13.1,0.22,3.7,5.8,0.62,5.8,8.8,14.6,2.9,1.5,2.2,1.5,8.8,9.5,,86,109
1986,13,LAC,Ozell Jones,25,3,0,18,0.0,5.2,0.0,0.0,0.0,,0.0,5.2,0.0,0.0,0.0,,0.0,5.2,5.2,0.0,5.2,2.6,7.8,13.0,0.0,,0,103
