Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999,26,2768,SAC,Sacramento Kings,Peja Stojakovic,1977-06-09,21.0,NBA,SF,5.0,0.0,108.0,3.0,8.7,0.35,1.0,4.7,0.21,2.0,4.0,0.5,1.0,1.0,1.0,4.0,2.3,6.3,0.7,1.0,0.0,2.0,2.3,8.0
2000,26,2768,SAC,Sacramento Kings,Peja Stojakovic,1977-06-09,22.0,NBA,SF,5.0,0.0,129.0,4.5,11.2,0.4,1.7,3.6,0.46,2.8,7.5,0.37,1.7,2.5,0.67,0.6,4.2,4.7,0.8,1.1,0.0,1.4,2.0,12.3
2001,26,2768,SAC,Sacramento Kings,Peja Stojakovic,1977-06-09,23.0,NBA,SF,8.0,8.0,307.0,6.1,15.0,0.41,1.1,3.0,0.35,5.0,12.0,0.42,7.0,7.3,0.97,2.0,4.0,6.0,0.4,0.6,0.4,2.1,2.0,20.3
2002,26,2768,SAC,Sacramento Kings,Peja Stojakovic,1977-06-09,24.0,NBA,SF,10.0,7.0,338.0,5.3,14.2,0.38,1.4,5.1,0.27,3.9,9.1,0.44,3.7,4.2,0.9,1.7,5.0,6.7,1.1,0.5,0.0,2.0,2.3,15.8
2003,26,2768,SAC,Sacramento Kings,Peja Stojakovic,1977-06-09,25.0,NBA,SF,12.0,12.0,486.0,7.2,15.0,0.48,2.4,5.2,0.46,4.8,9.8,0.49,3.8,4.4,0.85,1.3,4.9,6.1,2.2,0.7,0.4,0.9,2.5,20.5
2004,26,2768,SAC,Sacramento Kings,Peja Stojakovic,1977-06-09,26.0,NBA,SF,12.0,12.0,517.0,5.3,13.8,0.38,1.6,5.1,0.32,3.7,8.7,0.42,2.4,2.7,0.9,1.0,4.8,5.8,1.3,1.5,0.2,1.0,1.8,14.6
2005,26,2768,SAC,Sacramento Kings,Peja Stojakovic,1977-06-09,27.0,NBA,SF,5.0,5.0,203.0,6.9,14.7,0.47,2.0,5.3,0.37,5.0,9.4,0.53,3.7,3.9,0.96,1.1,3.5,4.6,1.2,0.7,0.2,0.4,2.7,19.5
2006,12,2768,IND,Indiana Pacers,Peja Stojakovic,1977-06-09,28.0,NBA,SF,2.0,2.0,51.0,5.6,12.7,0.44,0.0,2.1,0.0,5.6,10.6,0.53,4.2,4.9,0.86,0.0,6.4,6.4,2.8,0.7,0.7,0.7,2.8,15.5
2008,19,2768,NOH,New Orleans Hornets,Peja Stojakovic,1977-06-09,30.0,NBA,SF,12.0,12.0,455.0,4.6,10.5,0.44,2.2,4.0,0.55,2.4,6.5,0.37,2.0,2.1,0.93,0.5,4.7,5.1,0.5,0.5,0.1,0.6,1.5,13.4
2009,19,2768,NOH,New Orleans Hornets,Peja Stojakovic,1977-06-09,31.0,NBA,SF,5.0,5.0,162.0,4.0,10.9,0.37,1.8,5.8,0.31,2.2,5.1,0.44,2.7,2.9,0.92,0.9,2.2,3.1,0.4,0.9,0.2,1.3,3.8,12.4
2011,7,2768,DAL,Dallas Mavericks,Peja Stojakovic,1977-06-09,33.0,NBA,SF,19.0,0.0,350.0,5.0,12.3,0.41,3.0,7.9,0.38,2.1,4.4,0.46,0.7,0.9,0.78,0.3,3.0,3.3,0.7,1.2,0.2,0.9,2.2,13.8
