Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2011,22.0,GSW,NBA,PG,29.0,0.0,285.0,28.0,72.0,0.389,1.0,5.0,0.2,27.0,67.0,0.403,0.396,19.0,25.0,0.76,12.0,22.0,34.0,42.0,33.0,9.0,18.0,31.0,76.0,,0.0
2012,23.0,NYK,NBA,PG,35.0,25.0,940.0,171.0,383.0,0.446,24.0,75.0,0.32,147.0,308.0,0.477,0.478,146.0,183.0,0.798,18.0,89.0,107.0,216.0,55.0,9.0,126.0,78.0,512.0,,0.0
2013,24.0,HOU,NBA,PG,82.0,82.0,2640.0,396.0,897.0,0.441,87.0,257.0,0.339,309.0,640.0,0.483,0.49,216.0,275.0,0.785,32.0,215.0,247.0,497.0,134.0,29.0,236.0,205.0,1095.0,,0.0
2014,25.0,HOU,NBA,PG,71.0,33.0,2054.0,295.0,662.0,0.446,82.0,229.0,0.358,213.0,433.0,0.492,0.508,218.0,265.0,0.823,34.0,153.0,187.0,294.0,68.0,27.0,176.0,166.0,890.0,,1.0
2015,26.0,LAL,NBA,PG,74.0,30.0,1907.0,277.0,654.0,0.424,65.0,176.0,0.369,212.0,478.0,0.444,0.473,213.0,268.0,0.795,26.0,170.0,196.0,339.0,82.0,32.0,166.0,189.0,832.0,,0.0
2016,27.0,CHO,NBA,SG,78.0,13.0,2048.0,300.0,728.0,0.412,76.0,226.0,0.336,224.0,502.0,0.446,0.464,238.0,292.0,0.815,42.0,211.0,253.0,235.0,58.0,42.0,150.0,165.0,914.0,,0.0
2017,28.0,BRK,NBA,PG,36.0,33.0,883.0,175.0,400.0,0.438,58.0,156.0,0.372,117.0,244.0,0.48,0.51,115.0,141.0,0.816,11.0,124.0,135.0,184.0,42.0,14.0,86.0,79.0,523.0,,0.0
2018,29.0,BRK,NBA,PG,1.0,1.0,25.0,5.0,12.0,0.417,1.0,2.0,0.5,4.0,10.0,0.4,0.458,7.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,18.0,,0.0
2019,30.0,TOT,NBA,PG,74.0,4.0,1436.0,238.0,541.0,0.44,55.0,187.0,0.294,183.0,354.0,0.517,0.491,176.0,210.0,0.838,22.0,157.0,179.0,231.0,47.0,13.0,124.0,144.0,707.0,,0.0
2019,30.0,ATL,NBA,PG,51.0,1.0,1003.0,180.0,386.0,0.466,44.0,132.0,0.333,136.0,254.0,0.535,0.523,142.0,168.0,0.845,16.0,103.0,119.0,181.0,38.0,7.0,98.0,96.0,546.0,,0.0
2019,30.0,TOR,NBA,PG,23.0,3.0,433.0,58.0,155.0,0.374,11.0,55.0,0.2,47.0,100.0,0.47,0.41,34.0,42.0,0.81,6.0,54.0,60.0,50.0,9.0,6.0,26.0,48.0,161.0,,0.0
