PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Julius Erving,31,21,780,22.5,0.581,0.019,0.509,8.5,13.8,11.2,19.4,2.3,2.7,14.5,24.9,,1.9,1.1,3.0,0.185,,6.6,1.4,8.0,2.0
Maurice Cheeks,25,21,765,16.6,0.513,0.034,0.245,2.3,6.7,4.6,31.9,3.1,0.4,14.3,18.8,,1.1,0.8,1.9,0.11900000000000001,,2.8,0.7,3.6,1.1
Andrew Toney,24,21,707,17.4,0.557,0.040999999999999995,0.282,3.3,4.8,4.1,23.8,1.2,0.2,14.0,28.3,,1.2,0.4,1.6,0.106,,3.2,-1.9,1.3,0.6
Caldwell Jones,31,21,679,11.7,0.514,0.0,0.256,8.9,21.9,15.6,3.7,0.8,3.4,14.0,12.8,,0.4,1.0,1.4,0.09699999999999999,,-0.2,0.2,0.0,0.3
Bobby Jones,30,21,589,16.5,0.611,0.0,0.466,7.3,11.4,9.4,12.5,1.2,2.1,13.6,17.2,,1.4,0.6,2.0,0.16,,3.2,0.5,3.7,0.9
Darryl Dawkins,25,21,460,14.3,0.578,0.0,0.281,5.8,17.7,12.0,3.7,0.7,4.4,16.0,21.7,,0.3,0.6,0.9,0.09,,-1.6,0.4,-1.2,0.1
Clint Richardson,25,21,415,9.9,0.474,0.0,0.28800000000000003,8.1,10.5,9.3,12.8,1.5,0.7,15.2,13.9,,0.1,0.4,0.5,0.057999999999999996,,-0.4,0.0,-0.4,0.2
Mike Bantom,30,21,399,7.4,0.41600000000000004,0.0,0.462,11.4,10.3,10.8,7.7,1.8,1.3,18.0,14.0,,-0.3,0.4,0.1,0.016,,-2.3,-0.4,-2.6,-0.1
Lionel Hollins,28,8,114,7.2,0.32899999999999996,0.02,0.122,1.0,7.6,4.4,29.8,3.9,0.5,20.1,23.7,,-0.4,0.1,-0.2,-0.10300000000000001,,-3.9,0.1,-3.7,-0.1
Earl Cureton,24,12,75,8.5,0.35600000000000004,0.024,0.22,18.6,20.3,19.5,3.8,0.7,0.8,10.0,27.9,,-0.2,0.1,-0.1,-0.046,,-4.7,-5.4,-10.1,-0.2
Steve Mix,34,7,50,19.3,0.598,0.045,0.318,9.3,15.2,12.4,19.1,0.0,0.0,13.8,24.4,,0.1,0.0,0.2,0.157,,5.2,-1.6,3.7,0.1
Franklin Edwards,22,9,32,41.1,0.6890000000000001,0.05,0.45,7.3,10.2,8.8,31.6,4.6,0.0,7.7,34.0,,0.2,0.0,0.3,0.435,,17.0,4.9,21.9,0.2
