Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1993,7,1403,DAL,Dallas Mavericks,Jim Jackson,"October 14, 1970",22.0,NBA,SF,28.0,28.0,938.0,9.5,24.0,0.4,1.1,3.8,0.29,8.4,20.2,0.42,3.5,4.7,0.74,2.2,4.1,6.3,6.7,2.1,0.6,5.9,4.1,23.5,,88.0,115.0
1994,7,1403,DAL,Dallas Mavericks,Jim Jackson,"October 14, 1970",23.0,NBA,SG,82.0,82.0,3066.0,10.6,23.7,0.44,0.3,1.0,0.28,10.3,22.7,0.45,4.7,5.7,0.82,2.8,3.6,6.4,6.2,1.4,0.4,5.5,2.7,26.1,,97.0,113.0
1995,7,1403,DAL,Dallas Mavericks,Jim Jackson,"October 14, 1970",24.0,NBA,SG,51.0,51.0,1982.0,12.4,26.2,0.47,0.9,2.8,0.32,11.5,23.4,0.49,7.8,9.7,0.8,3.1,3.6,6.6,4.9,0.7,0.3,4.1,2.4,33.5,,113.0,115.0
1996,7,1403,DAL,Dallas Mavericks,Jim Jackson,"October 14, 1970",25.0,NBA,SG,82.0,82.0,2820.0,10.1,23.3,0.44,2.2,5.9,0.36,8.0,17.4,0.46,6.2,7.5,0.82,3.1,4.2,7.3,4.2,0.8,0.4,3.4,2.9,28.6,,111.0,115.0
1997,31,1403,TOT,Total After Trade,Jim Jackson,"October 14, 1970",26.0,NBA,"SF,SG",77.0,77.0,2831.0,8.3,19.3,0.43,1.6,4.6,0.35,6.7,14.7,0.46,4.7,5.8,0.81,2.5,5.2,7.7,5.9,1.6,0.6,3.9,3.6,23.0,,106.0,111.0
1997,7,1403,DAL,Dallas Mavericks,Jim Jackson,"October 14, 1970",26.0,NBA,SG,46.0,46.0,1676.0,8.4,18.9,0.44,1.5,4.5,0.33,6.9,14.4,0.48,4.8,6.0,0.79,2.6,4.7,7.3,5.0,1.8,0.5,3.4,3.6,23.0,,106.0,110.0
1997,3,1403,NJN,New Jersey Nets,Jim Jackson,"October 14, 1970",26.0,NBA,SF,31.0,31.0,1155.0,8.3,19.8,0.42,1.8,4.9,0.37,6.5,15.0,0.43,4.7,5.5,0.85,2.3,6.0,8.3,7.2,1.3,0.8,4.5,3.6,23.0,,105.0,111.0
1998,31,1403,TOT,Total After Trade,Jim Jackson,"October 14, 1970",27.0,NBA,SG,79.0,78.0,3046.0,8.3,19.2,0.43,1.1,3.3,0.32,7.2,15.9,0.45,4.0,4.9,0.81,2.3,4.7,6.9,6.6,1.4,0.1,4.6,3.2,21.5,,99.0,109.0
1998,23,1403,PHI,Philadelphia 76Ers,Jim Jackson,"October 14, 1970",27.0,NBA,SG,48.0,47.0,1788.0,7.3,15.9,0.46,1.2,3.3,0.35,6.1,12.6,0.49,3.7,4.6,0.82,2.0,4.7,6.7,6.6,1.2,0.2,4.3,3.3,19.5,,103.0,109.0
1998,10,1403,GSW,Golden State Warriors,Jim Jackson,"October 14, 1970",27.0,NBA,SG,31.0,31.0,1258.0,9.6,23.9,0.4,0.9,3.3,0.28,8.7,20.6,0.42,4.3,5.3,0.8,2.5,4.7,7.2,6.6,1.6,0.1,4.9,3.1,24.4,,94.0,108.0
