SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,8,DEN,Fat Lever,29,3,3,113,19,51,0.37,1,7,0.14,18,44,0.41,0.38,13,14,0.93,11,21,32,21,8,1,5,7,52
1990,8,DEN,Michael Adams,27,3,3,105,13,34,0.38,6,20,0.3,7,14,0.5,0.47,7,8,0.88,0,6,6,18,4,0,8,10,39
1990,8,DEN,Blair Rasmussen,27,3,0,84,19,48,0.4,0,0,,19,48,0.4,0.4,9,10,0.9,8,18,26,1,2,4,2,10,47
1990,8,DEN,Bill Hanzlik,32,3,0,79,5,17,0.29,1,3,0.33,4,14,0.29,0.32,10,10,1.0,5,5,10,11,5,2,2,13,21
1990,8,DEN,Alex English,36,3,3,76,25,44,0.57,0,0,,25,44,0.57,0.57,9,11,0.82,3,6,9,9,2,1,2,6,59
1990,8,DEN,Walter Davis,35,3,0,70,18,45,0.4,0,1,0.0,18,44,0.41,0.4,6,6,1.0,4,5,9,6,1,0,5,4,42
1990,8,DEN,Todd Lichti,23,3,0,70,15,29,0.52,0,1,0.0,15,28,0.54,0.52,14,19,0.74,5,13,18,9,1,0,8,6,44
1990,8,DEN,Joe Barry Carroll,31,3,3,46,9,16,0.56,0,0,,9,16,0.56,0.56,2,2,1.0,1,8,9,3,1,5,1,6,20
1990,8,DEN,Tim Kempton,26,3,1,32,7,9,0.78,0,0,,7,9,0.78,0.78,4,4,1.0,1,4,5,4,0,0,2,8,18
1990,8,DEN,T.R. Dunn,34,3,0,31,0,0,,0,0,,0,0,,,0,0,,1,6,7,2,4,1,1,3,0
1990,8,DEN,Jerome Lane,23,2,2,14,0,3,0.0,0,0,,0,3,0.0,0.0,1,2,0.5,0,1,1,2,0,0,2,4,1
