Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,11,HOU,Houston Rockets,Sleepy Floyd,29,4,4,172,30,64,0.47,3,12,0.25,27,52,0.52,0.49,11,17,0.65,7,8,15,41,5,1,15,5,74
1990,11,HOU,Houston Rockets,Otis Thorpe,27,4,4,164,27,45,0.6,0,0,,27,45,0.6,0.6,26,38,0.68,14,19,33,7,5,0,9,12,80
1990,11,HOU,Houston Rockets,Hakeem Olajuwon,27,4,4,161,31,70,0.44,0,0,,31,70,0.44,0.44,12,17,0.71,15,31,46,8,10,23,11,19,74
1990,11,HOU,Houston Rockets,Vernon Maxwell,24,4,4,159,30,81,0.37,8,26,0.31,22,55,0.4,0.42,11,21,0.52,5,7,12,17,5,0,6,12,79
1990,11,HOU,Houston Rockets,Buck Johnson,26,4,4,148,20,48,0.42,0,1,0.0,20,47,0.43,0.42,11,13,0.85,8,8,16,9,6,2,4,16,51
1990,11,HOU,Houston Rockets,Larry Smith,32,4,0,73,6,8,0.75,0,0,,6,8,0.75,0.75,0,0,,7,6,13,5,4,0,5,11,12
1990,11,HOU,Houston Rockets,Mitchell Wiggins,30,4,0,51,7,15,0.47,0,0,,7,15,0.47,0.47,2,3,0.67,4,9,13,2,1,0,4,5,16
1990,11,HOU,Houston Rockets,Tim McCormick,27,3,0,21,1,3,0.33,0,0,,1,3,0.33,0.33,1,2,0.5,1,7,8,0,0,0,0,5,3
1990,11,HOU,Houston Rockets,Mike Woodson,31,1,0,6,1,3,0.33,0,1,0.0,1,2,0.5,0.33,0,0,,0,0,0,2,0,0,0,1,2
1990,11,HOU,Houston Rockets,Anthony Bowie,26,2,0,4,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,1,0
1990,11,HOU,Houston Rockets,Adrian Caldwell,23,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
