Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2011,30,3007,WAS,Washington Wizards,John Wall,"September 6, 1990",20.0,NBA,PG,69.0,64.0,2606.0,398.0,972.0,0.41,34.0,115.0,0.3,364.0,857.0,0.42,0.43,301.0,393.0,0.77,35.0,282.0,317.0,574.0,121.0,35.0,261.0,175.0,1131.0,,1.0
2012,30,3007,WAS,Washington Wizards,John Wall,"September 6, 1990",21.0,NBA,PG,66.0,66.0,2386.0,378.0,894.0,0.42,3.0,42.0,0.07,375.0,852.0,0.44,0.42,317.0,402.0,0.79,48.0,252.0,300.0,530.0,95.0,57.0,255.0,137.0,1076.0,,0.0
2013,30,3007,WAS,Washington Wizards,John Wall,"September 6, 1990",22.0,NBA,PG,49.0,42.0,1602.0,324.0,735.0,0.44,12.0,45.0,0.27,312.0,690.0,0.45,0.45,246.0,306.0,0.8,35.0,161.0,196.0,373.0,65.0,37.0,157.0,117.0,906.0,,0.0
2014,30,3007,WAS,Washington Wizards,John Wall,"September 6, 1990",23.0,NBA,PG,82.0,82.0,2980.0,579.0,1337.0,0.43,108.0,308.0,0.35,471.0,1029.0,0.46,0.47,317.0,394.0,0.8,38.0,295.0,333.0,721.0,149.0,40.0,295.0,219.0,1583.0,,2.0
2015,30,3007,WAS,Washington Wizards,John Wall,"September 6, 1990",24.0,NBA,PG,79.0,79.0,2837.0,519.0,1166.0,0.44,65.0,217.0,0.3,454.0,949.0,0.48,0.47,284.0,362.0,0.78,36.0,330.0,366.0,792.0,138.0,45.0,304.0,180.0,1387.0,,0.0
2016,30,3007,WAS,Washington Wizards,John Wall,"September 6, 1990",25.0,NBA,PG,77.0,77.0,2784.0,572.0,1349.0,0.42,115.0,328.0,0.35,457.0,1021.0,0.45,0.47,272.0,344.0,0.79,42.0,337.0,379.0,789.0,145.0,59.0,318.0,159.0,1531.0,,4.0
2017,30,3007,WAS,Washington Wizards,John Wall,"September 6, 1990",26.0,NBA,PG,78.0,78.0,2836.0,647.0,1435.0,0.45,89.0,272.0,0.33,558.0,1163.0,0.48,0.48,422.0,527.0,0.8,59.0,267.0,326.0,831.0,157.0,49.0,322.0,151.0,1805.0,,0.0
2018,30,3007,WAS,Washington Wizards,John Wall,"September 6, 1990",27.0,NBA,PG,41.0,41.0,1410.0,280.0,667.0,0.42,62.0,167.0,0.37,218.0,500.0,0.44,0.47,175.0,241.0,0.73,22.0,128.0,150.0,393.0,57.0,45.0,158.0,80.0,797.0,,0.0
2019,30,3007,WAS,Washington Wizards,John Wall,"September 6, 1990",28.0,NBA,PG,32.0,32.0,1104.0,245.0,552.0,0.44,51.0,169.0,0.3,194.0,383.0,0.51,0.49,122.0,175.0,0.7,15.0,101.0,116.0,279.0,49.0,29.0,121.0,71.0,663.0,,0.0
2021,11,3007,HOU,Houston Rockets,John Wall,"September 6, 1990",30.0,NBA,PG,13.0,13.0,387.0,85.0,195.0,0.44,26.0,68.0,0.38,59.0,127.0,0.46,0.5,40.0,48.0,0.83,8.0,42.0,50.0,77.0,13.0,10.0,42.0,15.0,236.0,,0.0
