TEAM,OVERALL,HOME RECORD,ROAD RECORD,EASTERN CONFERENCE RECORD,WESTERN CONFERENCE RECORD,ATLANTIC DIVISION RECORD,CENTRAL DIVISION RECORD,SOUTHEASTERN DIVISION RECORD,NORTHWESTERN DIVISION RECORD,PACIFIC DIVISION RECORD,SOUTHWESTERN DIVISION RECORD,PRE ALLSTAR RECORD,POST ALLSTAR RECORD,3 POINT MARGIN,10 POINT MARGIN,OCT RECORD,NOV RECORD,DEC RECORD,JAN RECORD,FEB RECORD,MAR RECORD,APR RECORD
CLE,66-16,39-2,27-14,40-12,26-4,15-3,13-3,12-6,10-0,8-2,8-2,40-11,26-5,3-3,41-7,1-1,13-2,12-2,10-4,9-3,16-1,5-3
LAL,65-17,36-5,29-12,21-9,44-8,9-1,8-2,4-6,14-4,14-2,16-2,42-10,23-7,7-5,35-7,2-0,12-1,11-4,12-4,11-2,10-5,7-1
BOS,62-20,35-6,27-14,41-11,21-9,15-1,12-6,14-4,7-3,6-4,8-2,44-11,18-9,7-3,35-6,2-0,14-2,12-3,11-4,8-4,9-6,6-1
ORL,59-23,32-9,27-14,37-15,22-8,12-6,11-7,14-2,8-2,9-1,5-5,38-13,21-10,9-2,32-10,0-2,13-2,12-3,10-3,8-6,12-2,4-5
DEN,54-28,33-8,21-20,19-11,35-17,8-2,3-7,8-2,12-4,11-7,12-6,36-17,18-11,8-5,32-14,1-1,11-5,9-6,10-4,8-4,10-6,5-2
POR,54-28,34-7,20-21,22-8,32-20,7-3,8-2,7-3,11-5,11-7,10-8,32-20,22-8,9-1,31-11,1-1,11-5,8-6,9-5,7-5,11-5,7-1
SAS,54-28,28-13,26-15,18-12,36-16,6-4,5-5,7-3,11-7,15-3,10-6,35-16,19-12,12-7,26-12,0-2,9-5,11-4,12-3,7-4,9-8,6-2
HOU,53-29,33-8,20-21,18-12,35-17,5-5,5-5,8-2,14-4,12-6,9-7,32-21,21-8,5-8,29-11,2-0,9-7,10-5,8-7,8-3,11-4,5-3
DAL,50-32,32-9,18-23,21-9,29-23,7-3,6-4,8-2,11-7,11-7,7-9,31-21,19-11,10-4,28-14,0-1,8-7,11-4,8-7,8-4,9-7,6-2
NOH,49-33,28-13,21-20,19-11,30-22,6-4,7-3,6-4,10-8,11-7,9-7,30-20,19-13,8-1,23-17,2-0,7-6,10-3,9-7,7-6,11-5,3-6
UTA,48-34,33-8,15-26,15-15,33-19,7-3,5-5,3-7,10-6,12-6,11-7,30-23,18-11,1-3,26-15,1-0,10-7,8-7,7-8,10-1,10-5,2-6
ALT,47-35,31-10,16-25,30-22,17-13,6-12,13-5,11-5,7-3,5-5,5-5,31-21,16-14,5-7,18-13,1-0,9-6,11-4,6-10,6-5,10-7,4-3
PHO,46-36,28-13,18-23,16-14,30-22,5-5,5-5,6-4,12-6,11-5,7-11,28-23,18-13,5-3,23-21,1-1,10-6,7-5,7-8,8-5,7-9,6-2
MIA,43-39,28-13,15-26,28-24,15-15,9-9,10-8,9-7,5-5,8-2,2-8,28-24,15-15,7-6,16-17,1-1,7-8,9-4,8-8,6-6,8-8,4-4
CHI,41-41,28-13,13-28,24-28,17-13,9-9,9-7,6-12,4-6,8-2,5-5,23-30,18-11,4-8,18-19,1-1,7-8,6-9,7-9,6-6,9-7,5-1
PHI,41-41,24-17,17-24,25-27,16-14,6-10,10-8,9-9,4-6,7-3,5-5,27-24,14-17,6-9,15-19,1-1,6-9,6-8,10-5,6-6,9-6,3-6
DET,39-43,21-20,18-23,26-26,13-17,9-9,7-9,10-8,4-6,7-3,2-8,27-24,12-19,5-6,12-16,1-0,9-6,9-5,6-9,3-9,8-9,3-5
IND,36-46,25-16,11-30,23-29,13-17,8-10,7-9,8-10,4-6,6-4,3-7,21-33,15-13,9-12,9-15,0-1,6-9,4-11,9-8,6-7,7-7,4-3
CHA,35-47,23-18,12-29,20-32,15-15,9-9,6-12,5-11,4-6,8-2,3-7,21-31,14-16,5-5,14-18,0-1,5-10,6-10,8-7,6-7,9-5,1-7
MIL,34-48,22-19,12-29,21-31,13-17,8-10,4-12,9-9,4-6,4-6,5-5,26-29,8-19,5-3,16-21,1-1,6-11,8-6,9-9,5-6,3-10,2-5
NJN,34-48,19-22,15-26,23-29,11-19,8-8,6-12,9-9,4-6,4-6,3-7,24-29,10-19,6-8,18-24,1-0,8-7,6-10,6-10,5-5,4-12,4-4
TOR,33-49,18-23,15-26,22-30,11-19,6-10,7-11,9-9,3-7,5-5,3-7,21-34,12-15,3-4,15-24,2-0,6-8,4-12,7-9,4-8,5-8,5-4
NYK,32-50,20-21,12-29,20-32,12-18,5-11,6-12,9-9,3-7,3-7,6-4,21-31,11-19,1-4,12-20,1-1,7-7,4-10,9-7,3-10,5-11,3-4
GSW,29-53,21-20,8-33,11-19,18-34,6-4,2-8,3-7,9-9,6-10,3-15,19-35,10-18,3-6,13-25,0-2,5-10,5-12,5-9,5-5,5-11,4-4
MEM,24-58,16-25,8-33,10-20,14-38,1-9,4-6,5-5,1-17,8-10,5-11,15-37,9-21,2-4,11-38,1-1,3-12,6-9,1-13,4-8,4-11,5-4
MIN,24-58,11-30,13-28,11-19,13-39,3-7,6-4,2-8,3-13,6-12,4-14,17-34,7-24,6-8,7-27,1-0,3-11,2-14,10-4,2-11,3-14,3-4
OKC,23-59,15-26,8-33,8-22,15-37,4-6,2-8,2-8,4-12,5-13,6-12,13-40,10-19,7-9,6-34,0-1,2-15,2-13,7-7,3-9,7-8,2-6
LAC,19-63,11-30,8-33,9-21,10-42,4-6,2-8,3-7,5-13,2-14,3-15,13-40,6-23,4-8,10-41,0-2,3-11,5-10,2-14,5-8,3-11,1-7
WAS,19-63,13-28,6-35,10-42,9-21,4-14,5-13,1-15,4-6,4-6,1-9,11-42,8-21,7-5,7-35,0-1,2-11,4-12,4-13,4-8,3-13,2-5
SAC,17-65,11-30,6-35,1-29,16-36,1-9,0-10,0-10,5-13,7-9,4-14,11-43,6-22,2-14,6-33,0-2,5-12,3-10,2-14,3-10,3-9,1-8
