SEASON,TEAM ID,TEAM,OVERALL,HOME RECORD,ROAD RECORD,EASTERN CONFERENCE RECORD,WESTERN CONFERENCE RECORD,ATLANTIC DIVISION RECORD,CENTRAL DIVISION RECORD,SOUTHEASTERN DIVISION RECORD,NORTHWESTERN DIVISION RECORD,PACIFIC DIVISION RECORD,SOUTHWESTERN DIVISION RECORD,PRE ALLSTAR RECORD,POST ALLSTAR RECORD,3 POINT MARGIN,10 POINT MARGIN,OCT RECORD,NOV RECORD,DEC RECORD,JAN RECORD,FEB RECORD,MAR RECORD,APR RECORD
2015,28,TOR,49-33,27-14,22-19,33-19,16-14,11-5,8-10,14-4,7-3,6-4,3-7,36-17,13-16,6-5,29-11,1-0,12-4,11-4,9-7,4-7,7-8,5-3
2015,30,WAS,46-36,29-12,17-24,30-22,16-14,11-7,9-9,10-6,6-4,4-6,6-4,33-21,13-15,9-4,21-14,1-1,9-4,12-4,9-8,3-9,7-7,5-3
2015,19,NOP,45-37,28-13,17-24,16-14,29-23,6-4,5-5,5-5,10-8,11-7,8-8,27-26,18-11,10-4,19-14,1-0,6-8,9-8,9-6,6-5,8-7,6-3
2015,21,OKC,45-37,29-12,16-25,20-10,25-27,6-4,5-5,9-1,10-6,11-7,4-14,28-25,17-12,4-8,26-14,0-2,5-10,11-5,7-7,9-3,10-5,3-5
2015,17,MIL,41-41,23-18,18-23,30-22,11-19,14-4,7-9,9-9,5-5,5-5,1-9,30-23,11-18,5-9,17-16,1-1,9-7,7-8,8-6,7-5,4-11,5-3
2015,2,BOS,40-42,21-20,19-22,28-24,12-18,12-4,9-9,7-11,6-4,3-7,3-7,20-31,20-11,8-6,17-14,1-0,3-10,7-8,5-11,7-4,10-8,7-1
2015,24,PHO,39-43,22-19,17-24,18-12,21-31,8-2,6-4,4-6,9-9,6-10,6-12,29-25,10-18,4-12,14-19,2-0,8-8,8-8,10-5,3-8,7-8,1-6
2015,3,BRK,38-44,19-22,19-22,24-28,14-16,10-6,7-11,7-11,6-4,6-4,2-8,21-31,17-13,10-2,15-23,0-1,6-8,9-7,3-12,6-5,9-7,5-4
2015,12,IND,38-44,23-18,15-26,28-24,10-20,9-9,8-8,11-7,4-6,2-8,4-6,21-33,17-11,4-12,19-20,1-1,6-9,5-11,5-11,7-2,8-8,6-2
2015,29,UTA,38-44,21-20,17-24,15-15,23-29,6-4,6-4,3-7,9-7,7-11,7-11,19-34,19-10,5-10,18-19,0-2,5-10,6-9,6-9,6-5,10-6,5-3
2015,16,MIA,37-45,20-21,17-24,25-27,12-18,14-4,5-13,6-10,4-6,7-3,1-9,22-30,15-15,4-10,15-28,1-0,8-7,5-12,6-7,5-7,9-7,3-5
2015,4,CHO,33-49,19-22,14-27,25-27,8-22,10-8,7-11,8-8,5-5,2-8,1-9,22-30,11-19,6-8,13-22,1-0,3-14,6-9,10-4,3-6,8-9,2-7
2015,9,DET,32-50,18-23,14-27,23-29,9-21,8-10,6-10,9-9,2-8,3-7,4-6,21-33,11-17,7-6,19-25,0-2,3-12,5-9,10-7,5-6,6-9,3-5
2015,8,DEN,30-52,19-22,11-30,11-19,19-33,1-9,6-4,4-6,6-10,8-10,5-13,20-33,10-19,4-4,17-28,1-0,7-8,5-11,6-10,1-9,8-8,2-6
2015,26,SAC,29-53,18-23,11-30,11-19,18-34,4-6,4-6,3-7,8-10,7-9,3-15,18-34,11-19,6-4,12-28,1-1,8-7,4-11,4-10,3-7,6-11,3-6
2015,22,ORL,25-57,13-28,12-29,15-37,10-20,6-12,5-13,4-12,4-6,4-6,2-8,17-39,8-18,6-8,4-27,0-2,7-10,6-10,2-13,4-6,3-11,3-5
2015,14,LAL,21-61,12-29,9-32,12-18,9-43,4-6,5-5,3-7,5-13,2-14,2-16,13-40,8-21,6-6,5-30,0-3,4-10,6-9,3-12,3-7,4-12,1-8
2015,23,PHI,18-64,12-29,6-35,12-40,6-24,2-14,5-13,5-13,4-6,1-9,1-9,12-41,6-23,3-7,5-41,0-2,0-14,4-10,6-12,3-7,5-12,0-7
2015,20,NYK,17-65,10-31,7-34,11-41,6-24,5-11,2-16,4-14,2-8,2-8,2-8,10-43,7-22,2-7,3-39,1-1,3-13,1-15,4-9,3-8,2-14,3-5
2015,18,MIN,16-66,9-32,7-34,9-21,7-45,4-6,3-7,2-8,4-12,2-16,1-17,11-42,5-24,6-6,4-40,1-1,3-10,1-14,3-14,5-6,3-13,0-8
