Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2002,16,52,MIA,Miami Heat,Malik Allen,1978-06-27,23.0,NBA,PF,12.0,161.0,15.0,0.47,0.02,0.2,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,0.2,0.3,0.5,0.14,-1.4,0.3,-1.1,0.0
2003,16,52,MIA,Miami Heat,Malik Allen,1978-06-27,24.0,NBA,PF,80.0,2318.0,9.9,0.46,0.0,0.15,6.5,14.9,10.6,4.4,0.9,2.6,13.2,19.7,-1.7,2.6,0.9,0.02,-3.9,-0.4,-4.4,-1.4
2004,16,52,MIA,Miami Heat,Malik Allen,1978-06-27,25.0,NBA,PF,45.0,616.0,10.5,0.45,0.0,0.17,7.9,14.7,11.3,4.7,1.1,3.6,11.3,18.3,-0.1,0.8,0.7,0.05,-3.7,-0.1,-3.8,-0.3
2005,31,52,TOT,Total After Trade,Malik Allen,1978-06-27,26.0,NBA,PF,36.0,519.0,14.2,0.51,0.0,0.16,9.0,13.3,11.0,5.7,0.9,3.2,8.7,18.1,0.6,0.5,1.1,0.1,-1.0,-0.7,-1.8,0.0
2005,16,52,MIA,Miami Heat,Malik Allen,1978-06-27,26.0,NBA,PF,14.0,248.0,13.6,0.5,0.0,0.18,11.8,12.7,12.2,7.0,0.9,3.3,11.8,17.5,0.3,0.3,0.6,0.11,-1.3,-0.3,-1.6,0.0
2005,4,52,CHA,Charlotte Bobcats,Malik Allen,1978-06-27,26.0,NBA,PF,22.0,271.0,14.8,0.52,0.0,0.14,6.4,13.8,9.9,4.6,1.0,3.1,6.1,18.7,0.3,0.2,0.5,0.09,-0.8,-1.2,-2.0,0.0
2006,5,52,CHI,Chicago Bulls,Malik Allen,1978-06-27,27.0,NBA,PF,54.0,701.0,11.5,0.5,0.0,0.15,7.2,15.7,11.5,4.9,1.0,1.8,11.4,19.2,0.0,1.0,1.0,0.07,-3.0,0.3,-2.7,-0.1
2007,5,52,CHI,Chicago Bulls,Malik Allen,1978-06-27,28.0,NBA,PF,60.0,638.0,10.4,0.44,0.0,0.13,7.6,13.7,10.6,4.2,1.4,2.0,7.1,20.5,-0.2,1.1,1.0,0.07,-3.9,0.5,-3.4,-0.2
2008,31,52,TOT,Total After Trade,Malik Allen,1978-06-27,29.0,NBA,PF,73.0,1096.0,9.8,0.5,0.01,0.08,7.0,13.6,10.4,6.8,0.9,2.2,11.7,16.1,0.1,0.9,1.0,0.04,-3.4,0.0,-3.5,-0.4
2008,3,52,NJN,New Jersey Nets,Malik Allen,1978-06-27,29.0,NBA,PF,48.0,763.0,10.1,0.49,0.01,0.05,6.4,13.1,9.7,6.8,1.0,2.1,10.7,17.9,-0.2,0.5,0.4,0.02,-3.3,-0.3,-3.6,-0.3
2008,7,52,DAL,Dallas Mavericks,Malik Allen,1978-06-27,29.0,NBA,PF,25.0,333.0,9.1,0.54,0.0,0.18,8.6,14.8,11.8,6.7,0.6,2.2,15.4,11.8,0.3,0.4,0.7,0.1,-3.8,0.5,-3.3,-0.1
2009,17,52,MIL,Milwaukee Bucks,Malik Allen,1978-06-27,30.0,NBA,PF,49.0,579.0,7.3,0.44,0.01,0.12,6.8,14.5,10.5,9.5,0.6,1.7,10.0,15.4,-0.2,0.5,0.3,0.02,-4.2,-0.2,-4.5,-0.4
2010,8,52,DEN,Denver Nuggets,Malik Allen,1978-06-27,31.0,NBA,PF,51.0,456.0,5.9,0.43,0.05,0.11,9.2,11.5,10.4,5.1,1.2,0.8,15.3,14.0,-0.3,0.3,0.1,0.01,-4.7,-1.0,-5.7,-0.4
2011,22,52,ORL,Orlando Magic,Malik Allen,1978-06-27,32.0,NBA,PF,18.0,178.0,3.3,0.36,0.0,0.06,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,-0.1,0.2,0.2,0.05,-5.8,0.5,-5.4,-0.2
