PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jrue Holiday,28,67,67,2402,8.2,17.4,0.47200000000000003,1.8,5.4,0.325,6.4,11.9,0.539,3.1,4.1,0.768,1.1,3.9,5.0,7.8,1.6,0.8,3.1,2.2,21.3
Julius Randle,24,73,49,2232,9.2,17.6,0.524,1.1,3.1,0.344,8.1,14.4,0.564,5.7,7.9,0.731,2.6,7.6,10.2,3.7,0.8,0.7,3.4,4.0,25.2
Anthony Davis,25,56,56,1850,10.3,20.0,0.517,0.9,2.8,0.331,9.4,17.1,0.547,6.7,8.4,0.794,3.4,9.7,13.1,4.2,1.7,2.6,2.2,2.6,28.3
Darius Miller,28,69,15,1757,3.9,9.9,0.39,2.7,7.5,0.365,1.1,2.5,0.467,1.1,1.5,0.789,0.3,2.3,2.6,3.0,0.8,0.5,1.2,3.4,11.6
E'Twaun Moore,29,53,36,1463,6.3,13.1,0.48100000000000004,1.9,4.3,0.43200000000000005,4.4,8.8,0.506,1.1,1.5,0.763,0.9,2.3,3.1,2.5,1.0,0.2,1.5,2.8,15.6
Elfrid Payton,24,42,42,1250,5.2,11.9,0.434,1.0,3.0,0.314,4.2,8.8,0.47600000000000003,1.6,2.1,0.743,1.4,4.9,6.3,9.2,1.3,0.5,3.2,2.3,12.8
Frank Jackson,20,61,16,1169,6.0,13.8,0.434,1.6,5.2,0.314,4.3,8.6,0.507,1.7,2.2,0.74,0.8,3.4,4.1,2.1,0.8,0.1,1.5,2.8,15.2
Kenrich Williams,24,46,29,1079,3.6,9.3,0.384,1.7,5.2,0.33299999999999996,1.8,4.1,0.447,0.4,0.6,0.684,1.8,5.5,7.3,2.8,1.5,0.6,1.2,3.2,9.3
Ian Clark,27,60,6,973,5.6,14.2,0.39399999999999996,2.4,7.5,0.327,3.1,6.7,0.47,1.2,1.4,0.892,0.5,2.8,3.3,3.5,0.8,0.3,2.1,3.5,14.8
Jahlil Okafor,23,59,24,935,8.2,13.9,0.586,0.0,0.2,0.2,8.1,13.7,0.591,2.3,3.4,0.6629999999999999,3.2,7.5,10.7,1.5,0.6,1.5,2.0,3.7,18.6
Nikola Mirotić,27,32,22,925,7.1,15.8,0.447,3.3,9.0,0.368,3.8,6.8,0.551,3.3,3.9,0.8420000000000001,1.8,8.5,10.3,1.4,0.8,1.0,1.4,3.3,20.8
Tim Frazier,28,47,17,909,3.5,7.7,0.451,1.1,3.0,0.35100000000000003,2.4,4.7,0.517,1.3,1.6,0.78,1.3,4.2,5.4,8.2,1.0,0.2,2.4,3.7,9.3
Cheick Diallo,22,64,1,896,6.8,10.9,0.62,0.0,0.2,0.25,6.7,10.7,0.625,2.0,2.7,0.746,3.0,10.3,13.3,1.3,1.2,1.3,2.0,4.5,15.5
Solomon Hill,27,44,15,878,2.8,7.3,0.382,1.3,4.1,0.317,1.5,3.2,0.46799999999999997,0.9,1.3,0.7190000000000001,1.4,4.1,5.5,2.3,0.9,0.4,1.3,3.3,7.8
Wesley Johnson,31,26,13,377,3.3,8.4,0.39799999999999996,1.8,4.8,0.38,1.5,3.6,0.42100000000000004,0.6,0.9,0.667,1.0,4.2,5.2,1.5,1.1,0.7,1.1,4.3,9.1
Stanley Johnson,22,18,0,247,5.5,13.3,0.418,1.6,5.0,0.324,3.9,8.3,0.474,1.3,1.9,0.6920000000000001,1.3,4.8,6.1,4.1,1.7,0.1,3.8,3.2,14.0
Christian Wood,23,8,2,189,9.3,17.5,0.5329999999999999,1.1,4.0,0.28600000000000003,8.2,13.5,0.606,5.9,7.8,0.7559999999999999,2.5,9.5,12.0,1.1,1.3,1.9,2.7,2.7,25.7
Dairis Bertāns,29,12,0,167,2.6,10.1,0.255,2.2,7.3,0.294,0.4,2.8,0.154,0.0,0.0,,0.4,1.5,1.9,2.2,0.2,0.0,0.4,1.5,7.3
Andrew Harrison,24,6,0,38,2.8,11.4,0.25,1.9,9.5,0.2,0.9,1.9,0.5,0.9,1.9,0.5,1.9,2.8,4.7,6.6,0.0,0.0,1.9,6.6,8.5
Jason Smith,32,2,0,20,3.6,16.2,0.222,3.6,12.6,0.28600000000000003,0.0,3.6,0.0,3.6,3.6,1.0,3.6,3.6,7.2,1.8,0.0,0.0,1.8,5.4,14.4
