TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
MIA,82,19930,36.7,86.5,0.42,5.2,15.3,0.34,31.5,71.2,0.44,21.6,29.3,0.74,12.3,34.2,46.5,20.1,8.5,4.9,15.6,23.5,100.2
PHI,82,19730,37.9,89.0,0.43,6.0,18.1,0.33,31.9,70.9,0.45,18.5,24.6,0.75,13.4,32.1,45.6,24.2,9.0,6.3,16.5,25.0,100.3
SAS,82,19855,38.7,91.0,0.43,5.0,14.9,0.34,33.7,76.1,0.44,17.2,22.2,0.78,13.5,32.6,46.1,20.7,8.5,5.7,16.0,25.5,99.7
TOR,82,19755,38.6,87.5,0.44,5.2,14.9,0.35,33.4,72.6,0.46,20.7,27.5,0.75,13.6,33.3,47.0,22.3,8.6,5.4,17.1,22.1,103.1
NJN,82,19830,37.7,87.9,0.43,5.4,15.5,0.35,32.3,72.4,0.45,18.8,24.9,0.75,13.2,33.2,46.4,20.6,8.8,5.8,17.4,22.0,99.5
DET,82,19680,39.6,88.7,0.45,4.9,13.5,0.36,34.8,75.2,0.46,18.3,24.2,0.76,13.4,34.0,47.4,22.2,8.8,4.5,17.2,25.4,102.4
CHO,82,19755,38.6,89.3,0.43,5.9,15.7,0.38,32.7,73.7,0.44,20.2,26.3,0.77,13.0,32.5,45.6,22.2,8.5,5.7,15.4,23.1,103.3
POR,82,19830,40.0,88.2,0.45,6.3,17.4,0.36,33.7,70.8,0.48,17.8,24.0,0.74,12.1,31.5,43.6,26.3,8.3,5.6,16.4,22.4,104.0
BOS,82,19830,36.6,86.1,0.42,6.7,19.8,0.34,29.9,66.3,0.45,21.1,27.4,0.77,12.5,36.7,49.2,23.6,8.2,6.2,17.5,22.7,101.0
LAL,82,19780,37.8,89.3,0.42,5.3,16.6,0.32,32.6,72.7,0.45,20.8,27.3,0.76,13.4,33.3,46.7,21.6,7.7,4.7,15.1,24.9,101.7
WAS,82,19730,40.7,90.0,0.45,5.8,16.4,0.35,34.9,73.6,0.47,19.2,25.5,0.76,13.2,32.7,45.9,25.0,7.9,5.7,15.1,23.6,106.4
SEA,82,19830,40.3,89.8,0.45,6.4,18.7,0.34,33.9,71.1,0.48,18.5,25.1,0.74,14.8,31.6,46.4,24.9,7.7,5.4,17.0,22.1,105.6
UTA,82,19830,37.2,83.4,0.45,6.2,16.3,0.38,31.0,67.1,0.46,23.9,31.0,0.77,12.4,29.6,42.0,21.3,10.0,7.3,18.4,27.7,104.6
NYK,82,19805,39.5,88.7,0.44,6.0,17.0,0.35,33.5,71.8,0.47,20.9,27.6,0.76,13.0,34.3,47.3,23.8,9.3,5.2,14.9,22.6,105.9
PHO,82,19830,39.1,88.2,0.44,5.7,16.0,0.36,33.4,72.2,0.46,20.0,26.6,0.75,13.6,33.0,46.6,24.1,9.1,6.3,16.7,20.1,104.0
MIN,82,19805,39.7,89.1,0.44,6.6,17.7,0.37,33.1,71.4,0.46,19.4,26.2,0.74,12.2,31.1,43.3,24.8,7.3,5.4,14.7,22.4,105.3
LAC,82,19805,41.3,92.4,0.45,5.5,15.4,0.36,35.9,77.0,0.47,17.9,24.0,0.74,14.3,32.0,46.3,25.0,8.2,5.9,14.2,23.9,106.0
IND,82,19905,39.0,89.2,0.44,5.5,15.7,0.35,33.6,73.4,0.46,20.2,27.0,0.75,13.7,33.0,46.7,23.2,8.1,6.1,15.4,24.3,103.8
SAC,82,19755,39.8,90.4,0.44,4.9,14.6,0.34,34.9,75.8,0.46,16.7,22.4,0.74,13.5,33.3,46.8,23.4,8.0,4.9,15.8,23.2,101.1
