TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
SAS,82,19855,38.4,90.3,0.42,4.7,13.8,0.34,33.7,76.5,0.44,17.0,23.0,0.74,13.1,32.1,45.2,22.2,8.6,5.7,15.7,25.2,98.6
NYK,82,19830,36.8,86.8,0.42,5.5,16.2,0.34,31.3,70.6,0.44,21.8,29.2,0.75,12.6,33.1,45.7,21.8,8.2,4.8,15.8,24.4,100.9
POR,82,19780,38.1,88.5,0.43,5.3,16.1,0.33,32.8,72.4,0.45,19.2,26.8,0.72,13.2,30.0,43.2,23.0,8.8,4.7,16.0,25.3,100.8
MIA,82,19830,37.5,89.0,0.42,5.5,15.3,0.36,32.0,73.8,0.43,20.4,27.3,0.75,13.1,31.6,44.7,21.4,8.4,4.9,15.5,24.2,101.0
UTA,82,19755,37.7,84.6,0.45,5.3,14.9,0.35,32.4,69.7,0.46,21.7,29.0,0.75,12.0,30.3,42.3,22.0,8.0,5.6,17.2,27.4,102.3
LAL,82,19805,36.8,88.6,0.42,4.8,14.8,0.33,32.0,73.8,0.43,19.7,26.5,0.74,13.1,32.9,45.9,20.7,8.1,4.5,15.5,27.3,98.2
PHI,82,19830,37.4,86.1,0.44,5.4,15.3,0.36,32.0,70.8,0.45,19.7,26.1,0.76,13.9,32.7,46.6,23.9,8.2,6.9,18.9,25.8,100.0
PHO,82,19805,36.4,85.9,0.42,5.2,14.8,0.35,31.2,71.1,0.44,21.0,28.4,0.74,13.8,31.8,45.6,21.9,9.4,5.5,18.3,23.1,99.0
CHI,82,19805,39.5,86.7,0.46,4.9,14.2,0.34,34.7,72.4,0.48,20.8,28.0,0.74,13.5,32.7,46.3,25.8,11.6,6.2,16.9,26.6,104.6
CHO,82,19780,39.4,88.0,0.45,5.3,14.0,0.38,34.1,74.0,0.46,17.4,23.3,0.74,12.5,32.9,45.4,24.6,7.8,5.4,16.8,26.8,101.4
MIN,82,19905,38.4,86.4,0.44,5.0,14.0,0.36,33.4,72.4,0.46,21.6,28.7,0.75,12.0,32.1,44.1,22.8,7.8,4.5,16.2,22.1,103.4
