TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
CLE,82,19930,39.8,86.4,0.46,5.6,15.7,0.36,34.2,70.6,0.48,19.4,25.6,0.76,12.1,31.9,44.0,25.7,7.9,6.1,17.2,25.1,104.6
NYK,82,19780,37.3,85.3,0.44,5.3,15.5,0.34,32.0,69.8,0.46,24.0,32.6,0.74,13.6,30.8,44.4,21.1,8.5,4.3,16.8,25.4,103.8
ALT,82,19855,40.4,87.3,0.46,5.7,16.3,0.35,34.7,70.9,0.49,18.8,25.8,0.73,14.1,32.2,46.3,23.3,8.2,4.3,18.3,24.4,105.2
IND,82,19780,39.4,86.4,0.46,6.4,17.6,0.36,33.0,68.8,0.48,20.4,28.2,0.73,14.1,29.1,43.2,24.3,9.3,5.6,18.5,27.7,105.6
CHI,82,19830,38.4,84.2,0.46,5.3,15.1,0.35,33.2,69.0,0.48,22.1,30.0,0.74,14.0,29.6,43.7,22.5,9.0,4.9,19.5,24.9,104.3
CHO,82,19805,41.0,90.5,0.45,5.7,17.1,0.33,35.3,73.3,0.48,18.3,24.7,0.74,14.6,31.4,46.1,25.2,7.1,4.9,16.2,24.7,106.1
UTA,82,19780,37.3,82.3,0.45,7.2,18.7,0.38,30.1,63.5,0.47,24.0,32.4,0.74,12.0,27.8,39.8,22.4,8.5,5.6,17.7,26.9,105.7
SAC,82,19855,38.8,85.7,0.45,4.9,16.2,0.3,33.9,69.5,0.49,24.0,32.4,0.74,15.0,29.7,44.7,23.8,9.9,6.7,17.6,26.6,106.5
POR,82,19705,38.3,83.9,0.46,5.7,15.4,0.37,32.6,68.5,0.48,23.3,30.9,0.75,11.5,29.8,41.3,23.2,8.3,5.3,16.9,25.2,105.7
PHI,82,19805,41.3,88.7,0.46,6.2,17.1,0.36,35.1,71.6,0.49,20.9,27.4,0.76,15.2,30.8,46.1,26.5,9.5,5.6,17.3,24.8,109.7
DEN,82,19980,40.1,87.9,0.46,5.5,15.9,0.35,34.6,72.1,0.48,22.6,30.2,0.75,13.4,29.0,42.4,23.4,8.4,6.0,15.3,25.7,108.2
SAS,82,19855,40.5,89.1,0.45,5.4,16.0,0.34,35.0,73.1,0.48,19.1,26.7,0.71,13.0,29.4,42.4,24.0,8.1,5.2,15.1,26.4,105.4
NJN,82,19880,41.6,90.3,0.46,5.8,15.4,0.37,35.9,74.9,0.48,19.6,27.1,0.72,13.8,31.9,45.7,23.9,9.6,5.8,14.4,25.0,108.6
HOU,82,19730,41.4,91.2,0.45,6.5,17.4,0.38,34.8,73.8,0.47,18.2,24.2,0.75,15.1,30.8,45.9,25.1,9.6,4.7,16.5,23.0,107.4
SEA,82,19830,38.1,84.1,0.45,6.6,19.2,0.34,31.5,64.9,0.49,23.4,31.9,0.74,13.5,28.0,41.5,23.4,8.3,6.2,18.8,25.7,106.3
MIA,82,19805,40.3,85.6,0.47,6.7,18.5,0.36,33.7,67.2,0.5,22.6,30.5,0.74,13.5,30.7,44.2,24.3,8.6,5.0,17.4,24.7,109.9
MIN,82,19780,41.0,86.4,0.47,6.2,16.5,0.38,34.8,69.9,0.5,24.2,33.1,0.73,15.5,30.6,46.1,27.5,9.3,6.8,17.6,26.3,112.4
MIL,82,19855,42.4,85.9,0.49,6.4,16.2,0.4,35.9,69.7,0.52,19.8,27.1,0.73,13.2,30.5,43.7,27.4,10.0,5.3,17.7,25.7,110.9
ORL,82,19930,41.0,89.8,0.46,5.9,15.7,0.38,35.1,74.1,0.47,19.8,26.7,0.74,14.4,28.2,42.6,25.1,8.9,4.6,15.6,24.7,107.8
BOS,82,19805,42.6,87.9,0.48,4.8,13.5,0.36,37.7,74.4,0.51,20.6,28.7,0.72,13.7,30.1,43.8,25.8,8.4,5.9,15.9,24.8,110.6
LAL,82,19905,41.8,89.3,0.47,5.8,16.4,0.35,36.0,72.9,0.49,20.0,28.3,0.71,16.3,31.3,47.6,27.9,8.2,6.2,17.6,22.9,109.4
DET,82,19730,40.7,85.6,0.48,5.8,16.1,0.36,34.9,69.5,0.5,25.6,35.5,0.72,15.0,31.7,46.7,26.3,9.0,5.7,16.8,22.8,112.9
LAC,82,19880,41.1,82.8,0.5,5.0,13.4,0.37,36.1,69.4,0.52,24.0,32.0,0.75,13.9,32.5,46.3,24.5,8.9,5.9,19.3,24.4,111.1
DAL,82,19930,43.3,88.8,0.49,5.5,15.0,0.37,37.8,73.8,0.51,18.5,25.2,0.73,13.4,30.3,43.6,25.3,9.2,6.4,15.9,24.5,110.6
WAB,82,19855,41.5,86.6,0.48,5.6,14.6,0.38,35.9,71.9,0.5,22.7,29.6,0.76,14.2,32.2,46.4,25.1,9.0,5.7,17.4,22.7,111.3
PHO,82,19830,41.9,87.8,0.48,6.6,19.5,0.34,35.3,68.4,0.52,20.1,27.0,0.74,13.1,30.7,43.8,27.1,8.3,4.9,16.2,25.6,110.4
GSW,82,19905,43.4,89.1,0.49,6.1,17.0,0.36,37.4,72.0,0.52,19.3,26.8,0.72,14.7,31.1,45.8,28.9,10.7,5.1,16.3,26.3,112.2
