Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,2,BOS,Boston Celtics,Larry Bird,29,18,18,770,8.0,15.5,0.52,1.1,2.6,0.41,6.9,12.9,0.54,4.7,5.1,0.93,1.6,6.3,7.9,6.9,1.7,0.5,2.2,2.6,21.8
1986,2,BOS,Boston Celtics,Dennis Johnson,31,18,18,715,5.5,12.3,0.44,0.3,0.8,0.38,5.2,11.5,0.45,3.4,4.2,0.8,1.2,2.7,3.8,5.4,2.0,0.3,2.6,2.9,14.7
1986,2,BOS,Boston Celtics,Kevin McHale,28,18,18,715,8.5,14.6,0.58,0.0,0.1,0.0,8.5,14.6,0.58,5.6,7.1,0.79,2.6,5.2,7.8,2.4,0.4,2.2,2.4,3.2,22.6
1986,2,BOS,Boston Celtics,Danny Ainge,26,18,18,652,5.9,10.7,0.55,0.8,1.9,0.41,5.1,8.8,0.58,2.9,3.3,0.87,1.2,3.0,4.2,5.1,2.3,0.1,1.7,3.1,15.5
1986,2,BOS,Boston Celtics,Robert Parish,32,18,18,591,6.5,13.7,0.47,0.0,0.0,,6.5,13.7,0.47,3.5,5.4,0.65,3.2,6.5,9.6,1.5,0.5,1.8,2.7,2.9,16.4
1986,2,BOS,Boston Celtics,Bill Walton,33,16,0,291,6.7,11.5,0.58,0.0,0.1,0.0,6.7,11.4,0.59,2.4,2.8,0.83,3.1,9.6,12.7,3.3,0.7,1.5,2.7,5.6,15.7
1986,2,BOS,Boston Celtics,Jerry Sichting,29,18,0,274,3.5,8.0,0.44,0.0,0.1,0.0,3.5,7.9,0.45,0.4,0.9,0.43,0.7,1.4,2.1,5.3,0.7,0.0,1.1,2.4,7.5
1986,2,BOS,Boston Celtics,Scott Wedman,33,12,0,142,5.1,12.9,0.39,0.5,1.0,0.5,4.6,11.9,0.38,0.8,1.0,0.75,2.8,2.8,5.6,2.0,2.3,0.8,1.5,3.5,11.4
1986,2,BOS,Boston Celtics,Greg Kite,24,13,0,78,3.2,4.6,0.7,0.0,0.0,,3.2,4.6,0.7,1.8,3.2,0.57,2.3,6.5,8.8,1.4,0.9,1.8,1.4,9.2,8.3
1986,2,BOS,Boston Celtics,Rick Carlisle,26,10,0,54,5.3,10.0,0.53,0.0,0.0,,5.3,10.0,0.53,2.0,2.7,0.75,2.0,1.3,3.3,5.3,1.3,0.0,2.0,6.0,12.7
1986,2,BOS,Boston Celtics,David Thirdkill,25,13,0,47,4.6,13.8,0.33,0.0,0.8,0.0,4.6,13.0,0.35,3.8,8.4,0.46,0.8,5.4,6.1,2.3,1.5,0.0,2.3,3.8,13.0
1986,2,BOS,Boston Celtics,Sam Vincent,22,9,0,41,7.0,24.6,0.29,0.0,0.9,0.0,7.0,23.7,0.3,5.3,5.3,1.0,0.9,5.3,6.1,4.4,1.8,0.0,3.5,7.9,19.3
