Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1983,25,1740,POR,Portland Trail Blazers,22.0,NBA,PG,81.0,45.0,2020.0,256.0,594.0,0.43,5.0,15.0,0.33,251.0,579.0,0.43,0.44,116.0,159.0,0.73,85.0,140.0,225.0,426.0,153.0,15.0,137.0,179.0,633.0,,0.0
1984,25,1740,POR,Portland Trail Blazers,23.0,NBA,PG,81.0,22.0,2010.0,313.0,701.0,0.45,3.0,15.0,0.2,310.0,686.0,0.45,0.45,159.0,214.0,0.74,96.0,122.0,218.0,372.0,135.0,31.0,125.0,178.0,788.0,,0.0
1985,8,1740,DEN,Denver Nuggets,24.0,NBA,PG,82.0,82.0,2559.0,424.0,985.0,0.43,6.0,24.0,0.25,418.0,961.0,0.44,0.43,197.0,256.0,0.77,147.0,264.0,411.0,613.0,202.0,30.0,203.0,226.0,1051.0,,1.0
1986,8,1740,DEN,Denver Nuggets,25.0,NBA,PG,78.0,77.0,2616.0,468.0,1061.0,0.44,12.0,38.0,0.32,456.0,1023.0,0.45,0.45,132.0,182.0,0.72,136.0,284.0,420.0,584.0,178.0,15.0,210.0,204.0,1080.0,,1.0
1987,8,1740,DEN,Denver Nuggets,26.0,NBA,PG,82.0,82.0,3054.0,643.0,1370.0,0.47,22.0,92.0,0.24,621.0,1278.0,0.49,0.48,244.0,312.0,0.78,216.0,513.0,729.0,654.0,201.0,34.0,167.0,219.0,1552.0,,16.0
1988,8,1740,DEN,Denver Nuggets,27.0,NBA,SG,82.0,82.0,3061.0,643.0,1360.0,0.47,12.0,57.0,0.21,631.0,1303.0,0.48,0.48,248.0,316.0,0.78,203.0,462.0,665.0,639.0,223.0,21.0,182.0,214.0,1546.0,,11.0
1989,8,1740,DEN,Denver Nuggets,28.0,NBA,SG,71.0,71.0,2745.0,558.0,1221.0,0.46,23.0,66.0,0.35,535.0,1155.0,0.46,0.47,270.0,344.0,0.78,187.0,475.0,662.0,559.0,195.0,20.0,157.0,178.0,1409.0,,9.0
1990,8,1740,DEN,Denver Nuggets,29.0,NBA,SG,79.0,79.0,2832.0,568.0,1283.0,0.44,36.0,87.0,0.41,532.0,1196.0,0.44,0.46,271.0,337.0,0.8,230.0,504.0,734.0,517.0,168.0,13.0,156.0,172.0,1443.0,,5.0
1991,7,1740,DAL,Dallas Mavericks,30.0,NBA,SG,4.0,0.0,86.0,9.0,23.0,0.39,0.0,3.0,0.0,9.0,20.0,0.45,0.39,11.0,14.0,0.79,3.0,12.0,15.0,12.0,6.0,3.0,10.0,5.0,29.0,,0.0
1992,7,1740,DAL,Dallas Mavericks,31.0,NBA,SG,31.0,5.0,884.0,135.0,349.0,0.39,17.0,52.0,0.33,118.0,297.0,0.4,0.41,60.0,80.0,0.75,56.0,105.0,161.0,107.0,46.0,12.0,36.0,73.0,347.0,,0.0
1994,7,1740,DAL,Dallas Mavericks,33.0,NBA,PG,81.0,54.0,1947.0,227.0,557.0,0.41,26.0,74.0,0.35,201.0,483.0,0.42,0.43,75.0,98.0,0.76,83.0,200.0,283.0,213.0,159.0,15.0,88.0,155.0,555.0,,0.0
