PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Larry Bird,31,76,75,39.0,11.6,22.0,0.527,1.3,3.1,0.414,10.3,18.9,0.546,0.556,5.5,6.0,0.9159999999999999,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9
Danny Ainge,28,81,81,37.3,6.0,12.1,0.491,1.8,4.4,0.415,4.1,7.7,0.534,0.5660000000000001,2.0,2.2,0.878,0.7,2.3,3.1,6.2,1.4,0.2,1.9,2.5,15.7
Kevin McHale,30,64,63,37.3,8.6,14.2,0.604,0.0,0.0,,8.6,14.2,0.604,0.604,5.4,6.8,0.797,2.5,5.9,8.4,2.7,0.4,1.4,2.2,2.8,22.6
Dennis Johnson,33,77,74,34.7,4.6,10.4,0.43799999999999994,0.2,0.6,0.261,4.4,9.8,0.449,0.446,3.3,3.9,0.856,0.8,2.3,3.1,7.8,1.2,0.4,2.5,2.6,12.6
Robert Parish,34,74,73,31.2,6.0,10.1,0.589,0.0,0.0,0.0,6.0,10.1,0.59,0.589,2.4,3.3,0.7340000000000001,2.3,6.1,8.5,1.6,0.7,1.1,2.1,2.7,14.3
Jim Paxson,30,28,2,19.2,3.4,6.8,0.49200000000000005,0.1,0.5,0.154,3.3,6.4,0.517,0.49700000000000005,1.9,2.2,0.885,0.3,0.7,1.0,1.8,0.8,0.1,1.0,1.6,8.7
Jerry Sichting,31,24,1,15.4,1.8,3.4,0.537,0.1,0.3,0.25,1.8,3.1,0.568,0.5489999999999999,0.3,0.5,0.667,0.2,0.7,0.9,2.5,0.6,0.0,0.6,1.3,4.1
Mark Acres,25,79,5,14.6,1.4,2.6,0.532,0.0,0.0,,1.4,2.6,0.532,0.532,0.9,1.4,0.64,1.3,2.1,3.4,0.5,0.4,0.3,0.7,2.5,3.6
Dirk Minniefield,27,61,6,14.2,1.4,2.8,0.48,0.0,0.2,0.273,1.3,2.7,0.494,0.488,0.4,0.5,0.8440000000000001,0.4,0.9,1.2,3.1,0.7,0.0,1.3,1.8,3.2
Darren Daye,27,47,8,13.9,2.4,4.6,0.516,0.0,0.0,0.0,2.4,4.6,0.519,0.516,1.3,1.9,0.6779999999999999,0.6,1.0,1.6,1.5,0.6,0.1,0.9,1.4,6.0
Fred Roberts,27,74,14,13.9,2.2,4.5,0.488,0.0,0.1,0.0,2.2,4.4,0.49700000000000005,0.488,1.7,2.2,0.7759999999999999,0.8,1.4,2.2,1.1,0.2,0.2,0.9,1.6,6.1
Artis Gilmore,38,47,4,11.1,1.2,2.1,0.574,0.0,0.0,,1.2,2.1,0.574,0.574,1.0,1.9,0.527,1.1,2.0,3.1,0.3,0.2,0.4,0.8,2.0,3.5
Brad Lohaus,23,70,4,10.3,1.7,3.5,0.496,0.0,0.2,0.231,1.7,3.3,0.511,0.502,0.7,0.9,0.8059999999999999,0.7,1.3,2.0,0.7,0.3,0.6,0.8,1.8,4.2
Reggie Lewis,22,49,0,8.3,1.8,3.9,0.466,0.0,0.1,0.0,1.8,3.9,0.47600000000000003,0.466,0.8,1.2,0.7020000000000001,0.6,0.7,1.3,0.5,0.3,0.3,0.6,1.1,4.5
Conner Henry,24,10,0,8.1,1.1,2.8,0.39299999999999996,0.3,0.8,0.375,0.8,2.0,0.4,0.446,0.9,1.0,0.9,0.2,0.8,1.0,1.2,0.1,0.1,0.9,1.1,3.4
Greg Kite,26,13,0,6.6,0.7,1.8,0.391,0.0,0.0,,0.7,1.8,0.391,0.391,0.1,0.5,0.16699999999999998,0.8,1.1,1.8,0.2,0.2,0.6,0.7,1.2,1.5
