Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1988,11,HOU,Houston Rockets,40,Richard Anderson,PF,6-10,240,1960-11-19,US,3,UC Santa Barbara
1988,11,HOU,Houston Rockets,2,Joe Barry Carroll,C,7-0,225,1958-07-24,US,6,Purdue
1988,11,HOU,Houston Rockets,7,Lester Conner,PG,6-4,180,1959-09-17,US,4,Oregon State
1988,11,HOU,Houston Rockets,11,Sleepy Floyd,PG,6-3,170,1960-03-06,US,5,Georgetown
1988,11,HOU,Houston Rockets,21,World B. Free,SG,6-2,185,1953-12-09,US,12,Guilford College
1988,11,HOU,Houston Rockets,20,Steve Harris,SG,6-5,195,1963-10-15,US,2,Tulsa
1988,11,HOU,Houston Rockets,1,Buck Johnson,SF,6-7,190,1964-01-03,US,1,Alabama
1988,11,HOU,Houston Rockets,30,Allen Leavell,SG,6-1,170,1957-05-27,US,8,Oklahoma City University
1988,11,HOU,Houston Rockets,18,Cedric Maxwell,SF,6-8,205,1955-11-21,US,10,UNC Charlotte
1988,11,HOU,Houston Rockets,22,Rodney McCray,SF,6-7,220,1961-08-29,US,4,Louisville
1988,11,HOU,Houston Rockets,34,Hakeem Olajuwon,C,7-0,255,1963-01-21,NG,3,Houston
1988,11,HOU,Houston Rockets,43,Jim Petersen,PF,6-10,235,1962-02-22,US,3,Minnesota
1988,11,HOU,Houston Rockets,33,Robert Reid,SG,6-8,205,1955-08-30,US,9,St. Mary's University
1988,11,HOU,Houston Rockets,50,Ralph Sampson,PF,7-4,228,1960-07-07,US,4,Virginia
1988,11,HOU,Houston Rockets,10,Purvis Short,SG,6-7,210,1957-07-02,US,9,Jackson State University
1988,11,HOU,Houston Rockets,13,Andre Turner,PG,5-11,160,1964-12-13,US,1,Memphis
