Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1992,CHI,Michael Jordan,1,900.0,960,0.938,MVP
1992,POR,Clyde Drexler,2,561.0,960,0.584,MVP
1992,SAS,David Robinson,3,337.0,960,0.351,MVP
1992,UTA,Karl Malone,4,262.0,960,0.273,MVP
1992,NYK,Patrick Ewing,5,100.0,960,0.104,MVP
1992,GSW,Chris Mullin,6,81.0,960,0.084,MVP
1992,CLE,Mark Price,7,66.0,960,0.069,MVP
1992,GSW,Tim Hardaway,8,64.0,960,0.067,MVP
1992,CHI,Scottie Pippen,9,32.0,960,0.033,MVP
1992,DET,Dennis Rodman,10,26.0,960,0.027,MVP
1992,CLE,Brad Daugherty,11,24.0,960,0.025,MVP
1992,PHI,Charles Barkley,12T,18.0,960,0.019,MVP
1992,UTA,John Stockton,12T,18.0,960,0.019,MVP
1992,BOS,Larry Bird,14,3.0,960,0.003,MVP
1992,PHO,Kevin Johnson,15,2.0,960,0.002,MVP
1992,LAC,Danny Manning,16T,1.0,960,0.001,MVP
1992,IND,Detlef Schrempf,16T,1.0,960,0.001,MVP
