Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007,30,WAS,Washington Wizards,Antonio Daniels,31,4,4,176,3.5,7.8,0.45,0.2,1.0,0.2,3.3,6.8,0.48,3.7,4.3,0.86,0.4,3.3,3.7,9.6,1.0,0.2,1.4,0.8,10.8
2007,30,WAS,Washington Wizards,Antawn Jamison,30,4,4,173,10.2,21.4,0.48,1.9,5.4,0.35,8.3,16.0,0.52,4.4,5.8,0.75,2.7,5.4,8.1,1.0,0.4,0.8,1.5,2.7,26.6
2007,30,WAS,Washington Wizards,Jarvis Hayes,25,4,4,139,3.9,11.9,0.33,1.8,4.9,0.37,2.1,7.0,0.3,1.6,1.8,0.86,1.0,2.6,3.6,1.0,0.5,0.3,0.0,3.1,11.1
2007,30,WAS,Washington Wizards,DeShawn Stevenson,25,4,4,122,2.7,13.6,0.2,0.9,5.6,0.16,1.8,8.0,0.22,0.9,2.1,0.43,0.6,2.4,3.0,2.1,0.6,0.9,0.9,1.2,7.1
2007,30,WAS,Washington Wizards,Darius Songaila,28,4,0,90,8.0,16.4,0.49,0.0,0.8,0.0,8.0,15.6,0.51,1.2,1.2,1.0,2.0,3.2,5.2,1.6,1.2,0.0,1.6,6.8,17.2
2007,30,WAS,Washington Wizards,Etan Thomas,28,4,4,84,3.0,7.3,0.41,0.0,0.0,,3.0,7.3,0.41,2.6,3.9,0.67,0.9,8.6,9.4,0.4,0.9,1.3,2.6,3.9,8.6
2007,30,WAS,Washington Wizards,Roger Mason,26,4,0,56,4.5,10.3,0.44,3.2,6.4,0.5,1.3,3.9,0.33,3.2,3.9,0.83,0.0,1.3,1.3,0.6,0.6,0.0,1.9,6.4,15.4
2007,30,WAS,Washington Wizards,Brendan Haywood,27,3,0,34,5.3,7.4,0.71,0.0,0.0,,5.3,7.4,0.71,3.2,4.2,0.75,3.2,2.1,5.3,1.1,1.1,0.0,1.1,7.4,13.8
2007,30,WAS,Washington Wizards,Michael Ruffin,30,4,0,28,1.3,3.9,0.33,0.0,1.3,0.0,1.3,2.6,0.5,0.0,0.0,,6.4,5.1,11.6,0.0,3.9,0.0,0.0,2.6,2.6
2007,30,WAS,Washington Wizards,Andray Blatche,20,2,0,25,5.8,8.6,0.67,0.0,0.0,,5.8,8.6,0.67,1.4,1.4,1.0,4.3,5.8,10.1,0.0,0.0,0.0,1.4,2.9,13.0
2007,30,WAS,Washington Wizards,Calvin Booth,30,1,0,18,4.0,6.0,0.67,0.0,0.0,,4.0,6.0,0.67,0.0,0.0,,4.0,4.0,8.0,2.0,2.0,0.0,2.0,6.0,8.0
2007,30,WAS,Washington Wizards,Donell Taylor,24,2,0,17,2.1,12.7,0.17,0.0,0.0,,2.1,12.7,0.17,2.1,2.1,1.0,0.0,6.4,6.4,8.5,0.0,0.0,4.2,4.2,6.4
