Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2004,5,194,CHI,Chicago Bulls,35,Lonny Baxter,PF,6-8,260,1979-01-27,US,1,Maryland
2004,5,270,CHI,Chicago Bulls,43,Corie Blount,PF,6-9,240,1969-01-04,US,10,Cincinnati
2004,5,405,CHI,Chicago Bulls,9,Rick Brunson,PG,6-4,190,1972-06-14,US,6,Temple
2004,5,514,CHI,Chicago Bulls,3,Tyson Chandler,PF,7-0,235,1982-10-02,US,2,
2004,5,625,CHI,Chicago Bulls,1,Jamal Crawford,SG,6-5,185,1980-03-20,US,3,Michigan
2004,5,653,CHI,Chicago Bulls,2,Eddy Curry,PF,7-0,295,1982-12-05,US,2,
2004,5,678,CHI,Chicago Bulls,34,Antonio Davis,C,6-9,215,1968-10-31,US,10,Texas-El Paso
2004,5,807,CHI,Chicago Bulls,20,Ronald Dupree,SF,6-7,209,1981-01-26,US,R,LSU
2004,5,923,CHI,Chicago Bulls,21,Marcus Fizer,SF,6-9,262,1978-08-10,US,3,Iowa State
2004,5,1038,CHI,Chicago Bulls,13,Kendall Gill,SG,6-5,195,1968-05-25,US,13,Illinois
2004,5,1299,CHI,Chicago Bulls,12,Kirk Hinrich,PG,6-4,190,1981-01-02,US,R,Kansas
2004,5,1441,CHI,Chicago Bulls,6,Chris Jefferies,SF,6-8,225,1980-02-13,US,1,"Arkansas, Fresno State"
2004,5,1505,CHI,Chicago Bulls,8,Linton Johnson,SF,6-8,205,1980-06-13,US,R,Tulane
2004,5,1847,CHI,Chicago Bulls,42,Donyell Marshall,PF,6-9,218,1973-05-18,US,9,UConn
2004,5,1872,CHI,Chicago Bulls,31,Roger Mason,SG,6-5,200,1980-09-10,US,1,Virginia
2004,5,2247,CHI,Chicago Bulls,15,Jannero Pargo,PG,6-1,175,1979-10-22,US,1,Arkansas
2004,5,2319,CHI,Chicago Bulls,33,Scottie Pippen,SF,6-8,210,1965-09-25,US,16,University of Central Arkansas
2004,5,2481,CHI,Chicago Bulls,32,Eddie Robinson,SF,6-8,210,1976-04-19,US,4,University of Central Oklahoma
2004,5,2513,CHI,Chicago Bulls,5,Jalen Rose,SF,6-8,210,1973-01-30,US,9,Michigan
2004,5,2623,CHI,Chicago Bulls,45,Paul Shirley,PF,6-10,230,1977-12-23,US,1,Iowa State
2004,5,3157,CHI,Chicago Bulls,11,Jerome Williams,PF,6-9,206,1973-05-10,US,7,Georgetown
