Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1980,31,1588,TOT,Total After Trade,26.0,NBA,C,80.0,1839.0,14.4,0.57,0.01,0.64,11.5,17.9,14.7,12.8,1.9,2.9,24.2,17.3,,1.3,3.0,4.3,0.11,,-1.3,1.5,0.3,1.1
1980,3,1588,NJN,New Jersey Nets,26.0,NBA,C,57.0,1466.0,13.8,0.56,0.01,0.63,11.0,17.0,14.0,11.7,1.5,3.0,23.0,17.4,,1.0,2.2,3.2,0.1,,-1.4,1.1,-0.3,0.6
1980,24,1588,PHO,Phoenix Suns,26.0,NBA,C,23.0,373.0,16.5,0.6,0.0,0.71,13.2,21.3,17.4,17.0,3.4,2.5,29.2,16.8,,0.3,0.8,1.1,0.14,,-0.7,3.1,2.4,0.5
1981,24,1588,PHO,Phoenix Suns,27.0,NBA,C,81.0,1686.0,14.4,0.58,0.0,0.6,8.7,19.9,14.4,21.1,2.1,2.1,30.0,16.1,,0.7,3.6,4.3,0.12,,-0.5,2.9,2.3,1.9
1982,24,1588,PHO,Phoenix Suns,28.0,NBA,C,81.0,1892.0,12.5,0.53,0.0,0.44,10.1,18.8,14.5,20.4,1.6,2.1,28.8,18.5,,-0.9,3.4,2.5,0.06,,-2.3,1.9,-0.4,0.8
1983,31,1588,TOT,Total After Trade,29.0,NBA,C,70.0,1345.0,12.2,0.54,0.0,0.6,10.0,20.3,15.3,12.2,1.8,1.5,24.2,13.8,,0.9,1.5,2.4,0.09,,-2.0,0.7,-1.3,0.2
1983,8,1588,DEN,Denver Nuggets,29.0,NBA,C,38.0,565.0,10.9,0.5,0.0,0.5,10.9,19.9,15.4,11.6,1.6,1.6,23.6,14.7,,0.2,0.5,0.6,0.05,,-2.9,0.1,-2.9,-0.1
1983,29,1588,UTA,Utah Jazz,29.0,NBA,C,32.0,780.0,13.2,0.58,0.0,0.69,9.4,20.6,15.2,12.6,1.9,1.4,24.7,13.2,,0.7,1.1,1.8,0.11,,-1.3,1.1,-0.2,0.4
1984,29,1588,UTA,Utah Jazz,30.0,NBA,C,75.0,1674.0,9.7,0.58,0.0,0.61,9.3,20.8,15.4,11.3,1.5,0.9,30.6,11.5,,0.3,2.2,2.4,0.07,,-3.2,0.9,-2.2,-0.1
1985,29,1588,UTA,Utah Jazz,31.0,NBA,C,77.0,1276.0,8.5,0.55,0.01,0.52,9.8,18.4,14.2,11.8,1.5,1.3,31.9,12.1,,-0.5,2.2,1.7,0.07,,-4.5,1.8,-2.7,-0.2
1986,26,1588,SAC,Sacramento Kings,32.0,NBA,C,37.0,324.0,11.0,0.63,0.04,0.45,10.2,18.0,14.1,16.4,1.5,0.5,27.3,10.1,,0.4,0.3,0.7,0.1,,-1.6,1.2,-0.3,0.1
