PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Hamady N'Diaye,2011,2014,C,7-0,235.0,"January 12, 1987",Rutgers University
Makhtar N'Diaye,1999,1999,F,6-8,245.0,"December 12, 1973","Michigan, UNC"
Mamadou N'Diaye,2001,2005,C,7-0,255.0,"June 16, 1975",Auburn
Boniface N'Dong,2006,2006,C,7-0,198.0,"March 9, 1977",
Bostjan Nachbar,2003,2008,F,6-9,221.0,"July 3, 1980",
Abdel Nader,2018,2020,F,6-5,225.0,"September 25, 1993","Northern Illinois, Iowa State"
Lee Nailon,2001,2006,F,6-9,238.0,"February 22, 1975","Butler County Community College, TCU"
Eduardo Najera,2001,2012,F,6-8,240.0,"July 11, 1976",Oklahoma
Larry Nance,1982,1994,F-C,6-10,205.0,"February 12, 1959",Clemson
Larry Nance,2016,2021,F-C,6-7,245.0,"January 1, 1993",Wyoming
Shabazz Napier,2015,2020,G,6-0,175.0,"July 14, 1991",UConn
Steve Nash,1997,2014,G,6-3,195.0,"February 7, 1974",Santa Clara
Swen Nater,1974,1984,C,6-11,240.0,"January 14, 1950",UCLA
Howard Nathan,1996,1996,G,5-11,175.0,"January 21, 1972","DePaul, Louisiana-Monroe"
Calvin Natt,1980,1990,F,6-6,220.0,"January 8, 1957",Louisiana-Monroe
Kenny Natt,1981,1985,G,6-3,185.0,"October 5, 1958",Louisiana-Monroe
Juan Carlos Navarro,2008,2008,G,6-3,170.0,"June 13, 1980",
Maurice Ndour,2017,2017,F,6-9,200.0,"June 18, 1992",Ohio University
Craig Neal,1989,1991,G,6-5,165.0,"February 16, 1964",Georgia Tech
Gary Neal,2011,2017,G,6-4,210.0,"October 3, 1984","La Salle, Towson University"
Ed Nealy,1983,1993,F,6-7,238.0,"February 19, 1960",Kansas State
Nemanja Nedovic,2014,2014,G,6-3,192.0,"June 16, 1991",
DeMarcus Nelson,2009,2009,G,6-4,200.0,"November 2, 1985",Duke
Jameer Nelson,2005,2018,G,6-0,190.0,"February 9, 1982",Saint Joseph's
Ruben Nembhard,1997,1997,G,6-3,208.0,"February 20, 1972",Weber State
Tyrone Nesby,1999,2002,F,6-6,225.0,"January 31, 1976",UNLV
Aaron Nesmith,2021,2021,G-F,6-6,213.0,"October 16, 1999",Vanderbilt
Martin Nessley,1988,1988,C,7-2,260.0,"February 16, 1965",Duke
Rasho Nesterovic,1999,2010,C,7-0,248.0,"May 30, 1976",
Raul Neto,2016,2021,G,6-1,180.0,"May 19, 1992",
Chuck Nevitt,1983,1994,C,7-5,217.0,"June 13, 1959",NC State
Melvin Newbern,1993,1993,G,6-4,200.0,"June 11, 1967",Minnesota
Ivano Newbill,1995,1998,F,6-9,245.0,"December 12, 1970",Georgia Tech
Ira Newble,2001,2008,F,6-7,220.0,"January 20, 1975",Miami University
Mike Newlin,1972,1982,G-F,6-4,200.0,"January 2, 1949",Utah
Johnny Newman,1987,2002,F-G,6-7,190.0,"November 28, 1963",Richmond
Malik Newman,2020,2020,G,6-3,190.0,"February 21, 1997","Mississippi State, Kansas"
Georges Niang,2017,2021,F,6-7,230.0,"June 17, 1993",Iowa State
Demetris Nichols,2008,2009,F,6-8,216.0,"September 4, 1984",Syracuse
Andrew Nicholson,2013,2017,F,6-9,250.0,"December 8, 1989",St. Bonaventure
Gaylon Nickerson,1997,1997,G,6-3,190.0,"February 5, 1969","Wichita State, Butler County Community College, Kansas State, Northwestern Oklahoma State University"
Carl Nicks,1981,1983,G,6-1,175.0,"October 6, 1958",Indiana State University
Mike Niles,1981,1981,F,6-6,225.0,"March 31, 1955",Cal State Fullerton
Kurt Nimphius,1982,1990,C-F,6-10,218.0,"March 13, 1958",Arizona State
Dyron Nix,1990,1990,F,6-7,210.0,"February 11, 1967",Tennessee
Norm Nixon,1978,1989,G,6-2,170.0,"October 11, 1955",Duquesne
Zeke Nnaji,2021,2021,F,6-11,240.0,"January 9, 2001",Arizona
Joakim Noah,2008,2020,C,6-11,230.0,"February 25, 1985",Florida
Andres Nocioni,2005,2012,F,6-7,225.0,"November 30, 1979",
David Noel,2007,2007,F,6-6,230.0,"February 27, 1984",UNC
Nerlens Noel,2015,2021,C-F,6-10,220.0,"April 10, 1994",Kentucky
Lucas Nogueira,2015,2018,C,7-0,241.0,"July 26, 1992",
Jeff Nordgaard,1998,1998,F,6-7,225.0,"February 23, 1973",Green Bay
Ken Norman,1988,1997,F,6-8,215.0,"September 5, 1964",Illinois
Audie Norris,1983,1985,C,6-9,230.0,"December 18, 1960",Jackson State University
Moochie Norris,1997,2006,G,6-1,175.0,"July 27, 1973","Auburn, University of West Florida"
Sylvester Norris,1980,1980,C,6-11,220.0,"February 18, 1957",Jackson State University
Zach Norvell,2020,2020,G,6-5,206.0,"December 9, 1997",Gonzaga
Steve Novak,2007,2017,F,6-10,225.0,"June 13, 1983",Marquette
Jaylen Nowell,2020,2020,G,6-4,201.0,"July 9, 1999",Washington
Dirk Nowitzki,1999,2019,F,7-0,245.0,"June 19, 1978",
Frank Ntilikina,2018,2021,G,6-4,200.0,"July 28, 1998",
Kendrick Nunn,2020,2021,G,6-2,190.0,"August 3, 1995","Illinois, Oakland"
James Nunnally,2014,2019,F,6-7,208.0,"July 14, 1990",UC Santa Barbara
Jusuf Nurkic,2015,2021,C,7-0,290.0,"August 23, 1994",
Dennis Nutt,1987,1987,G,6-2,170.0,"March 25, 1963",TCU
David Nwaba,2017,2021,G,6-5,219.0,"January 14, 1993",Cal Poly
Jordan Nwora,2021,2021,F,6-7,225.0,"September 9, 1998",Louisville
Julius Nwosu,1995,1995,C,6-10,255.0,"May 1, 1971",Liberty
