PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Rui Hachimura,2020,2021,F,6-8,230,"February 8, 1998",Gonzaga
Hamed Haddadi,2009,2013,C,7-2,254,"May 19, 1985",
Scott Haffner,1990,1991,G,6-3,180,"February 2, 1966","Illinois, University of Evansville"
Glenn Hagan,1982,1982,G,6-0,170,"June 25, 1955",St. Bonaventure
Malik Hairston,2009,2010,G,6-6,220,"February 23, 1987",Oregon
P.J. Hairston,2015,2016,G-F,6-6,230,"December 24, 1992",UNC
Marcus Haislip,2003,2010,F,6-10,230,"December 22, 1980",Tennessee
Jack Haley,1989,1998,C-F,6-10,240,"January 27, 1964",UCLA
Tyrese Haliburton,2021,2021,G,6-5,175,"February 29, 2000",Iowa State
Devon Hall,2020,2020,G,6-2,215,"July 7, 1995",Virginia
Donta Hall,2020,2020,F,6-9,232,"August 7, 1997",Alabama
Josh Hall,2021,2021,F,6-8,200,"October 8, 2000",
Mike Hall,2007,2007,F,6-8,230,"June 5, 1984",George Washington
Darvin Ham,1997,2005,F,6-7,220,"July 23, 1973",Texas Tech
Steve Hamer,1997,1997,C,7-0,245,"November 13, 1973",Tennessee
Daniel Hamilton,2018,2019,G-F,6-7,195,"August 8, 1995",UConn
Jordan Hamilton,2012,2016,G-F,6-7,220,"October 6, 1990",Texas
Justin Hamilton,2014,2017,C,7-0,260,"April 1, 1990","Iowa State, LSU"
Richard Hamilton,2000,2013,G-F,6-6,185,"February 14, 1978",UConn
Roy Hamilton,1980,1981,G,6-2,180,"July 20, 1957",UCLA
Tang Hamilton,2002,2002,F,6-8,220,"May 26, 1978",Mississippi State
Thomas Hamilton,1996,2000,C,7-2,330,"April 3, 1975",Pitt
Zendon Hamilton,2001,2006,C-F,6-11,250,"April 27, 1975",St. John's
Geert Hammink,1994,1996,C,7-0,262,"July 12, 1969",LSU
Tom Hammonds,1990,2001,F,6-9,215,"March 27, 1967",Georgia Tech
A.J. Hammons,2017,2017,C,7-0,260,"August 27, 1992",Purdue
R.J. Hampton,2021,2021,G,6-6,176,"February 7, 2001",
Darrin Hancock,1995,1997,G-F,6-7,205,"November 3, 1971",Kansas
Ben Handlogten,2004,2005,C,6-10,240,"November 16, 1973",Western Michigan
Dusty Hannahs,2019,2020,G,6-3,210,"September 2, 1993","Texas Tech, Arkansas"
Ben Hansbrough,2013,2013,G,6-3,203,"December 23, 1987","Mississippi State, Notre Dame"
Tyler Hansbrough,2010,2016,F,6-9,250,"November 3, 1985",UNC
Bob Hansen,1984,1992,G,6-6,190,"January 18, 1961",Iowa
Travis Hansen,2004,2004,G,6-6,205,"April 15, 1978","Utah Valley, BYU"
Reggie Hanson,1998,1998,F,6-8,195,"October 6, 1968",Kentucky
Bill Hanzlik,1981,1990,G-F,6-7,185,"December 6, 1957",Notre Dame
Luke Harangody,2011,2012,F,6-8,246,"January 2, 1988",Notre Dame
Anfernee Hardaway,1994,2008,G-F,6-7,195,"July 18, 1971",Memphis
Tim Hardaway,1990,2003,G,6-0,175,"September 1, 1966",Texas-El Paso
Tim Hardaway,2014,2021,G,6-5,205,"March 16, 1992",Michigan
James Harden,2010,2021,G,6-5,220,"August 26, 1989",Arizona State
Alan Hardy,1981,1982,F,6-7,195,"May 25, 1957",Michigan
James Hardy,1979,1982,F-C,6-8,220,"December 1, 1956",San Francisco
Maurice Harkless,2013,2021,F-G,6-7,220,"May 11, 1993",St. John's
Jerome Harmon,1995,1995,G,6-4,190,"February 6, 1969",Louisville
Derek Harper,1984,1999,G,6-4,185,"October 13, 1961",Illinois
