PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Quintin Dailey,1983,1992,G,6-3,180,"January 22, 1961",San Francisco
Samuel Dalembert,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall
Erick Dampier,1997,2012,C,6-11,265,"July 14, 1975",Mississippi State
Bob Dandridge,1970,1982,F-G,6-6,195,"November 15, 1947",Norfolk State
Antonio Daniels,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green
Erik Daniels,2005,2005,F,6-8,214,"April 1, 1982",Kentucky
Lloyd Daniels,1993,1998,G,6-7,205,"September 4, 1967",Mount San Antonio College
Marquis Daniels,2004,2013,G-F,6-6,200,"January 7, 1981",Auburn
Troy Daniels,2014,2020,G,6-4,200,"July 15, 1991",VCU
Sasha Danilovic,1996,1997,G,6-5,200,"February 26, 1970",
Adrian Dantley,1977,1991,F-G,6-5,208,"February 28, 1955",Notre Dame
Yinka Dare,1995,1998,C,7-0,265,"October 10, 1972",George Washington
Luigi Datome,2014,2015,F,6-8,215,"November 27, 1987",
Brad Daugherty,1987,1994,C,7-0,245,"October 19, 1965",UNC
Kornel David,1999,2001,F,6-9,235,"October 22, 1971",
Jermareo Davidson,2008,2009,F,6-10,230,"November 15, 1984",Alabama
Brandon Davies,2014,2015,F,6-10,240,"July 25, 1991",BYU
Anthony Davis,2013,2021,F-C,6-10,253,"March 11, 1993",Kentucky
Antonio Davis,1994,2006,F-C,6-9,215,"October 31, 1968",Texas-El Paso
Baron Davis,2000,2012,G,6-3,209,"April 13, 1979",UCLA
Ben Davis,1997,2000,F,6-9,240,"December 26, 1972","Kansas, Arizona"
Brad Davis,1978,1992,G,6-3,180,"December 17, 1955",Maryland
Brian Davis,1994,1994,F-G,6-7,200,"June 21, 1970",Duke
Charles Davis,1982,1990,F,6-7,215,"October 5, 1958",Vanderbilt
Dale Davis,1992,2007,F-C,6-11,230,"March 25, 1969",Clemson
Deyonta Davis,2017,2019,C-F,6-11,237,"December 2, 1996",Michigan State
Ed Davis,2011,2021,F,6-9,218,"June 5, 1989",UNC
Emanual Davis,1997,2003,G,6-4,195,"August 27, 1968",Delaware State University
Glen Davis,2008,2015,F-C,6-9,289,"January 1, 1986",LSU
Harry Davis,1979,1980,F,6-7,220,"January 27, 1956",Florida State
Hubert Davis,1993,2004,G,6-5,183,"May 17, 1970",UNC
Johnny Davis,1977,1986,G,6-2,170,"October 21, 1955",Dayton
Josh Davis,2004,2012,F,6-8,235,"August 10, 1980",Wyoming
Mark Davis,1989,1989,F-G,6-6,195,"June 8, 1963",Old Dominion
Mark Davis,1996,2000,G-F,6-7,210,"April 26, 1973","Howard College, Texas Tech"
Mike Davis,1983,1983,F,6-10,230,"August 2, 1956",Maryland
Monti Davis,1981,1981,F,6-7,205,"July 26, 1958",Tennessee State
Paul Davis,2007,2010,C,6-11,270,"July 21, 1984",Michigan State
Ricky Davis,1999,2010,G,6-6,195,"September 23, 1979",Iowa
Ron Davis,1977,1982,G-F,6-6,198,"May 1, 1954",Washington State
Terence Davis,2020,2021,G,6-4,201,"May 16, 1997",Ole Miss
Terry Davis,1990,2001,F-C,6-9,225,"June 17, 1967",Virginia Union University
Tyler Davis,2019,2019,C,6-10,266,"May 22, 1997",Texas A&M
Walter Davis,1978,1992,G-F,6-6,193,"September 9, 1954",UNC
Andre Dawkins,2015,2015,G,6-5,215,"September 19, 1991",Duke
Darryl Dawkins,1976,1989,C,6-11,251,"January 11, 1957",
Johnny Dawkins,1987,1995,G,6-2,165,"September 28, 1963",Duke
Paul Dawkins,1980,1980,F,6-5,190,"June 10, 1957",Northern Illinois
Branden Dawson,2016,2016,F,6-6,225,"February 1, 1993",Michigan State
Eric Dawson,2012,2012,F,6-9,250,"July 7, 1984",Midwestern State University
Tony Dawson,1991,1995,F,6-7,215,"August 25, 1967",Florida State
Todd Day,1993,2001,G-F,6-6,188,"January 7, 1970",Arkansas
Austin Daye,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga
Darren Daye,1984,1988,F-G,6-8,220,"November 30, 1960",UCLA
Nando De Colo,2013,2014,G,6-5,200,"June 23, 1987",
Andrew DeClercq,1996,2005,F-C,6-10,230,"February 1, 1973",Florida
DeMar DeRozan,2010,2021,G-F,6-6,220,"August 7, 1989",USC
Greg Deane,1980,1980,G,6-4,190,"December 6, 1957",Utah
Dewayne Dedmon,2014,2020,C,7-0,245,"August 12, 1989",USC
Terry Dehere,1994,1999,G,6-2,190,"September 12, 1971",Seton Hall
Bryce Dejean-Jones,2016,2016,G,6-6,209,"August 21, 1992","USC, UNLV, Iowa State"
Sam Dekker,2016,2019,F,6-9,230,"May 6, 1994",Wisconsin
Vinny Del Negro,1989,2002,G,6-4,185,"August 9, 1966",NC State
Malcolm Delaney,2017,2018,G,6-3,190,"March 11, 1989",Virginia Tech
Bison Dele,1992,1999,F-C,6-9,235,"April 6, 1969","Maryland, Arizona"
Carlos Delfino,2005,2013,G,6-6,230,"August 29, 1982",
Angel Delgado,2019,2019,C,6-10,245,"November 20, 1994",Seton Hall
Tony Delk,1997,2006,G,6-1,189,"January 28, 1974",Kentucky
Matthew Dellavedova,2014,2020,G,6-3,200,"September 8, 1990",Saint Mary's
Fennis Dembo,1989,1989,F,6-5,215,"January 24, 1966",Wyoming
Larry Demic,1980,1982,F-C,6-9,225,"June 27, 1957",Arizona
Dell Demps,1994,1997,G,6-3,205,"February 12, 1970",University of the Pacific
Luol Deng,2005,2019,F,6-9,237,"April 16, 1985",Duke
Kenny Dennard,1982,1984,F,6-8,220,"October 18, 1958",Duke
Justin Dentmon,2012,2013,G,5-11,185,"September 5, 1985",Washington
Marcus Derrickson,2019,2019,F,6-7,249,"February 1, 1996",Georgetown
Donte DiVincenzo,2019,2021,G,6-4,203,"January 31, 1997",Villanova
Derrick Dial,2000,2004,G,6-4,184,"December 20, 1975",Eastern Michigan
Cheick Diallo,2017,2020,F,6-8,219,"September 13, 1996",Kansas
Hamidou Diallo,2019,2021,G,6-5,202,"July 31, 1998",Kentucky
Boris Diaw,2004,2017,F-C,6-8,250,"April 16, 1982",
Yakhouba Diawara,2007,2010,G-F,6-7,225,"August 29, 1982",Pepperdine
Guillermo Diaz,2008,2008,G,6-2,192,"March 4, 1985",Miami (FL)
Dan Dickau,2003,2008,G,6-0,190,"September 16, 1978","Washington, Gonzaga"
Kaniel Dickens,2004,2008,F,6-8,215,"July 21, 1978","Tyler Junior College, Idaho"
Michael Dickerson,1999,2003,G-F,6-5,190,"June 25, 1975",Arizona
Travis Diener,2006,2010,G,6-1,175,"March 1, 1982",Marquette
Gorgui Dieng,2014,2021,C,6-10,252,"January 18, 1990",Louisville
Coby Dietrick,1971,1983,C-F,6-10,220,"July 23, 1948",San Jose State
Mickey Dillard,1982,1982,G,6-3,170,"October 15, 1958",Florida State
Byron Dinkins,1990,1991,G,6-1,170,"June 15, 1967",UNC Charlotte
Spencer Dinwiddie,2015,2021,G,6-5,215,"April 6, 1993",Colorado
Ike Diogu,2006,2012,F,6-8,250,"September 11, 1983",Arizona State
DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982",
Vlade Divac,1990,2005,C,7-1,243,"February 3, 1968",
