PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Raef LaFrentz,1999,2008,F-C,6-11,240.0,"May 29, 1976",Kansas
Tom LaGarde,1978,1985,C-F,6-10,220.0,"February 10, 1955",UNC
Rusty LaRue,1998,2004,G,6-2,210.0,"December 10, 1973",Wake Forest
Zach LaVine,2015,2021,G,6-6,200.0,"March 10, 1995",UCLA
Skal Labissiere,2017,2020,F,6-10,235.0,"March 18, 1996",Kentucky
Sam Lacey,1971,1983,C,6-10,235.0,"March 28, 1948",New Mexico State
Christian Laettner,1993,2005,F-C,6-11,235.0,"August 17, 1969",Duke
Oliver Lafayette,2010,2010,G,6-2,190.0,"May 6, 1984",Houston
Bill Laimbeer,1981,1994,C,6-11,245.0,"May 19, 1957",Notre Dame
Doron Lamb,2013,2014,G,6-4,210.0,"November 6, 1991",Kentucky
Jeremy Lamb,2013,2020,G-F,6-5,180.0,"May 30, 1992",UConn
John Lambert,1976,1982,C-F,6-10,225.0,"January 14, 1953",USC
Jeff Lamp,1982,1989,F-G,6-6,195.0,"March 9, 1959",Virginia
Maciej Lampe,2004,2006,C,6-11,275.0,"February 5, 1985",
Jim Lampley,1987,1987,C,6-10,230.0,"July 2, 1960","Vanderbilt, Little Rock"
Sean Lampley,2003,2004,F,6-7,227.0,"September 3, 1979",California
Carl Landry,2008,2016,F,6-9,248.0,"September 19, 1983",Purdue
Marcus Landry,2010,2010,F,6-7,230.0,"November 1, 1985",Wisconsin
Mark Landsberger,1978,1984,F-C,6-8,215.0,"May 21, 1955","Minnesota, Arizona State"
Jerome Lane,1989,1993,F,6-6,230.0,"December 4, 1966",Pitt
Andrew Lang,1989,2000,C,6-11,245.0,"June 28, 1966",Arkansas
Antonio Lang,1995,2000,F-G,6-8,205.0,"May 15, 1972",Duke
James Lang,2007,2007,C,6-10,285.0,"October 17, 1983",
Trajan Langdon,2000,2002,G,6-3,197.0,"May 13, 1976",Duke
Keith Langford,2008,2008,G,6-4,215.0,"September 15, 1983",Kansas
Romeo Langford,2020,2020,G,6-4,216.0,"October 25, 1999",Indiana
Dan Langhi,2001,2004,F,6-11,220.0,"November 28, 1977",Vanderbilt
Bob Lanier,1971,1984,C,6-11,250.0,"September 10, 1948",St. Bonaventure
Nicolas LaprovA­ttola,2017,2017,G,6-4,180.0,"January 31, 1990",
Shane Larkin,2014,2018,G,5-11,175.0,"October 2, 1992",Miami (FL)
Stephane Lasme,2008,2008,F,6-8,215.0,"December 17, 1982",UMass
Priest Lauderdale,1997,1998,C,7-4,325.0,"August 31, 1973",Central State University
Joffrey Lauvergne,2015,2018,C-F,6-11,220.0,"September 30, 1991",
Acie Law,2008,2011,G,6-3,195.0,"January 25, 1985",Texas A&M
Vic Law,2020,2020,F,6-7,200.0,"December 19, 1995",Northwestern
Gani Lawal,2011,2011,F,6-9,234.0,"November 7, 1988",Georgia Tech
Edmund Lawrence,1981,1981,C,7-0,228.0,"December 8, 1952",McNeese State University
Jason Lawson,1998,1998,C,6-11,240.0,"September 2, 1974",Villanova
Ty Lawson,2010,2017,G,5-11,195.0,"November 3, 1987",UNC
Jake Layman,2017,2021,F,6-8,209.0,"March 7, 1994",Maryland
Caris LeVert,2017,2021,G-F,6-6,205.0,"August 25, 1994",Michigan
T.J. Leaf,2018,2020,F,6-10,222.0,"April 30, 1997",UCLA
Allen Leavell,1980,1989,G,6-1,170.0,"May 27, 1957",Oklahoma City University
Jeff Lebo,1990,1990,G,6-2,180.0,"October 5, 1966",UNC
Eric Leckner,1989,1997,C-F,6-11,265.0,"May 27, 1966",Wyoming
Jalen Lecque,2020,2021,G,6-3,185.0,"June 13, 2000",
Ricky Ledo,2014,2015,G,6-7,195.0,"September 10, 1992",
Butch Lee,1979,1980,G,6-0,185.0,"December 5, 1956",Marquette
Courtney Lee,2009,2020,G,6-5,215.0,"October 3, 1985",Western Kentucky
Damion Lee,2018,2021,G,6-5,210.0,"October 21, 1992","Drexel, Louisville"
David Lee,2006,2017,F,6-9,245.0,"April 29, 1983",Florida
Doug Lee,1992,1995,G-F,6-5,200.0,"October 24, 1964","Texas A&M, Purdue"
Keith Lee,1986,1989,F-C,6-10,215.0,"December 28, 1962",Memphis
Kurk Lee,1991,1991,G,6-3,190.0,"June 3, 1967","Western Kentucky, Towson University"
Malcolm Lee,2012,2015,G,6-5,200.0,"May 22, 1990",UCLA
Rock Lee,1982,1982,C,6-10,220.0,"May 1, 1955","California, San Diego State"
Ron Lee,1977,1982,G,6-4,193.0,"November 2, 1952",Oregon
Tim Legler,1990,2000,G,6-4,200.0,"December 26, 1966",La Salle
Walt Lemon,2018,2019,G,6-3,180.0,"July 26, 1992",Bradley
Alex Len,2014,2021,C,7-0,250.0,"June 16, 1993",Maryland
Voshon Lenard,1996,2006,G,6-4,205.0,"May 14, 1973",Minnesota
Gary Leonard,1990,1992,C,7-1,250.0,"February 16, 1967",Missouri
