PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Guerschon Yabusele,2018,2019,F,6-8,260,"December 17, 1995",
Vincent Yarbrough,2003,2003,G-F,6-7,210,"March 21, 1981",Tennessee
Rich Yonakor,1982,1982,F,6-9,220,"October 3, 1958",UNC
Danny Young,1985,1995,G,6-3,175,"July 26, 1962",Wake Forest
James Young,2015,2018,G-F,6-6,215,"August 16, 1995",Kentucky
Joe Young,2016,2018,G,6-2,180,"June 27, 1992","Houston, Oregon"
Korleone Young,1999,1999,F,6-7,213,"December 31, 1978",
Michael Young,1985,1990,F-G,6-7,220,"January 2, 1961",Houston
Nick Young,2008,2019,G-F,6-7,210,"June 1, 1985",USC
Perry Young,1987,1987,G,6-5,210,"August 4, 1963",Virginia Tech
Sam Young,2010,2013,F,6-6,220,"June 1, 1985",Pitt
Thaddeus Young,2008,2021,F,6-8,235,"June 21, 1988",Georgia Tech
Tim Young,2000,2000,C,7-0,220,"February 6, 1976",Stanford
Trae Young,2019,2021,G,6-1,180,"September 19, 1998",Oklahoma
Sun Yue,2009,2009,G,6-9,205,"November 6, 1985",
