PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Zan Tabak,1995,2001,C,7-0,245,"June 15, 1970",
Yuta Tabuse,2005,2005,G,5-9,165,"October 5, 1980",Brigham Young University Hawaii
Chris Taft,2006,2006,F,6-10,260,"March 10, 1985",Pitt
Dragan Tarlac,2001,2001,C,6-10,260,"May 9, 1973",
Roy Tarpley,1987,1995,C-F,6-11,230,"November 28, 1964",Michigan
Jae'Sean Tate,2021,2021,F,6-4,230,"October 28, 1995",Ohio State
Earl Tatum,1977,1980,G-F,6-5,185,"July 26, 1953",Marquette
Jayson Tatum,2018,2021,F,6-8,210,"March 3, 1998",Duke
Edy Tavares,2016,2017,C,7-3,260,"March 22, 1992",
Anthony Taylor,1989,1989,G,6-4,175,"November 30, 1965",Oregon
Brian Taylor,1973,1982,G,6-2,185,"June 9, 1951",Princeton
Donell Taylor,2006,2007,G,6-6,180,"July 26, 1982","Okaloosa-Walton Community College, UAB"
Isaiah Taylor,2017,2018,G,6-3,170,"July 11, 1994",Texas
Jay Taylor,1990,1990,G,6-3,190,"October 3, 1967",Eastern Illinois University
Jeff Taylor,1983,1987,G,6-4,175,"January 1, 1960",Texas Tech
Jeffery Taylor,2013,2015,F,6-7,225,"May 23, 1989",Vanderbilt
Jermaine Taylor,2010,2011,G,6-4,210,"December 8, 1986",Central Florida
Johnny Taylor,1998,2000,F,6-9,220,"June 4, 1974","Indian Hills Community College, Chattanooga"
Leonard Taylor,1990,1990,F,6-8,220,"May 2, 1966",California
Maurice Taylor,1998,2007,F,6-9,260,"October 30, 1976","Michigan, LSU"
Mike Taylor,2009,2009,G,6-2,165,"January 21, 1986",Iowa State
Tyshawn Taylor,2013,2014,G,6-3,185,"April 12, 1990",Kansas
Vince Taylor,1983,1983,G-F,6-5,180,"September 11, 1960",Duke
Terry Teagle,1983,1993,F-G,6-5,195,"April 10, 1960",Baylor
Jeff Teague,2010,2021,G,6-3,195,"June 10, 1988",Wake Forest
Marquis Teague,2013,2018,G,6-2,189,"February 28, 1993",Kentucky
Mirza Teletovic,2013,2018,F,6-9,242,"September 18, 1985",
Sebastian Telfair,2005,2015,G,6-0,165,"June 9, 1985",
Garrett Temple,2010,2021,G,6-5,195,"May 8, 1986",LSU
Milos Teodosic,2018,2019,G,6-5,196,"March 19, 1987",
Jared Terrell,2019,2019,G,6-3,227,"February 10, 1995",Rhode Island
