PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke
Kareem Abdul-Jabbar,1970,1989,C,7-2,225,"April 16, 1947",UCLA
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",LSU
Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974","Michigan, San Jose State"
Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",California
Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana
Alex Abrines,2017,2019,G-F,6-6,200,"August 1, 1993",
Precious Achiuwa,2021,2021,F,6-9,225,"September 19, 1999",Memphis
Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine
Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts
Quincy Acy,2013,2019,F-C,6-7,240,"October 6, 1990",Baylor
Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",Oklahoma
Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",Arizona
Jaylen Adams,2019,2019,G,6-2,190,"May 4, 1996",St. Bonaventure
Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994",UCLA
Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College
Steven Adams,2014,2021,C,6-11,265,"July 20, 1993",Pitt
Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse
Bam Adebayo,2018,2021,C-F,6-9,255,"July 18, 1997",Kentucky
Deng Adel,2019,2019,F,6-7,200,"February 1, 1997",Louisville
Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",UConn
Arron Afflalo,2008,2018,G-F,6-5,210,"October 15, 1985",UCLA
Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State
Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul
Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University
Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",BYU
Alexis Ajinca,2009,2017,C-F,7-2,248,"May 6, 1988",
Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","Washington State, Cal State Fullerton"
DeVaughn Akoon-Purcell,2019,2019,G,6-6,200,"June 5, 1993",Illinois State
Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State
Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke
Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",
Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",Kansas
LaMarcus Aldridge,2007,2021,F-C,6-11,250,"July 19, 1985",Texas
Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959","Kentucky, UConn"
Cliff Alexander,2016,2016,F,6-8,245,"November 16, 1995",Kansas
Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",Virginia
Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","Virginia, Fresno State"
Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",South Florida
Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia
Kyle Alexander,2020,2020,F,6-11,220,"October 21, 1996",Tennessee
Ty-Shon Alexander,2021,2021,G,6-4,195,"July 16, 1998",Creighton
Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State
Nickeil Alexander-Walker,2020,2021,G,6-5,205,"September 2, 1998",Virginia Tech
Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana
Rawle Alkins,2019,2019,G,6-5,225,"October 29, 1997",Arizona
Grayson Allen,2019,2021,G,6-4,198,"October 8, 1995",Duke
Jarrett Allen,2018,2021,C-F,6-11,243,"April 21, 1998",Texas
Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",Penn
Kadeem Allen,2018,2020,G,6-1,200,"January 15, 1993",Arizona
Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple
Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova
Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State
Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",UConn
Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State"
Lance Allred,2008,2008,C,6-11,250,"February 2, 1981","Utah, Weber State"
Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958",UCLA
Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University
Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne
Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976",Fresno State
Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty
John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970","Vanderbilt, Penn State"
Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois
Al-Farouq Aminu,2011,2020,F,6-8,220,"September 21, 1990",Wake Forest
Lou Amundson,2007,2016,F-C,6-9,220,"December 7, 1982",UNLV
Chris Andersen,2002,2017,C-F,6-10,245,"July 7, 1978",Blinn College
David Andersen,2010,2011,C,6-11,245,"June 23, 1980",
Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State
Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",Memphis
Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974","Ohio State, Kentucky"
Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960","Kentucky, USC"
Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana
Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",Houston
J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley
James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State
Justin Anderson,2016,2020,G,6-6,230,"November 19, 1993",Virginia
Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Tech
Kyle Anderson,2015,2021,F-G,6-9,230,"September 20, 1993",UCLA
Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel
Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",Illinois
Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960",UC Santa Barbara
Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958",Fresno State
Ryan Anderson,2009,2020,F,6-9,240,"May 6, 1988",California
Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",Georgia
Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",Georgia
Martynas Andriuskevicius,2006,2006,C,7-2,240,"March 12, 1986",
Ike Anigbogu,2018,2019,F-C,6-10,250,"October 17, 1998",UCLA
Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",Alabama
Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",
Giannis Antetokounmpo,2014,2021,F-G,6-11,242,"December 6, 1994",
Kostas Antetokounmpo,2019,2021,F,6-10,200,"November 20, 1997",Dayton
Thanasis Antetokounmpo,2016,2021,F,6-6,219,"July 18, 1992",
Carmelo Anthony,2004,2021,F,6-8,238,"May 29, 1984",Syracuse
Cole Anthony,2021,2021,G,6-3,190,"May 15, 2000",UNC
Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Portland, UNLV"
Joel Anthony,2008,2017,C,6-9,245,"August 9, 1982",UNLV
Pero Antic,2014,2015,C-F,6-11,260,"July 29, 1982",
OG Anunoby,2018,2021,F,6-7,232,"July 17, 1997",Indiana
Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State
Rafael Araujo,2005,2007,C,6-11,280,"August 12, 1980",BYU
Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",Illinois
Tiny Archibald,1971,1984,G,6-1,150,"September 2, 1948",Texas-El Paso
Ryan Arcidiacono,2018,2021,G,6-3,195,"March 26, 1994",Villanova
Gilbert Arenas,2002,2012,G,6-3,191,"January 6, 1982",Arizona
Trevor Ariza,2005,2020,F,6-8,215,"June 30, 1985",UCLA
Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University
B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",Iowa
Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine
Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University
Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",UConn
Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University
Darrell Arthur,2009,2018,F,6-9,235,"March 25, 1988",Kansas
Jamel Artis,2018,2018,G-F,6-7,213,"January 12, 1993",Pitt
Omer Asik,2011,2018,C,7-0,255,"July 4, 1986",
Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",Memphis
Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",Alabama
Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",South Florida
Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968",UNLV
D.J. Augustin,2009,2021,G,5-11,183,"November 10, 1987",Texas
James Augustine,2007,2008,F,6-10,235,"February 27, 1984",Illinois
Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State
Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University
Deni Avdija,2021,2021,G-F,6-9,225,"January 3, 2001",
Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall
William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke
Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara
Gustavo Ayon,2012,2014,C,6-10,250,"April 1, 1985",
Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State
Deandre Ayton,2019,2021,C,6-11,250,"July 23, 1998",Arizona
Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",Kentucky
Udoka Azubuike,2021,2021,C,7-0,270,"September 17, 1999",Kansas
