PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Wenyen Gabriel,2020,2020,F,6-9,200,"March 26, 1997",Kentucky
Dan Gadzuric,2003,2012,C,6-11,240,"February 2, 1978",UCLA
Daniel Gafford,2020,2021,F,6-10,234,"October 1, 1998",Arkansas
Deng Gai,2006,2006,F,6-9,250,"March 22, 1982",Fairfield
Corey Gaines,1989,1995,G,6-3,195,"June 1, 1965","UCLA, Loyola Marymount"
Reece Gaines,2004,2006,G,6-6,205,"January 7, 1981",Louisville
Sundiata Gaines,2010,2012,G,6-1,185,"April 18, 1986",Georgia
Mike Gale,1972,1982,G,6-4,185,"July 18, 1950",Elizabeth City State University
Chad Gallagher,1994,1994,C,6-10,255,"May 30, 1969",Creighton
Danilo Gallinari,2009,2021,F,6-10,233,"August 8, 1988",
Langston Galloway,2015,2021,G,6-1,200,"December 9, 1991",Saint Joseph's
Kevin Gamble,1988,1997,F-G,6-5,210,"November 13, 1965",Iowa
Jorge Garbajosa,2007,2008,F,6-9,245,"December 19, 1977",
Ruben Garces,2001,2001,F,6-9,245,"October 17, 1973",Providence
Alex Garcia,2004,2005,G,6-3,220,"March 4, 1980",
Francisco Garcia,2006,2015,F-G,6-7,195,"December 31, 1981",Louisville
Thomas Gardner,2008,2009,G,6-5,225,"February 8, 1985",Missouri
Patricio Garino,2017,2017,G-F,6-6,210,"May 17, 1993",George Washington
Darius Garland,2020,2021,G,6-1,192,"January 26, 2000",Vanderbilt
Gary Garland,1980,1980,G,6-4,180,"October 12, 1957",DePaul
Winston Garland,1988,1995,G,6-2,170,"December 19, 1964",Missouri State University
Chris Garner,1998,2001,G,5-10,156,"February 2, 1975",Memphis
Bill Garnett,1983,1986,F,6-9,225,"April 22, 1960",Wyoming
Kevin Garnett,1996,2016,F-C,6-11,240,"May 19, 1976",
Marlon Garnett,1999,1999,G,6-2,186,"July 3, 1975",Santa Clara
Billy Garrett,2019,2019,G,6-6,213,"October 16, 1994",DePaul
Calvin Garrett,1981,1984,F,6-7,190,"July 11, 1956","Austin Peay State University, Oral Roberts"
Dean Garrett,1997,2002,C,6-10,225,"November 27, 1966",Indiana
Diante Garrett,2013,2014,G,6-4,190,"November 3, 1988",Iowa State
Tom Garrick,1989,1992,G,6-2,185,"July 7, 1966",Rhode Island
John Garris,1984,1984,F,6-8,205,"June 6, 1959","Michigan, Boston College"
Kiwane Garris,1998,2000,G,6-2,183,"September 24, 1974",Illinois
Pat Garrity,1999,2008,F,6-9,238,"August 23, 1976",Notre Dame
Marc Gasol,2009,2021,C,6-11,255,"January 29, 1985",
Pau Gasol,2002,2019,C-F,7-0,250,"July 6, 1980",
Chris Gatling,1992,2002,F-C,6-10,220,"September 3, 1967",Old Dominion
Kenny Gattison,1987,1996,F-C,6-8,225,"May 23, 1964",Old Dominion
Rudy Gay,2007,2021,F,6-8,250,"August 17, 1986",UConn
Andrew Gaze,1994,1999,G,6-7,205,"July 24, 1965",Seton Hall
Michael Gbinije,2017,2017,G,6-7,200,"June 5, 1992","Duke, Syracuse"
Reggie Geary,1997,1998,G,6-2,187,"August 31, 1973",Arizona
Alonzo Gee,2010,2017,G,6-6,225,"May 29, 1987",Alabama
Matt Geiger,1993,2002,C,7-0,243,"September 10, 1969","Auburn, Georgia Tech"
Mickael Gelabale,2007,2013,F,6-7,215,"May 22, 1983",
Devean George,2000,2010,G-F,6-8,220,"August 29, 1977",Augsburg College
Paul George,2011,2021,F,6-8,220,"May 2, 1990",Fresno State
Tate George,1991,1995,G,6-5,190,"May 29, 1968",UConn
Marcus Georges-Hunt,2017,2018,G,6-5,216,"March 28, 1994",Georgia Tech
Gus Gerard,1975,1981,F-G,6-8,200,"July 27, 1953",Virginia
Derrick Gervin,1990,1991,F,6-8,200,"March 28, 1963",Texas-San Antonio
George Gervin,1973,1986,G-F,6-7,180,"April 27, 1952",Eastern Michigan
John Gianelli,1973,1980,C-F,6-10,220,"June 10, 1950",University of the Pacific
Daniel Gibson,2007,2013,G,6-2,190,"February 27, 1986",Texas
Jonathan Gibson,2017,2018,G,6-2,185,"November 8, 1987",New Mexico State
Mike Gibson,1984,1986,F,6-10,205,"October 27, 1960",USC Upstate
Taj Gibson,2010,2020,F,6-9,232,"June 24, 1985",USC
J.R. Giddens,2009,2010,G,6-5,215,"February 13, 1985","Kansas, New Mexico"
Trey Gilder,2010,2010,F,6-9,185,"January 24, 1985","McNeese State University, Northwestern State University"
Harry Giles,2019,2021,F-C,6-11,240,"April 22, 1998",Duke
Shai Gilgeous-Alexander,2019,2021,G,6-5,180,"July 12, 1998",Kentucky
Anthony Gill,2021,2021,F,6-8,230,"October 17, 1992","South Carolina, Virginia"
Eddie Gill,2001,2009,G,6-0,190,"August 16, 1978",Weber State
Kendall Gill,1991,2005,G,6-5,195,"May 25, 1968",Illinois
Ben Gillery,1989,1989,C,7-0,235,"September 19, 1965",Georgetown
Armen Gilliam,1988,2000,F-C,6-9,230,"May 28, 1964",UNLV
Artis Gilmore,1972,1988,C,7-2,240,"September 21, 1949","Gardner-Webb University, Jacksonville University"
Manu Ginobili,2003,2018,G,6-6,205,"July 28, 1977",
Gordan Giriček,2003,2008,G-F,6-6,210,"June 20, 1977",
Jack Givens,1979,1980,F-G,6-5,205,"September 21, 1956",Kentucky
Mickell Gladness,2012,2012,C,6-11,220,"July 26, 1986",Alabama A&M University
Gerald Glass,1991,1996,G-F,6-5,221,"November 12, 1967","Delta State University, Ole Miss"
Mike Glenn,1978,1987,G,6-2,175,"September 10, 1955",Southern Illinois
Georgi Glouchkov,1986,1986,F,6-8,235,"January 10, 1960",
Dion Glover,2000,2005,G,6-5,228,"October 22, 1978",Georgia Tech
Andreas Glyniadakis,2007,2007,C,7-1,280,"August 21, 1981",
Mike Gminski,1981,1994,C,6-11,250,"August 3, 1959",Duke
Rudy Gobert,2014,2021,C,7-1,258,"June 26, 1992",
Dan Godfread,1991,1992,C,6-10,250,"June 14, 1967",University of Evansville
Anthony Goldwire,1996,2006,G,6-1,182,"September 6, 1971",Houston
Ryan Gomes,2006,2014,F,6-7,250,"September 1, 1982",Providence
Glen Gondrezick,1978,1983,F-G,6-6,218,"August 30, 1955",UNLV
Grant Gondrezick,1987,1989,G,6-5,205,"January 19, 1963",Pepperdine
Drew Gooden,2003,2016,F,6-10,250,"September 24, 1981",Kansas
Steve Goodrich,2001,2002,F,6-10,220,"March 18, 1976",Princeton
Archie Goodwin,2014,2017,G,6-5,200,"August 17, 1994",Kentucky
Brandon Goodwin,2019,2021,G,6-0,180,"October 2, 1995","Central Florida, Florida Gulf Coast"
Aaron Gordon,2015,2021,F,6-8,235,"September 16, 1995",Arizona
Ben Gordon,2005,2015,G,6-3,200,"April 4, 1983",UConn
Drew Gordon,2015,2015,F,6-9,245,"July 12, 1990","UCLA, New Mexico"
Eric Gordon,2009,2021,G-F,6-3,215,"December 25, 1988",Indiana
Lancaster Gordon,1985,1988,G,6-3,185,"June 24, 1962",Louisville
Marcin Gortat,2008,2019,C-F,6-11,240,"February 17, 1984",
Andrew Goudelock,2012,2016,G,6-3,200,"December 7, 1988",College of Charleston
Ricky Grace,1994,1994,G,6-1,180,"August 20, 1967","Midland College, Oklahoma"
Devonte' Graham,2019,2021,G,6-1,195,"February 22, 1995",Kansas
Greg Graham,1994,1998,G,6-4,174,"November 26, 1970",Indiana
Joey Graham,2006,2011,F,6-7,225,"June 11, 1982","Central Florida, Oklahoma State"
Orlando Graham,1989,1989,F,6-8,220,"May 5, 1965","West Texas A&M University, Auburn University at Montgomery"
Paul Graham,1992,1994,F-G,6-6,200,"November 28, 1967",Ohio University
Stephen Graham,2006,2011,G,6-6,215,"June 11, 1982","Central Florida, Oklahoma State"
Treveon Graham,2017,2020,G,6-5,219,"October 28, 1993",VCU
Jim Grandholm,1991,1991,F-C,7-0,235,"October 4, 1960","Florida, South Florida"
Ron Grandison,1989,1996,F,6-6,215,"July 9, 1964","University of California, Irvine, New Orleans"
Danny Granger,2006,2015,F,6-9,222,"April 20, 1983","Bradley, New Mexico"
Stewart Granger,1984,1987,G,6-3,190,"October 27, 1961",Villanova
Brian Grant,1995,2006,F,6-9,254,"March 5, 1972",Xavier
Gary Grant,1989,2001,G,6-3,185,"April 21, 1965",Michigan
Greg Grant,1990,1996,G,5-7,140,"August 29, 1966",Trenton State University
Harvey Grant,1989,1999,F,6-8,195,"July 4, 1965","Clemson, Oklahoma"
Horace Grant,1988,2004,F-C,6-10,215,"July 4, 1965",Clemson
Jerami Grant,2015,2021,F,6-8,210,"March 12, 1994",Syracuse
Jerian Grant,2016,2020,G,6-4,205,"October 9, 1992",Notre Dame
Josh Grant,1994,1994,F,6-9,223,"August 7, 1967",Utah
Paul Grant,1999,2004,C,7-0,245,"January 6, 1974","Boston College, Wisconsin"
Donte Grantham,2019,2019,F,6-8,215,"March 19, 1995",Clemson
Butch Graves,1985,1985,G,6-3,200,"January 5, 1962",Yale
Aaron Gray,2008,2014,C,7-0,270,"December 7, 1984",Pitt
Devin Gray,1997,2000,F,6-7,240,"May 31, 1972",Clemson
Ed Gray,1998,1999,G,6-3,210,"September 27, 1975","Tennessee, California"
Evric Gray,1997,1997,F,6-7,235,"December 13, 1969",UNLV
Josh Gray,2018,2020,G,6-0,180,"September 9, 1993",LSU
Stuart Gray,1985,1991,C-F,7-0,235,"May 27, 1963",UCLA
Sylvester Gray,1989,1989,F,6-6,230,"July 8, 1967",Memphis
Jeff Grayer,1989,1998,F-G,6-5,200,"December 17, 1965",Iowa State
A.C. Green,1986,2001,F-C,6-9,220,"October 4, 1963",Oregon State
Danny Green,2010,2021,G-F,6-6,215,"June 22, 1987",UNC
Devin Green,2006,2006,G,6-7,210,"October 25, 1982",Hampton
Draymond Green,2013,2021,F,6-6,230,"March 4, 1990",Michigan State
Erick Green,2015,2016,G,6-4,185,"May 9, 1991",Virginia Tech
Gerald Green,2006,2019,G-F,6-6,205,"January 26, 1986",
JaMychal Green,2015,2021,F,6-8,227,"June 21, 1990",Alabama
Javonte Green,2020,2021,F,6-4,205,"July 23, 1993",Radford
Jeff Green,2008,2021,F,6-8,235,"August 28, 1986",Georgetown
Josh Green,2021,2021,G-F,6-6,210,"November 16, 2000",Arizona
Ken Green,1986,1986,F,6-8,215,"September 19, 1959",University of Texas-Pan American
Kenny Green,1986,1987,F,6-6,210,"October 11, 1964",Wake Forest
Litterial Green,1993,1999,G,6-1,185,"March 7, 1970",Georgia
