Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2017,30,2569,WAS,Washington Wizards,Tomas Satoransky,1991-10-30,25.0,NBA,SG,57.0,3.0,719.0,4.2,10.1,0.42,0.6,2.5,0.24,3.6,7.5,0.47,1.6,2.3,0.7,1.7,4.0,5.7,6.3,1.8,0.4,2.6,4.1,10.6,101.0,111.0
2018,30,2569,WAS,Washington Wizards,Tomas Satoransky,1991-10-30,26.0,NBA,SG,73.0,30.0,1643.0,6.1,11.6,0.52,1.4,3.1,0.46,4.7,8.6,0.54,2.3,2.9,0.78,2.2,4.9,7.0,8.6,1.6,0.5,2.5,4.0,15.8,124.0,111.0
2019,30,2569,WAS,Washington Wizards,Tomas Satoransky,1991-10-30,27.0,NBA,PG,80.0,54.0,2164.0,5.6,11.6,0.48,1.4,3.5,0.4,4.2,8.1,0.52,2.9,3.5,0.82,1.8,4.3,6.1,8.7,1.8,0.3,2.6,3.8,15.5,121.0,116.0
2020,5,2569,CHI,Chicago Bulls,Tomas Satoransky,1991-10-30,28.0,NBA,SG,65.0,64.0,1878.0,6.1,14.1,0.43,1.6,5.1,0.32,4.4,9.0,0.49,2.7,3.1,0.88,1.9,4.6,6.5,9.1,2.1,0.2,3.3,3.5,16.5,111.0,112.0
2021,5,2569,CHI,Chicago Bulls,Tomas Satoransky,1991-10-30,29.0,NBA,SG,32.0,7.0,721.0,5.9,11.4,0.52,1.7,4.0,0.41,4.2,7.3,0.58,2.8,3.0,0.91,0.9,4.5,5.4,10.1,1.4,0.6,3.6,2.8,16.2,121.0,114.0
