Season,Team ID,Team ABV,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989,24,PHO,Phoenix Suns,82,19755,3754,7545,0.5,168,481,0.35,3586,7064,0.51,2051,2594,0.79,1095,2619,3714,2280,693,416,1279,1933,9727
1989,8,DEN,Denver Nuggets,82,19880,3813,8140,0.47,228,676,0.34,3585,7464,0.48,1821,2314,0.79,1206,2513,3719,2282,811,436,1225,2088,9675
1989,20,NYK,New York Knicks,82,19805,3701,7611,0.49,386,1147,0.34,3315,6464,0.51,1779,2366,0.75,1322,2265,3587,2083,900,446,1572,2053,9567
1989,10,GSW,Golden State Warriors,82,19905,3730,7977,0.47,194,629,0.31,3536,7348,0.48,1904,2384,0.8,1323,2561,3884,2009,831,643,1488,1946,9558
1989,14,LAL,Los Angeles Lakers,82,19805,3584,7143,0.5,227,667,0.34,3357,6476,0.52,2011,2508,0.8,1094,2612,3706,2282,724,421,1344,1672,9406
1989,25,POR,Portland Trail Blazers,82,19830,3695,7795,0.47,216,645,0.34,3479,7150,0.49,1789,2416,0.74,1384,2381,3765,2212,828,388,1435,2026,9395
1989,21,SEA,Seattle Supersonics,82,19780,3564,7478,0.48,293,774,0.38,3271,6704,0.49,1775,2379,0.75,1397,2238,3635,2083,864,494,1403,2027,9196
1989,23,PHI,Philadelphia 76Ers,82,19780,3500,7201,0.49,204,646,0.32,3296,6555,0.5,1970,2504,0.79,1143,2356,3499,2110,689,354,1214,1721,9174
1989,1,ATL,Atlanta Hawks,82,19805,3412,7230,0.47,110,397,0.28,3302,6833,0.48,2168,2709,0.8,1372,2316,3688,1990,817,474,1310,1880,9102
1989,2,BOS,Boston Celtics,82,19780,3520,7143,0.49,78,309,0.25,3442,6834,0.5,1840,2349,0.78,1179,2442,3621,2189,639,418,1336,1876,8958
1989,17,MIL,Milwaukee Bucks,82,19755,3399,7167,0.47,179,567,0.32,3220,6600,0.49,1955,2382,0.82,1133,2272,3405,2071,821,323,1305,1953,8932
1989,6,CLE,Cleveland Cavaliers,82,19755,3466,6904,0.5,170,474,0.36,3296,6430,0.51,1821,2438,0.75,1033,2475,3508,2260,791,586,1323,1592,8923
1989,11,HOU,Houston Rockets,82,19855,3412,7196,0.47,164,523,0.31,3248,6673,0.49,1909,2527,0.76,1211,2554,3765,2016,789,501,1569,2026,8897
1989,30,WSB,Washington Bullets,82,19855,3519,7591,0.46,52,243,0.21,3467,7348,0.47,1789,2318,0.77,1254,2354,3608,2048,694,325,1291,2054,8879
1989,12,IND,Indiana Pacers,82,19855,3385,6945,0.49,202,615,0.33,3183,6330,0.5,1795,2275,0.79,1065,2497,3562,2012,563,418,1547,2105,8767
1989,9,DET,Detroit Pistons,82,19830,3395,6879,0.49,120,400,0.3,3275,6479,0.5,1830,2379,0.77,1154,2546,3700,2027,522,406,1336,1939,8740
1989,5,CHI,Chicago Bulls,82,19780,3448,6968,0.5,174,530,0.33,3274,6438,0.51,1656,2106,0.79,1018,2453,3471,2213,722,376,1327,1855,8726
1989,13,LAC,Los Angeles Clippers,82,19855,3526,7428,0.48,54,234,0.23,3472,7194,0.48,1606,2220,0.72,1156,2384,3540,2208,815,530,1666,1937,8712
1989,27,SAS,San Antonio Spurs,82,19755,3469,7409,0.47,63,293,0.22,3406,7116,0.48,1651,2367,0.7,1295,2181,3476,2037,961,423,1712,2153,8652
1989,26,SAC,Sacramento Kings,82,19780,3362,7351,0.46,307,824,0.37,3055,6527,0.47,1620,2104,0.77,1141,2454,3595,1970,624,409,1370,1877,8651
1989,29,UTA,Utah Jazz,82,19730,3182,6595,0.48,114,380,0.3,3068,6215,0.49,2110,2742,0.77,1050,2607,3657,2108,720,583,1532,1894,8588
1989,4,CHO,Charlotte Hornets,82,19780,3426,7430,0.46,134,430,0.31,3292,7000,0.47,1580,2060,0.77,1138,2200,3338,2323,705,264,1318,2068,8566
1989,3,NJN,New Jersey Nets,82,19805,3333,7226,0.46,187,568,0.33,3146,6658,0.47,1653,2260,0.73,1204,2419,3623,1793,773,431,1449,1966,8506
1989,7,DAL,Dallas Mavericks,82,19780,3244,6917,0.47,211,681,0.31,3033,6236,0.49,1785,2263,0.79,1048,2397,3445,1867,579,476,1233,1739,8484
1989,16,MIA,Miami Heat,82,19855,3221,7116,0.45,97,298,0.33,3124,6818,0.46,1477,2103,0.7,1309,2211,3520,1958,744,408,1728,2124,8016
