Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2016,6,CLE,Cleveland Cavaliers,9,Jared Cunningham,SG,6-4,195,1991-05-22,US,3,Oregon State
2016,6,CLE,Cleveland Cavaliers,8,Matthew Dellavedova,PG,6-3,200,1990-09-08,AU,2,Saint Mary's
2016,6,CLE,Cleveland Cavaliers,9,Channing Frye,C,7-0,255,1983-05-17,US,9,Arizona
2016,6,CLE,Cleveland Cavaliers,12,Joe Harris,SG,6-6,220,1991-09-06,US,1,Virginia
2016,6,CLE,Cleveland Cavaliers,2,Kyrie Irving,PG,6-2,195,1992-03-23,AU,4,Duke
2016,6,CLE,Cleveland Cavaliers,23,LeBron James,SF,6-9,250,1984-12-30,US,12,
2016,6,CLE,Cleveland Cavaliers,24,Richard Jefferson,SF,6-7,233,1980-06-21,US,14,Arizona
2016,6,CLE,Cleveland Cavaliers,30,Dahntay Jones,SF,6-6,225,1980-12-27,US,11,"Rutgers University, Duke"
2016,6,CLE,Cleveland Cavaliers,1,James Jones,SF,6-8,218,1980-10-04,US,12,Miami (FL)
2016,6,CLE,Cleveland Cavaliers,14,Sasha Kaun,C,6-11,260,1985-05-08,RU,R,Kansas
2016,6,CLE,Cleveland Cavaliers,0,Kevin Love,PF,6-8,251,1988-09-07,US,7,UCLA
2016,6,CLE,Cleveland Cavaliers,12,Jordan McRae,PG,6-5,179,1991-03-28,US,R,Tennessee
2016,6,CLE,Cleveland Cavaliers,20,Timofey Mozgov,C,7-1,275,1986-07-16,RU,5,
2016,6,CLE,Cleveland Cavaliers,4,Iman Shumpert,SG,6-5,215,1990-06-26,US,4,Georgia Tech
2016,6,CLE,Cleveland Cavaliers,5,J.R. Smith,SG,6-6,225,1985-09-09,US,11,
2016,6,CLE,Cleveland Cavaliers,13,Tristan Thompson,PF,6-9,254,1991-03-13,CA,4,Texas
2016,6,CLE,Cleveland Cavaliers,17,Anderson Varejao,C,6-10,273,1982-09-28,BR,11,
2016,6,CLE,Cleveland Cavaliers,52,Mo Williams,PG,6-1,198,1982-12-19,US,12,Alabama
