SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
2020,27,SAS,DeMar DeRozan,30,68,68,34.1,8.2,15.4,0.53,0.1,0.5,0.26,8.1,14.9,0.54,0.54,5.6,6.6,0.84,0.6,4.9,5.5,5.6,1.0,0.3,2.4,2.6,22.1
2020,27,SAS,LaMarcus Aldridge,34,53,53,33.1,7.4,15.0,0.49,1.2,3.0,0.39,6.2,12.0,0.52,0.53,3.0,3.6,0.83,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9
2020,27,SAS,Dejounte Murray,23,66,58,25.6,4.5,9.7,0.46,0.6,1.7,0.37,3.8,8.0,0.48,0.49,1.4,1.7,0.8,1.0,4.8,5.8,4.1,1.7,0.3,1.9,2.2,10.9
2020,27,SAS,Bryn Forbes,26,63,62,25.1,3.8,9.2,0.42,2.3,6.0,0.39,1.5,3.2,0.47,0.54,1.2,1.4,0.83,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2
2020,27,SAS,Derrick White,25,68,20,24.7,3.7,8.1,0.46,1.2,3.2,0.37,2.6,4.9,0.52,0.53,2.6,3.1,0.85,0.5,2.8,3.3,3.5,0.6,0.9,1.3,2.2,11.3
2020,27,SAS,Patty Mills,31,66,1,22.5,3.9,9.1,0.43,2.3,6.1,0.38,1.6,3.0,0.53,0.56,1.5,1.7,0.87,0.3,1.3,1.6,1.8,0.8,0.1,0.8,1.6,11.6
2020,27,SAS,Rudy Gay,33,67,5,21.8,4.0,8.9,0.45,1.1,3.3,0.34,2.9,5.6,0.51,0.51,1.8,2.0,0.88,0.9,4.5,5.4,1.7,0.5,0.5,1.3,1.5,10.8
2020,27,SAS,Trey Lyles,24,63,53,20.2,2.4,5.4,0.45,1.0,2.7,0.39,1.4,2.8,0.5,0.54,0.5,0.7,0.73,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4
2020,27,SAS,Keldon Johnson,20,17,1,17.7,3.1,5.2,0.6,0.8,1.3,0.59,2.4,3.9,0.6,0.67,2.1,2.6,0.8,0.6,2.8,3.4,0.9,0.8,0.1,0.8,1.6,9.1
2020,27,SAS,Jakob Poeltl,24,66,18,17.7,2.5,4.0,0.62,0.0,0.0,,2.5,4.0,0.62,0.62,0.6,1.3,0.46,2.0,3.7,5.7,1.8,0.6,1.4,0.8,1.9,5.6
2020,27,SAS,Lonnie Walker,21,61,12,16.2,2.5,5.9,0.43,0.7,1.7,0.41,1.8,4.2,0.43,0.48,0.7,1.0,0.72,0.4,1.9,2.3,1.1,0.5,0.2,0.7,1.3,6.4
2020,27,SAS,Luka Å amanic,20,3,1,16.0,1.7,5.3,0.31,1.0,2.7,0.38,0.7,2.7,0.25,0.41,1.0,1.3,0.75,0.3,3.0,3.3,2.0,0.0,0.7,0.7,2.0,5.3
2020,27,SAS,Marco Belinelli,33,57,0,15.5,2.2,5.5,0.39,1.2,3.1,0.38,1.0,2.4,0.41,0.5,0.8,1.0,0.83,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8,6.3
2020,27,SAS,Drew Eubanks,22,22,3,12.4,2.0,3.0,0.64,0.0,0.0,1.0,1.9,3.0,0.64,0.65,0.9,1.2,0.77,1.3,2.6,3.9,0.7,0.2,0.8,1.0,1.7,4.9
2020,27,SAS,DeMarre Carroll,33,15,0,9.0,0.6,1.9,0.31,0.2,0.9,0.23,0.4,1.1,0.38,0.36,0.8,1.3,0.6,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3,2.2
2020,27,SAS,Quinndary Weatherspoon,23,11,0,7.1,0.5,1.5,0.29,0.1,0.5,0.2,0.4,1.1,0.33,0.32,0.1,0.2,0.5,0.1,0.5,0.6,1.0,0.3,0.1,0.5,0.7,1.1
2020,27,SAS,Chimezie Metu,22,18,0,5.8,1.3,2.3,0.57,0.0,0.1,0.0,1.3,2.2,0.6,0.57,0.6,0.7,0.77,0.7,1.2,1.8,0.6,0.2,0.3,0.6,0.4,3.2
2020,27,SAS,Tyler Zeller,30,2,0,2.0,0.5,2.0,0.25,0.0,0.0,,0.5,2.0,0.25,0.25,0.0,0.0,,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0
