Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1989,20,2774,NYK,New York Knicks,Rod Strickland,"July 11, 1966",22.0,NBA,PG,81.0,10.0,1358.0,265.0,567.0,0.47,19.0,59.0,0.32,246.0,508.0,0.48,0.48,172.0,231.0,0.74,51.0,109.0,160.0,319.0,98.0,3.0,148.0,142.0,721.0,,0.0
1990,31,2774,TOT,Total After Trade,Rod Strickland,"July 11, 1966",23.0,NBA,PG,82.0,24.0,2140.0,343.0,756.0,0.45,8.0,30.0,0.27,335.0,726.0,0.46,0.46,174.0,278.0,0.63,90.0,169.0,259.0,468.0,127.0,14.0,170.0,160.0,868.0,,0.0
1990,20,2774,NYK,New York Knicks,Rod Strickland,"July 11, 1966",23.0,NBA,PG,51.0,0.0,1019.0,170.0,386.0,0.44,6.0,21.0,0.29,164.0,365.0,0.45,0.45,83.0,130.0,0.64,43.0,83.0,126.0,219.0,70.0,8.0,85.0,71.0,429.0,,0.0
1990,27,2774,SAS,San Antonio Spurs,Rod Strickland,"July 11, 1966",23.0,NBA,PG,31.0,24.0,1121.0,173.0,370.0,0.47,2.0,9.0,0.22,171.0,361.0,0.47,0.47,91.0,148.0,0.62,47.0,86.0,133.0,249.0,57.0,6.0,85.0,89.0,439.0,,0.0
1991,27,2774,SAS,San Antonio Spurs,Rod Strickland,"July 11, 1966",24.0,NBA,PG,58.0,56.0,2076.0,314.0,651.0,0.48,11.0,33.0,0.33,303.0,618.0,0.49,0.49,161.0,211.0,0.76,57.0,162.0,219.0,463.0,117.0,11.0,156.0,125.0,800.0,,0.0
1992,27,2774,SAS,San Antonio Spurs,Rod Strickland,"July 11, 1966",25.0,NBA,PG,57.0,54.0,2053.0,300.0,659.0,0.46,5.0,15.0,0.33,295.0,644.0,0.46,0.46,182.0,265.0,0.69,92.0,173.0,265.0,491.0,118.0,17.0,160.0,122.0,787.0,,0.0
1993,25,2774,POR,Portland Trail Blazers,Rod Strickland,"July 11, 1966",26.0,NBA,SG,78.0,35.0,2474.0,396.0,816.0,0.48,4.0,30.0,0.13,392.0,786.0,0.5,0.49,273.0,381.0,0.72,120.0,217.0,337.0,559.0,131.0,24.0,199.0,153.0,1069.0,,1.0
1994,25,2774,POR,Portland Trail Blazers,Rod Strickland,"July 11, 1966",27.0,NBA,PG,82.0,58.0,2889.0,528.0,1093.0,0.48,2.0,10.0,0.2,526.0,1083.0,0.49,0.48,353.0,471.0,0.75,122.0,248.0,370.0,740.0,147.0,24.0,257.0,171.0,1411.0,,0.0
1995,25,2774,POR,Portland Trail Blazers,Rod Strickland,"July 11, 1966",28.0,NBA,PG,64.0,61.0,2267.0,441.0,946.0,0.47,46.0,123.0,0.37,395.0,823.0,0.48,0.49,283.0,380.0,0.74,73.0,244.0,317.0,562.0,123.0,9.0,209.0,118.0,1211.0,,1.0
1996,25,2774,POR,Portland Trail Blazers,Rod Strickland,"July 11, 1966",29.0,NBA,PG,67.0,63.0,2526.0,471.0,1023.0,0.46,38.0,111.0,0.34,433.0,912.0,0.48,0.48,276.0,423.0,0.65,89.0,208.0,297.0,640.0,97.0,16.0,255.0,135.0,1256.0,,0.0
1997,30,2774,WSB,Washington Bullets,Rod Strickland,"July 11, 1966",30.0,NBA,PG,82.0,81.0,2997.0,515.0,1105.0,0.47,13.0,77.0,0.17,502.0,1028.0,0.49,0.47,367.0,497.0,0.74,95.0,240.0,335.0,727.0,143.0,14.0,270.0,166.0,1410.0,,0.0
1998,30,2774,WAS,Washington Wizards,Rod Strickland,"July 11, 1966",31.0,NBA,PG,76.0,76.0,3020.0,490.0,1130.0,0.43,12.0,48.0,0.25,478.0,1082.0,0.44,0.44,357.0,492.0,0.73,112.0,293.0,405.0,801.0,126.0,25.0,266.0,182.0,1349.0,,3.0
1999,30,2774,WAS,Washington Wizards,Rod Strickland,"July 11, 1966",32.0,NBA,PG,44.0,43.0,1632.0,251.0,603.0,0.42,12.0,42.0,0.29,239.0,561.0,0.43,0.43,176.0,236.0,0.75,56.0,156.0,212.0,434.0,76.0,5.0,142.0,91.0,690.0,,1.0
2000,30,2774,WAS,Washington Wizards,Rod Strickland,"July 11, 1966",33.0,NBA,PG,69.0,67.0,2188.0,327.0,762.0,0.43,1.0,21.0,0.05,326.0,741.0,0.44,0.43,214.0,305.0,0.7,73.0,186.0,259.0,519.0,94.0,18.0,187.0,147.0,869.0,,0.0
2001,31,2774,TOT,Total After Trade,Rod Strickland,"July 11, 1966",34.0,NBA,PG,54.0,28.0,1371.0,182.0,429.0,0.42,4.0,17.0,0.24,178.0,412.0,0.43,0.43,130.0,173.0,0.75,36.0,104.0,140.0,303.0,53.0,5.0,107.0,76.0,498.0,,0.0
2001,30,2774,WAS,Washington Wizards,Rod Strickland,"July 11, 1966",34.0,NBA,PG,33.0,28.0,1020.0,141.0,331.0,0.43,4.0,16.0,0.25,137.0,315.0,0.44,0.43,115.0,147.0,0.78,25.0,80.0,105.0,231.0,43.0,4.0,83.0,55.0,401.0,,0.0
2001,25,2774,POR,Portland Trail Blazers,Rod Strickland,"July 11, 1966",34.0,NBA,PG,21.0,0.0,351.0,41.0,98.0,0.42,0.0,1.0,0.0,41.0,97.0,0.42,0.42,15.0,26.0,0.58,11.0,24.0,35.0,72.0,10.0,1.0,24.0,21.0,97.0,,0.0
2002,16,2774,MIA,Miami Heat,Rod Strickland,"July 11, 1966",35.0,NBA,PG,76.0,64.0,2294.0,316.0,714.0,0.44,8.0,26.0,0.31,308.0,688.0,0.45,0.45,154.0,201.0,0.77,49.0,183.0,232.0,463.0,82.0,11.0,159.0,114.0,794.0,,0.0
2003,18,2774,MIN,Minnesota Timberwolves,Rod Strickland,"July 11, 1966",36.0,NBA,PG,47.0,8.0,956.0,120.0,278.0,0.43,1.0,11.0,0.09,119.0,267.0,0.45,0.43,79.0,107.0,0.74,20.0,75.0,95.0,215.0,46.0,6.0,76.0,55.0,320.0,,0.0
2004,31,2774,TOT,Total After Trade,Rod Strickland,"July 11, 1966",37.0,NBA,PG,61.0,10.0,1197.0,150.0,353.0,0.42,10.0,36.0,0.28,140.0,317.0,0.44,0.44,72.0,98.0,0.74,34.0,121.0,155.0,244.0,35.0,11.0,85.0,76.0,382.0,,0.0
2004,22,2774,ORL,Orlando Magic,Rod Strickland,"July 11, 1966",37.0,NBA,PG,46.0,9.0,915.0,122.0,269.0,0.45,10.0,33.0,0.3,112.0,236.0,0.48,0.47,57.0,76.0,0.75,24.0,94.0,118.0,185.0,27.0,7.0,67.0,59.0,311.0,,0.0
2004,28,2774,TOR,Toronto Raptors,Rod Strickland,"July 11, 1966",37.0,NBA,PG,15.0,1.0,282.0,28.0,84.0,0.33,0.0,3.0,0.0,28.0,81.0,0.35,0.33,15.0,22.0,0.68,10.0,27.0,37.0,59.0,8.0,4.0,18.0,17.0,71.0,,0.0
2005,11,2774,HOU,Houston Rockets,Rod Strickland,"July 11, 1966",38.0,NBA,PG,16.0,2.0,196.0,9.0,43.0,0.21,1.0,2.0,0.5,8.0,41.0,0.2,0.22,9.0,10.0,0.9,3.0,24.0,27.0,39.0,3.0,2.0,16.0,15.0,28.0,,0.0
